Item	Site_Code	Similarity_Group	Source_Line_ID	Manual_Transcription	Manual_Line_Status	Cell_Review_Status	Legacy_Raw_Form	Legacy_Status	Legacy_Reason	Exact_Codepoint_Equal	Reconciliation_Disposition	Frozen_Manual_Lines_SHA256	Frozen_Manual_Cells_SHA256	Independence_Note
61	j	1	i061-l01	sonʲɛŋ	attested	attested	sonjɛŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	0cf581b3c0130c4f61b1107021210054a608c959267fd8972ec6946e59cdb432	330257bfecd41354754894070ae3f49142b96c5f49d61445123895dc8f98f9a8	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
61	k	1	i061-l01	sonʲɛŋ	attested	attested	sonjɛŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	0cf581b3c0130c4f61b1107021210054a608c959267fd8972ec6946e59cdb432	330257bfecd41354754894070ae3f49142b96c5f49d61445123895dc8f98f9a8	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
61	p	1	i061-l02	suʔ nia̯ŋ	attested	attested	su  niaŋ�	excluded	contains a glyph with no verified reading	no	manually recovered formerly excluded glyph sequence	0cf581b3c0130c4f61b1107021210054a608c959267fd8972ec6946e59cdb432	330257bfecd41354754894070ae3f49142b96c5f49d61445123895dc8f98f9a8	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
61	0	2	i061-l03	tɛl	attested	attested	tɛl	installed		yes	legacy exact comparison match (audit-only; not verification)	0cf581b3c0130c4f61b1107021210054a608c959267fd8972ec6946e59cdb432	330257bfecd41354754894070ae3f49142b96c5f49d61445123895dc8f98f9a8	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
61	a	2	i061-l03	tɛl	attested	attested	tɛl	installed		yes	legacy exact comparison match (audit-only; not verification)	0cf581b3c0130c4f61b1107021210054a608c959267fd8972ec6946e59cdb432	330257bfecd41354754894070ae3f49142b96c5f49d61445123895dc8f98f9a8	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
61	b	2	i061-l03	tɛl	attested	attested	tɛl	installed		yes	legacy exact comparison match (audit-only; not verification)	0cf581b3c0130c4f61b1107021210054a608c959267fd8972ec6946e59cdb432	330257bfecd41354754894070ae3f49142b96c5f49d61445123895dc8f98f9a8	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
61	c	2	i061-l03	tɛl	attested	attested	tɛl	installed		yes	legacy exact comparison match (audit-only; not verification)	0cf581b3c0130c4f61b1107021210054a608c959267fd8972ec6946e59cdb432	330257bfecd41354754894070ae3f49142b96c5f49d61445123895dc8f98f9a8	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
61	d	2	i061-l03	tɛl	attested	attested	tɛl	installed		yes	legacy exact comparison match (audit-only; not verification)	0cf581b3c0130c4f61b1107021210054a608c959267fd8972ec6946e59cdb432	330257bfecd41354754894070ae3f49142b96c5f49d61445123895dc8f98f9a8	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
61	e	2	i061-l03	tɛl	attested	attested	tɛl	installed		yes	legacy exact comparison match (audit-only; not verification)	0cf581b3c0130c4f61b1107021210054a608c959267fd8972ec6946e59cdb432	330257bfecd41354754894070ae3f49142b96c5f49d61445123895dc8f98f9a8	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
61	f	2	i061-l03	tɛl	attested	attested	tɛl	installed		yes	legacy exact comparison match (audit-only; not verification)	0cf581b3c0130c4f61b1107021210054a608c959267fd8972ec6946e59cdb432	330257bfecd41354754894070ae3f49142b96c5f49d61445123895dc8f98f9a8	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
