Item	Site_Code	Similarity_Group	Response_Order	Manual_Transcription	Manual_Status	Legacy_Raw_Form	Legacy_Status	Legacy_Reason	Exact_Codepoint_Equal	Reconciliation_Disposition	Frozen_Manual_Cells_SHA256	Independence_Note
6	0	4	1	brɪʃti	attested	br#ʃti	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
6	a	1	1	mɨkʼkʰa	attested	mɨk̚kha	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
6	b	2	1	raŋ	attested	raŋ	installed		yes	legacy exact comparison match (audit-only; not verification)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
6	c	2	1	raŋ	attested	raŋ	installed		yes	legacy exact comparison match (audit-only; not verification)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
6	d	1	1	mɨkʼkʰa	attested	mɨk̚kha	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
6	e	1	1	mukʼkʰa	attested	muk̚kha	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
6	f	1	1	mukʼkʰa	attested	muk̚kha	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
6	g	1	1	mɨkʼkʰa	attested	mɨk̚kha	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
6	h	1	1	mɨkʼkʰa	attested	mɨk̚kha	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
6	i	1	1	mɨkʼkʰa	attested	mɨk̚kha	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	5aecba4aae2f5edbb8422c797a72815529ac12d755d985e900ae2dd83db6b337	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
