Item	Site_Code	Similarity_Group	Source_Line_ID	Manual_Transcription	Manual_Line_Status	Cell_Review_Status	Legacy_Raw_Form	Legacy_Status	Legacy_Reason	Exact_Codepoint_Equal	Reconciliation_Disposition	Frozen_Manual_Lines_SHA256	Frozen_Manual_Cells_SHA256	Independence_Note
156	a	1	i156-l01	kʰɨldɨŋ	attested	attested	khɨldɨŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	0802aa773610656505222c096db561e4b87226dff54f0cac0ad785cf6752be67	d4c7acd0ca9f571f0cd7890233728337ebc7657fafdcb78bfa8b56437ffa17a1	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
156	i	1	i156-l01	kʰɨldɨŋ	attested	attested	khɨldɨŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	0802aa773610656505222c096db561e4b87226dff54f0cac0ad785cf6752be67	d4c7acd0ca9f571f0cd7890233728337ebc7657fafdcb78bfa8b56437ffa17a1	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
156	o	1	i156-l01	kʰɨldɨŋ	attested	attested	khɨldɨŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	0802aa773610656505222c096db561e4b87226dff54f0cac0ad785cf6752be67	d4c7acd0ca9f571f0cd7890233728337ebc7657fafdcb78bfa8b56437ffa17a1	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
156	d	1	i156-l02	kʰuldɨŋ	attested	attested	khuld#ŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	0802aa773610656505222c096db561e4b87226dff54f0cac0ad785cf6752be67	d4c7acd0ca9f571f0cd7890233728337ebc7657fafdcb78bfa8b56437ffa17a1	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
156	e	1	i156-l02	kʰuldɨŋ	attested	attested	khuld#ŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	0802aa773610656505222c096db561e4b87226dff54f0cac0ad785cf6752be67	d4c7acd0ca9f571f0cd7890233728337ebc7657fafdcb78bfa8b56437ffa17a1	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
156	f	1	i156-l02	kʰuldɨŋ	attested	attested	khuld#ŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	0802aa773610656505222c096db561e4b87226dff54f0cac0ad785cf6752be67	d4c7acd0ca9f571f0cd7890233728337ebc7657fafdcb78bfa8b56437ffa17a1	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
156	n	1	i156-l02	kʰuldɨŋ	attested	attested	khuld#ŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	0802aa773610656505222c096db561e4b87226dff54f0cac0ad785cf6752be67	d4c7acd0ca9f571f0cd7890233728337ebc7657fafdcb78bfa8b56437ffa17a1	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
156	b	1	i156-l03	kʰuntɨŋ	attested	attested	khunt#ŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	0802aa773610656505222c096db561e4b87226dff54f0cac0ad785cf6752be67	d4c7acd0ca9f571f0cd7890233728337ebc7657fafdcb78bfa8b56437ffa17a1	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
156	c	1	i156-l03	kʰuntɨŋ	attested	attested	khunt#ŋ	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	0802aa773610656505222c096db561e4b87226dff54f0cac0ad785cf6752be67	d4c7acd0ca9f571f0cd7890233728337ebc7657fafdcb78bfa8b56437ffa17a1	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
156	h	2	i156-l04	kʰɨl	attested	attested	khɨl	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	0802aa773610656505222c096db561e4b87226dff54f0cac0ad785cf6752be67	d4c7acd0ca9f571f0cd7890233728337ebc7657fafdcb78bfa8b56437ffa17a1	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
156	g	2	i156-l05	kʰul	attested	attested	khul	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	0802aa773610656505222c096db561e4b87226dff54f0cac0ad785cf6752be67	d4c7acd0ca9f571f0cd7890233728337ebc7657fafdcb78bfa8b56437ffa17a1	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
