Line_ID	Item	Gloss	PDF_Page	Printed_Page	Column	Line_Order	Similarity_Group	Manual_Transcription	Bracket_Codes	Printed_Status_Text	Line_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
i106-l01	106	cheek	66	59	left	1	0		p	no entry	source_blank	high		manual visual inspection of the 300-dpi rendered page; small IPA marks rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-PDF-text-legacy-not-copied-or-used-to-verify
i106-l02	106	cheek	66	59	left	2	1	pʰai̯tʰopʼ	ef		attested	high		manual visual inspection of the 300-dpi rendered page; small IPA marks rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-PDF-text-legacy-not-copied-or-used-to-verify
i106-l03	106	cheek	66	59	left	3	1	pʰai̯tʰupa	lm		attested	high		manual visual inspection of the 300-dpi rendered page; small IPA marks rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-PDF-text-legacy-not-copied-or-used-to-verify
i106-l04	106	cheek	66	59	left	4	1	pʰitʰopʼ	aio		attested	high		manual visual inspection of the 300-dpi rendered page; small IPA marks rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-PDF-text-legacy-not-copied-or-used-to-verify
i106-l05	106	cheek	66	59	left	5	2	pʰai̯tʰopʼ	ef		attested	high		manual visual inspection of the 300-dpi rendered page; small IPA marks rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-PDF-text-legacy-not-copied-or-used-to-verify
i106-l06	106	cheek	66	59	left	6	2	pʰɛtʰɛŋ	dg		attested	high		manual visual inspection of the 300-dpi rendered page; small IPA marks rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-PDF-text-legacy-not-copied-or-used-to-verify
i106-l07	106	cheek	66	59	left	7	2	pʰɛtʰɪŋ	n		attested	high		manual visual inspection of the 300-dpi rendered page; small IPA marks rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-PDF-text-legacy-not-copied-or-used-to-verify
i106-l08	106	cheek	66	59	left	8	2	pʰitʰɨŋ	h		attested	high		manual visual inspection of the 300-dpi rendered page; small IPA marks rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-PDF-text-legacy-not-copied-or-used-to-verify
i106-l09	106	cheek	66	59	left	9	2	pʰitʰopʼ	aio		attested	high		manual visual inspection of the 300-dpi rendered page; small IPA marks rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-PDF-text-legacy-not-copied-or-used-to-verify
i106-l10	106	cheek	66	59	left	10	3	pai̯tʰokʼ	bc		attested	high		manual visual inspection of the 300-dpi rendered page; small IPA marks rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-PDF-text-legacy-not-copied-or-used-to-verify
i106-l11	106	cheek	66	59	left	11	3	pʰai̯tʰopʼ	ef		attested	high		manual visual inspection of the 300-dpi rendered page; small IPA marks rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-PDF-text-legacy-not-copied-or-used-to-verify
i106-l12	106	cheek	66	59	left	12	4	tiwai̯tʼ	jk		attested	high		manual visual inspection of the 300-dpi rendered page; small IPA marks rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-PDF-text-legacy-not-copied-or-used-to-verify
i106-l13	106	cheek	66	59	left	13	5	gal	0		attested	high		manual visual inspection of the 300-dpi rendered page; small IPA marks rechecked in targeted 1200-dpi crops	2026-08-29	hand-keyed-from-rendered-source; OCR-PDF-text-legacy-not-copied-or-used-to-verify
