Item	Gloss
1	body
2	head
3	hair
4	face
5	eye
6	ear
7	nose
8	mouth
9	teeth
10	tongue
11	breast
12	belly
13	arm
14	elbow
15	palm
16	finger
17	nail
18	leg
19	skin
20	bone
21	heart
22	blood
23	urine
24	feces
25	village
26	house
27	roof
28	door
29	firewood
30	broom
31	mortar
32	pestle
33	hammer
34	knife
35	axe
36	rope
37	thread
38	needle
39	cloth
40	ring
41	sun
42	moon
43	sky
44	star
45	rain
46	water
47	river
48	cloud
49	lightning
50	rainbow
51	wind
52	stone
53	path
54	sand
55	fire
56	smoke
57	ash
58	mud
59	dust
60	gold
61	tree
62	leaf
63	root
64	thorn
65	flower
66	fruit
67	mango
68	banana
69	wheat
70	millet
71	rice
72	potato
73	eggplant
74	groundnut
75	chili
76	turmeric
77	garlic
78	onion
79	cauliflower
80	tomato
81	cabbage
82	oil
83	salt
84	meat
85	fat
86	fish
87	chicken
88	egg
89	cow
90	buffalo
91	milk
92	horns
93	tail
94	goat
95	dog
96	snake
97	monkey
98	mosquito
99	ant
100	spider
101	name
102	man
103	woman
104	child
105	father
106	mother
107	older brother
108	younger brother
109	older sister
110	younger sister
111	son
112	daughter
113	husband
114	wife
115	boy
116	girl
117	day
118	night
119	morning
120	noon
121	evening/afternoon
122	yesterday
123	today
124	tomorrow
125	week
126	month
127	year
128	old
129	new
130	good
131	bad
132	wet
133	dry
134	long
135	short
136	hot
137	cold
138	right
139	left
140	near
141	far
142	big
143	small
144	heavy
145	light
146	above
147	below
148	white
149	black
150	red
151	one
152	two
153	three
154	four
155	five
156	six
157	seven
158	eight
159	nine
160	ten
161	eleven
162	twelve
163	twenty
164	one hundred
165	who?
166	what?
167	where?
168	when?
169	how many?
170	what kind?
171	this
172	that
173	these
174	those
175	same
176	different
177	whole
178	broken
179	few
180	many
181	all
182	eat
183	bite
184	be hungry
185	drink
186	be thirsty
187	sleep
188	lie down
189	sit down
190	give
191	burn
192	die
193	kill
194	fly
195	walk
196	run
197	go
198	come
199	speak
200	hear
201	see
202	I
203	you (singular, informal)
204	you (singular, formal)
205	he
206	she
207	we (inclusive)
208	we (exclusive)
209	you (plural)
210	they
