PDF_Page	Printed_Page	Page_Line	Item	Gloss	List	Source_Cell	Record_Type	Extraction_Note
42	34	29	1	body	Urdu	2  dʒɪsm	response	
42	34	30	1	body	Chitral/Pak	1  dʒɪn	response	
42	34	31	1	body	Settlet Swat/Pak	4  bʌdʌn / 5 wʌdʒud	response	
42	34	32	1	body	Gilgit/Pak	1  dʒɪn	response	
42	34	33	1	body	Kaghan/Pak	2  dʒɪsʌm / 3  dʒuso	response	
42	34	34	1	body	North. Azad/Pak	3  dʒusõ	response	
42	34	35	1	body	Centr. Azad/Pak	4  bʌdʌn	response	
42	34	36	1	body	Udhampur/J&K	1  dʒhɑn	response	
42	34	37	1	body	Jammu/J&K	1  dʒɪnd	response	
42	34	38	1	body	Chamba/H.P.	1  dʒɑn	response	
42	34	39	1	body	Rampur/H.P.	1  dʒɑn	response	
42	34	40	1	body	Nalagarh/H.P.	1  dʒɑn	response	
42	34	41	1	body	Dehradun/U.P.	2  dʒɪsʌm	response	
42	34	42	1	body	Kotdwara/U.P.	4  bʌdʌn	response	
42	34	43	1	body	Haldwani/U.P.	1  dʒɑn /  2  dʒɪsʌm	response	
42	34	47	2	head	Urdu	1  sʌɾ	response	
42	34	48	2	head	Chitral/Pak	1  sʌɾ	response	
42	34	49	2	head	Settlet Swat/Pak	1  seɾ	response	
42	34	50	2	head	Gilgit/Pak	1  sɛɾ	response	
42	34	51	2	head	Kaghan/Pak	1  seɾ	response	
42	34	52	2	head	North. Azad/Pak	1  sɛɾ	response	
42	34	53	2	head	Centr. Azad/Pak	1  sɪɾ	response	
42	34	54	2	head	Udhampur/J&K	1  sɛɾ	response	
42	34	55	2	head	Jammu/J&K	1  sɪɾ	response	
42	34	56	2	head	Chamba/H.P.	1  sɪɾ	response	
42	34	57	2	head	Rampur/H.P.	1  sɪɾ	response	
42	34	58	2	head	Nalagarh/H.P.	1  sɪɾ	response	
42	34	59	2	head	Dehradun/U.P.	1  sɛɾ /  1  sɪɾ	response	
42	34	60	2	head	Kotdwara/U.P.	1  sɛɾ	response	
42	34	61	2	head	Haldwani/U.P.	1  sɪɾ	response	
42	34	65	3	hair	Urdu	1  bɑl	response	
42	34	66	3	hair	Chitral/Pak	2  bɑ	response	
42	34	67	3	hair	Settlet Swat/Pak	2  bɑ	response	
42	34	68	3	hair	Gilgit/Pak	1  bɑɽ	response	
42	34	69	3	hair	Kaghan/Pak	1  bɑɽ	response	
42	34	70	3	hair	North. Azad/Pak	1  bɑl	response	
42	34	71	3	hair	Centr. Azad/Pak	1  bɑl	response	
42	34	72	3	hair	Udhampur/J&K	1  bɑl	response	
42	34	73	3	hair	Jammu/J&K	1  bɑɭ	response	
42	34	74	3	hair	Chamba/H.P.	1  bɑl /  1  bɑɭ	response	
42	34	75	3	hair	Rampur/H.P.	1  bɑɭ	response	
42	34	76	3	hair	Nalagarh/H.P.	1  bɑɭ	response	
