PDr,d1,a-,"that; that woman or thing; look there!; that place, there; there; so much, all, whole; that time, then, afterwards; that time, then; thus; that man; those things; adj.that; that woman; those persons; that day; thus, in that way; all; then, at that time; there, in that place; there, thence; that man, those men, that woman, those women, that thing, those things; those men; that (remote); those women or things; there!; then; therefore; this",,,,"merriam2026dravidiandb[record 1, DEDR 1];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:1,,,,
PDr,d1,ā,"that; that woman or thing; look there!; that place, there; there; so much, all, whole; that time, then, afterwards; that time, then; thus; that man; those things; adj.that; that woman; those persons; that day; thus, in that way; all; then, at that time; there, in that place; there, thence; that man, those men, that woman, those women, that thing, those things; those men; that (remote); those women or things; there!; then; therefore; this",,,,"merriam2026dravidiandb[record 2, DEDR 1];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:2,,,,
PSTDr,d2,agá-,"to press, afflict; troubles, difficulties, affliction",,,,"merriam2026dravidiandb[record 3, DEDR 2];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:3,,,,
PSD1,d3,agasai,"common flax; common flax, Linum usitatissimum",,,South Dravidian,"merriam2026dravidiandb[record 4, DEDR 3];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:4,,,,
PSTDr,d4,agáḍ-,"wicked, mean; blame, exposure, fault",,,,"merriam2026dravidiandb[record 5, DEDR 4];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:5,,,,
PSD1,d5,agasti,"pea-tree; a leguminous tree, Coronilla grandiflora or Aeschynomene grandiflora",,,South Dravidian,"merriam2026dravidiandb[record 6, DEDR 5];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:6,,,,
PSD1,d6,agapai,"ladle; ladle, spoon, scoop made of coconut shell",,,South Dravidian,"merriam2026dravidiandb[record 7, DEDR 6];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:7,,,,
PDr,d7,aka,"inside; to appear, be observed, perceived; a vital part of the body, private parts; to be got",,,,"merriam2026dravidiandb[record 8, DEDR 7];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:8,,,,
PDr,d8,agál-,"to spread; to leave, depart, be gone (of strength in war, liveliness, etc.); to spread, increase, become public",,,,"merriam2026dravidiandb[record 9, DEDR 8];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:9,,,,
PDr,d9,agál-,small earthen pot; pot,,,,"merriam2026dravidiandb[record 10, DEDR 9];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:10,,,,
PSD1,d10,aga-,to sound (as a peacock),,,South Dravidian,"merriam2026dravidiandb[record 11, DEDR 10];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:11,,,,
PDr,d11,agáẓ-,"to dig; ditch, moat, trench",,,,"merriam2026dravidiandb[record 12, DEDR 11];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:12,,,,
PSD1,d12,agi-,"to tremble, fear; fear, terror",,,South Dravidian,"merriam2026dravidiandb[record 13, DEDR 12];starostin2006dravidian",,"Upstream reconstruction attribution: Starostin, 2006–2013.",merriam2026dravidiandb:pdr:13,,,,
