so,m73,(ə-)ˈlʔuːd-ən,ear,,(ə-)ˈlʔuːd-ən,,"pinnow1959versuch[p. 97, item 1319, set V147]",,Pinnow comparative set V147. Linked to Rau m73 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p97.i1319.sV147,,,,
so,m3,(ə-)ˈlʔɑːŋ-ən,tongue,,(ə-)ˈlʔɑːŋ-ən,,"pinnow1959versuch[p. 71, item 1176, set V14]",,Pinnow comparative set V14. Linked to Rau m3 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p71.i1176.sV014,,,,
mu,,-aʔ,genitive,,-aʔ,,"pinnow1959versuch[p. 71, item 1180, set V18]",,Pinnow comparative set V18.,pinnow1959versuch:C:c4.p71.i1180.sV018,,,,gen
sa,,-aʔ,genitive,,-aʔ,,"pinnow1959versuch[p. 71, item 1180, set V18]",,Pinnow comparative set V18.,pinnow1959versuch:C:c2.p71.i1180.sV018,,,,gen
so,,-boːɟ-ən,a feminine suffix,,-boːɟ-ən,,"pinnow1959versuch[p. 267, item 475, set K349]",,Pinnow comparative set K349.,pinnow1959versuch:C:c3.p267.i475.sK349,,,,suffix f
ju,,-del-,to come,,-del-,,"pinnow1959versuch[p. 101, item 1324, set V151]",,Pinnow comparative set V151.,pinnow1959versuch:C:c11.p101.i1324.sV151,,,,
gu,,-leː,we,,-leː,,"pinnow1959versuch[p. 104, item 1349, set V174]",,Pinnow comparative set V174.,pinnow1959versuch:C:c8.p104.i1349.sV174,,,,pron 1pl
kh,,-ɑʔ,genitive,,-ɑʔ,,"pinnow1959versuch[p. 71, item 1180, set V18]",,Pinnow comparative set V18.,pinnow1959versuch:C:c1.p71.i1180.sV018,,,,gen
so,,-ə-,genitive,,-ə-,,"pinnow1959versuch[p. 71, item 1180, set V18]",,Pinnow comparative set V18.,pinnow1959versuch:C:c3.p71.i1180.sV018,,,,gen
mu,,a-,causative prefix,,a-,,"pinnow1959versuch[p. 130, item 1465, set V266]",,Pinnow comparative set V266.,pinnow1959versuch:C:c4.p130.i1465.sV266,,,,prefix
sa,,a-,causative prefix,,a-,,"pinnow1959versuch[p. 130, item 1465, set V266]",,Pinnow comparative set V266.,pinnow1959versuch:C:c2.p130.i1465.sV266,,,,prefix
Mahali,,a-ben,you two,,a-ben,,"pinnow1959versuch[p. 76, item 1217, set V55]",,Pinnow comparative set V55.,pinnow1959versuch:C:c16.p76.i1217.sV055,,,,
ju,,aba,father,,aba,,"pinnow1959versuch[p. 72, item 1188, set V26]",,Pinnow comparative set V26.,pinnow1959versuch:C:c11.p72.i1188.sV026,,,,
mu,,aba,father,,aba,,"pinnow1959versuch[p. 72, item 1188, set V26]",,Pinnow comparative set V26.,pinnow1959versuch:C:c4.p72.i1188.sV026,,,,
ko,,aba,father,,aba,,"pinnow1959versuch[p. 72, item 1188, set V26]",,Pinnow comparative set V26.,pinnow1959versuch:C:c5.p72.i1188.sV026,,,,
ko,,ba-te,father,,ba-te,,"pinnow1959versuch[p. 72, item 1188, set V26]",,Pinnow comparative set V26.,pinnow1959versuch:C:c5.p72.i1188.sV026:v2,pinnow1959versuch:C:c5.p72.i1188.sV026,,,
Asuri,,aban,you two,,aban,,"pinnow1959versuch[p. 76, item 1217, set V55]",,Pinnow comparative set V55.,pinnow1959versuch:C:c14.p76.i1217.sV055,,,,
gu,,abbaː,father,,abbaː,,"pinnow1959versuch[p. 72, item 1188, set V26]",,Pinnow comparative set V26.,pinnow1959versuch:C:c8.p72.i1188.sV026,,,,
Birhor,,aben,you two,,aben,,"pinnow1959versuch[p. 76, item 1217, set V55]",,Pinnow comparative set V55.,pinnow1959versuch:C:c7.p76.i1217.sV055,,,,
ho,,aben,you two,,aben,,"pinnow1959versuch[p. 76, item 1217, set V55]",,Pinnow comparative set V55.,pinnow1959versuch:C:c6.p76.i1217.sV055,,,,
sa,,aben,you two,,aben,,"pinnow1959versuch[p. 76, item 1217, set V55]",,Pinnow comparative set V55.,pinnow1959versuch:C:c2.p76.i1217.sV055,,,,
sa,,abɛn,you two,,abɛn,,"pinnow1959versuch[p. 76, item 1217, set V55]",,Pinnow comparative set V55.,pinnow1959versuch:C:c2.p76.i1217.sV055:v2,pinnow1959versuch:C:c2.p76.i1217.sV055,,,
Birhor,m105,abo,"we, you and I (inclusive)",,abo,,"pinnow1959versuch[p. 368, item 975, set K508]",,Pinnow comparative set K508. Linked to Rau m105 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p368.i975.sK508,,,,pron 1pl inclusive
Birhor,m105,abon,"we, you and I (inclusive)",,abon,,"pinnow1959versuch[p. 368, item 975, set K508]",,Pinnow comparative set K508. Linked to Rau m105 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p368.i975.sK508:v2,pinnow1959versuch:C:c7.p368.i975.sK508,,,pron 1pl inclusive
Mahali,m105,abo,"we, you and I (inclusive)",,abo,,"pinnow1959versuch[p. 368, item 975, set K508]",,Pinnow comparative set K508. Linked to Rau m105 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c16.p368.i975.sK508,,,,pron 1pl inclusive
Mahali,m105,abon,"we, you and I (inclusive)",,abon,,"pinnow1959versuch[p. 368, item 975, set K508]",,Pinnow comparative set K508. Linked to Rau m105 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c16.p368.i975.sK508:v2,pinnow1959versuch:C:c16.p368.i975.sK508,,,pron 1pl inclusive
sa,m105,abo,"we, you and I (inclusive)",,abo,,"pinnow1959versuch[p. 368, item 975, set K508]",,Pinnow comparative set K508. Linked to Rau m105 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p368.i975.sK508,,,,pron 1pl inclusive
