OSi,1045,a,"come, arrived",,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,part
OSi,,a,when come,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,
OSi,,a,,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,
OSi,,at,"interjection implying surprise, anger, joy, recollection, &c. Ahl Oh!",,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,indecl
OSi,,at,,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,
OSi,68,ak,end,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,noun
OSi,,akamayavaya,,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,
OSi,,akara,sprout,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,noun
OSi,,akusu,[Skt. amıkuśa,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,noun
OSi,,akmay,forgiving,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,adj
OSi,68,ag,mountain,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,adj
OSi,68,agal,"top, summit",,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,noun
OSi,,aga,limb,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,noun
OSi,114,aga,"in thi _— manner of, like",,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,adv
OSi,,agan,woman,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,noun f
OSi,,agin,,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,instr
OSi,,agu,border,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,noun
OSi,,agura,"charcoal loc., agure",,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,noun
OSi,,age,"of agat, 647-",,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,loc
OSi,,agna,,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,
OSi,,aglhi,of ag,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,loc
OSi,114,añ,"body, limb",,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,noun
OSi,,aùga,,,,,"paranavitana[p. 431 (printed p. 423), col. 1]",,,,,,,noun
OSi,,aṅgana,,,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,noun f
OSi,,aṅga-pirihiņ,,,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,
OSi,,aṅgavano,pl. of pr. pt. cs. (inf.) of vañga?,,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,nom
OSi,,aṅgna,,,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,
OSi,,aṅg-rā,cosmetics,,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,
OSi,,aj,,,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,indecl
OSi,,ajat,to paint,,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,verb
OSi,,aja,"to incline, pull, draw, attract; gd., ajamina",,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,verb
OSi,,ajavaya,cs. of vajat,,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,abs
OSi,,ajahas,intention,,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,noun
OSi,640,ajvay,desirous of,,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,
OSi,,ada-dara,,,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,noun
OSi,,ad-dara,the edge of a mountain,,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,noun
OSi,,ad-bud,halfeaten,,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,
OSi,,ati,hand; (1) st. f,,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,noun
OSi,,at,end,,,,"paranavitana[p. 431 (printed p. 423), col. 2]",,,,,,,noun
