Ni,,dhāblā,name of a bird,,dhāblā,,"mundlay1996[p. 26];nihali-database2026[tab Mundlay, row 2, ID 563]",,Mundlay: Korku dabili,mundlay1996:527,,,,loanword
Ni,,adito,habit,,adito,,"mundlay1996[p. 17];nihali-database2026[tab Mundlay, row 3, ID 10]",,Mundlay: Hindi ādat,mundlay1996:10,,,,loanword
Ni,,aɖɖo,tree,,aɖɖo,,"mundlay1996[p. 17];nihali-database2026[tab Mundlay, row 4, ID 8]",,,mundlay1996:8,,,,
Ni,,admosu,to stretch after sleep,,admosu,,"mundlay1996[p. 17];nihali-database2026[tab Mundlay, row 5, ID 12]",,,nihali-database2026:mundlay:12,,,,
Ni,,aggaso,sky,,aggaso,,"mundlay1996[p. 17];nihali-database2026[tab Mundlay, row 6, ID 15]",,Mundlay: Marathi ākāʃ,mundlay1996:15,,,,loanword
Ni,,agin,summer,,agin,,"mundlay1996[p. 17];nihali-database2026[tab Mundlay, row 7, ID 16]",,"Mundlay: Marathi/Hindi agni ""fire""",mundlay1996:16,,,,loanword
Ni,,agin-bí,to perspire,,agin-bí,,"mundlay1996[p. 17];nihali-database2026[tab Mundlay, row 8, ID 17]",,,mundlay1996:17,,,,
Ni,,ayi,below,,ayi,,"mundlay1996[p. 19];nihali-database2026[tab Mundlay, row 9, ID 103]",,,mundlay1996:98,,,,
Ni,,alābalā,descriptive of inferior quality,,alābalā,,"mundlay1996[p. 17];nihali-database2026[tab Mundlay, row 10, ID 35]",,Mundlay: Marathi alābalā 'used in the ritual of warding off the evil eye',mundlay1996:36,,,,loanword
Ni,,anɖa,"bad, false; to become bad",,anɖa,,"mundlay1996[p. 18];nihali-database2026[tab Mundlay, row 11, ID 45]",,,mundlay1996:46,,,,
Ni,,anɖa bai,female adulterer,,anɖa bai,,"mundlay1996[p. 18];nihali-database2026[tab Mundlay, row 12, ID 46]",,,nihali-database2026:mundlay:46,,,,
Ni,,anɖa manso,male adulterer,,anɖa manso,,"mundlay1996[p. 18];nihali-database2026[tab Mundlay, row 13, ID 47]",,,nihali-database2026:mundlay:47,,,,
Ni,,āndij,a root like the sweet potato,,āndij,,"mundlay1996[p. 18];nihali-database2026[tab Mundlay, row 14, ID 49]",,,mundlay1996:48,,,,
Ni,,ápa,to cry,,ápa,,"mundlay1996[p. 18];nihali-database2026[tab Mundlay, row 15, ID 62]",,,mundlay1996:59,,,,
