OM,1,a,a negative.; an excessive.,अ,,,"tulpule1999[p. 1, entry 1]",,Sk.,tulpule:p1:e1:v1,,,,prefix
OM,1292a,aukṣa,a lifetime; a life span.,अउक्ष,,,"tulpule1999[p. 1, entry 3]",,Sk. āyuṣya/cf. āükha; āükṣa; āyukṣa,tulpule:p1:e3:v1,,,,n noun
OM,100,aṅka,a lap.,अंक,,,"tulpule1999[p. 1, entry 4]",,Sk.,tulpule:p1:e4:v1,,,,m noun
OM,100,aṅka,a characteristic mark.,अंक,,,"tulpule1999[p. 1, entry 5]",,Sk./cf. āṅka,tulpule:p1:e5:v1,,,,m noun
OM,102,aṅkaṇā,an anklet on which to hang little images of the foes one has conquered.,अंकणा,,,"tulpule1999[p. 1, entry 7]",,Sk. aṅkana-/cf. āṅkaṇā; āṅkaṇẽ; āṅkanā,tulpule:p1:e7:v1,,,,m adj
OM,106,aṅkita,marked.,अंकित,,,"tulpule1999[p. 1, entry 16]",,Sk./cf. āṅka,tulpule:p1:e16:v1,,,,adj
OM,106,aṅkila,under the control (of someone).,अंकिल,,,"tulpule1999[p. 1, entry 17]",,Sk. aṅkita,tulpule:p1:e17:v1,,,,adj
OM,109,aṅkuraṇēṁ,to sprout.,अंकुरणें,,,"tulpule1999[p. 1, entry 19]",,Sk. aṅkura-/cf. āṅkuraṇe,tulpule:p1:e19:v1,,,,intr verb
OM,1,akhara,unreal; false.,अखर,,,"tulpule1999[p. 2, entry 11]",,Sk. a-,tulpule:p2:e11:v1,,,,adj
OM,114,aṅga,a body.,अंग,,,"tulpule1999[p. 2, entry 20]",,Sk./cf. āṅga,tulpule:p2:e20:v1,,,,n noun
OM,1056,agaḍa,a trench.,अगड,,,"tulpule1999[p. 2, entry 21]",,Sk. āghāṭa?,tulpule:p2:e21:v1,,,,m noun
OM,1056,agaḍā,the wall of a fort; a rampart.,अगडा,,,"tulpule1999[p. 2, entry 22]",,Sk. āghāṭa,tulpule:p2:e22:v1,,,,f noun
OM,117,aṅgada,an armlet.,अंगद,,,"tulpule1999[p. 2, entry 26]",,Sk.,tulpule:p2:e26:v1,,,,n noun
OM,49,agara,a kind of incense.,अगर,,,"tulpule1999[p. 3, entry 3]",,Sk. agaru,tulpule:p3:e3:v1,,,,m noun
OM,121,aṅgarāga,perfumed powder; (or) body colour.,अंगराग,,,"tulpule1999[p. 3, entry 4]",,Sk.,tulpule:p3:e4:v1,,,,m noun
OM,114,aṅgavaṇī,strength.,अंगवणी,,,"tulpule1999[p. 3, entry 7]",,Sk. aṅga-/cf. aṅgavaṇa; āṅgavaṇa,tulpule:p3:e7:v1,,,,f noun
OM,114,aṅgavaṇēṁ,power.,अंगवणें,,,"tulpule1999[p. 3, entry 8]",,Sk. aṅga-/cf. āṅgavaṇẽ; āṅgavanẽ,tulpule:p3:e8:v1,,,,n noun
OM,114,agā,a vocative used in addressing a male.,अगा,,,"tulpule1999[p. 3, entry 15]",,Sk. aṅga/cf. āgā,tulpule:p3:e15:v1,,,,interj
OM,52,agāra,a dwelling.,अगार,,,"tulpule1999[p. 3, entry 17]",,Sk.,tulpule:p3:e17:v1,,,,n noun
OM,68,agāra,a sprout.,अगार,,,"tulpule1999[p. 3, entry 18]",,Sk. agra/cf. āgārī,tulpule:p3:e18:v1,,,,m noun
