Bur,,bampfu,children,,,Donor form cited in Bashir's Khowar etymology: [< Bur. bampfu ‘children’s ball for playing foot-polo’ (L:1962: 44)],bashir2023,,Source form cited by Bashir: [< Bur. bampfu ‘children’s ball for playing foot-polo’ (L:1962: 44)],bashir:donor:Bur:391a74fa75,,,,source-form
Bur,,baŋut,fortified camp,,,Donor form cited in Bashir's Khowar etymology: [< Bur. baŋut ‘fortified camp’ (L:1938: 69)],bashir2023,,Source form cited by Bashir: [< Bur. baŋut ‘fortified camp’ (L:1938: 69)],bashir:donor:Bur:b8737df075,,,,source-form
Bur,,bits,front facing of šuqá,,,"Donor form cited in Bashir's Khowar etymology: [< Bur. bits ‘front facing of šuqá’ (L:1938: 84), ‘armpit, side, gusset’ (L:1962: 56)]",bashir2023,,"Source form cited by Bashir: [< Bur. bits ‘front facing of šuqá’ (L:1938: 84), ‘armpit, side, gusset’ (L:1962: 56)]",bashir:donor:Bur:000018e89f,,,,source-form
Bur,,blʋš,"slowly, softly, quietly",,,"Donor form cited in Bashir's Khowar etymology: [< Bur. blʋš ‘slowly, softly, quietly’ (L:1962: 44)]",bashir2023,,"Source form cited by Bashir: [< Bur. blʋš ‘slowly, softly, quietly’ (L:1962: 44)]",bashir:donor:Bur:e875ea7250,,,,source-form
Bur,,cf. hisk,wrist,,,"Donor form cited in Bashir's Khowar etymology: [< Bur. cf. hisk ‘wrist’?, ‘back of hand’ (Lorimer 1938: 204]",bashir2023,,"Source form cited by Bashir: [< Bur. cf. hisk ‘wrist’?, ‘back of hand’ (Lorimer 1938: 204]",bashir:donor:Bur:9e507b060d,,,,source-form
Bur,,warts,"in proper order; right; well-done, correct",,,"Donor form cited in Bashir's Khowar etymology: [< Bur. warts ‘in proper order; right; well-done, correct’ (Berger 1998: 465)(Lorimer 1938: 371)]",bashir2023,,"Source form cited by Bashir: [< Bur. warts ‘in proper order; right; well-done, correct’ (Berger 1998: 465)(Lorimer 1938: 371)]",bashir:donor:Bur:cff03953cf,,,,source-form
Bur,,ʌkuš,without leisure,,,Donor form cited in Bashir's Khowar etymology: [< Bur. ʌkuš ‘without leisure’ (L:1938)],bashir2023,,Source form cited by Bashir: [< Bur. ʌkuš ‘without leisure’ (L:1938)],bashir:donor:Bur:fa4d49dbad,,,,source-form
Bur,,γaṣáp étas,to seize,,,Donor form cited in Bashir's Khowar etymology: [< Bur. γaṣáp étas ‘to seize’ (Berger 1998: 173)],bashir2023,,Source form cited by Bashir: [< Bur. γaṣáp étas ‘to seize’ (Berger 1998: 173)],bashir:donor:Bur:2ab233b856,,,,source-form
Eng,,bag,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘bag’],bashir2023,,Source form cited by Bashir: [< Eng. ‘bag’],bashir:donor:Eng:214dbc8ec7,,,,source-form
Eng,,battery,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘battery’],bashir2023,,Source form cited by Bashir: [< Eng. ‘battery’],bashir:donor:Eng:9994e71a0a,,,,source-form
Eng,,beam,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘beam’],bashir2023,,Source form cited by Bashir: [< Eng. ‘beam’],bashir:donor:Eng:fdb11a4d34,,,,source-form
Eng,,bioscope,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘bioscope’],bashir2023,,Source form cited by Bashir: [< Eng. ‘bioscope’],bashir:donor:Eng:7bbe15279a,,,,source-form
Eng,,boot,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘boot’],bashir2023,,Source form cited by Bashir: [< Eng. ‘boot’],bashir:donor:Eng:e155465b34,,,,source-form
Eng,,bread,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘bread’ ?],bashir2023,,Source form cited by Bashir: [< Eng. ‘bread’ ?],bashir:donor:Eng:5066692817,,,,source-form
Eng,,breeches,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘breeches’],bashir2023,,Source form cited by Bashir: [< Eng. ‘breeches’],bashir:donor:Eng:20b3eb25b4,,,,source-form
Eng,,cartridge,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘cartridge’],bashir2023,,Source form cited by Bashir: [< Eng. ‘cartridge’],bashir:donor:Eng:a794b0fe1b,,,,source-form
Eng,,cell,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘cell’ (battery)],bashir2023,,Source form cited by Bashir: [< Eng. ‘cell’ (battery)],bashir:donor:Eng:c780777a0f,,,,source-form
Eng,,cement,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘cement’],bashir2023,,Source form cited by Bashir: [< Eng. ‘cement’],bashir:donor:Eng:fca45e41f4,,,,source-form
Eng,,certificate,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘certificate’],bashir2023,,Source form cited by Bashir: [< Eng. ‘certificate’],bashir:donor:Eng:591d7c36b9,,,,source-form
Eng,,chain,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘chain’],bashir2023,,Source form cited by Bashir: [< Eng. ‘chain’],bashir:donor:Eng:abfe1be535,,,,source-form
Eng,,cigarette,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘cigarette’],bashir2023,,Source form cited by Bashir: [< Eng. ‘cigarette’],bashir:donor:Eng:d3dede1475,,,,source-form
Eng,,coat,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘coat’],bashir2023,,Source form cited by Bashir: [< Eng. ‘coat’],bashir:donor:Eng:a2fc315200,,,,source-form
Eng,,college,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘college’],bashir2023,,Source form cited by Bashir: [< Eng. ‘college’],bashir:donor:Eng:636ea5d0be,,,,source-form
Eng,,cooker,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘cooker’],bashir2023,,Source form cited by Bashir: [< Eng. ‘cooker’],bashir:donor:Eng:a20a03e34c,,,,source-form
Eng,,cricket,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘cricket’ (the game)],bashir2023,,Source form cited by Bashir: [< Eng. ‘cricket’ (the game)],bashir:donor:Eng:bf466570ae,,,,source-form
Eng,,cup,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘cup’],bashir2023,,Source form cited by Bashir: [< Eng. ‘cup’],bashir:donor:Eng:df1185cf7b,,,,source-form
Eng,,cutting,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘cutting’],bashir2023,,Source form cited by Bashir: [< Eng. ‘cutting’],bashir:donor:Eng:d666b06d90,,,,source-form
Eng,,drama,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘drama’],bashir2023,,Source form cited by Bashir: [< Eng. ‘drama’],bashir:donor:Eng:8ab2062de1,,,,source-form
Eng,,driver,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘driver’],bashir2023,,Source form cited by Bashir: [< Eng. ‘driver’],bashir:donor:Eng:ad68050c3c,,,,source-form
Eng,,fail,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘fail’],bashir2023,,Source form cited by Bashir: [< Eng. ‘fail’],bashir:donor:Eng:e3c037bf05,,,,source-form
Eng,,football,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘football’],bashir2023,,Source form cited by Bashir: [< Eng. ‘football’],bashir:donor:Eng:0d380f0c19,,,,source-form
Eng,,foreman,,,,Donor form cited in Bashir's Khowar etymology: [< Eng. ‘foreman’],bashir2023,,Source form cited by Bashir: [< Eng. ‘foreman’],bashir:donor:Eng:a5e75f905a,,,,source-form
