M,,ədou,to press.,,,,"ghatage-kasargod1970[p. 136, entry 1]",,,ghatage-kasargod1970:p136:e1,,,,verb dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,ənni,boiled rice.,,,,"ghatage-kasargod1970[p. 136, entry 2]",,,ghatage-kasargod1970:p136:e2,,,,noun n dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,ədki,more.,,,,"ghatage-kasargod1970[p. 136, entry 3]",,,ghatage-kasargod1970:p136:e3,,,,adj dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,ilodi,turmeric.,,,,"ghatage-kasargod1970[p. 136, entry 4]",,,ghatage-kasargod1970:p136:e4,,,,noun n dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,ilədi,yellow.,,,,"ghatage-kasargod1970[p. 136, entry 5]",,,ghatage-kasargod1970:p136:e5,,,,adj dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,ɨ:stɨ,elephant.,,,,"ghatage-kasargod1970[p. 136, entry 6]",,,ghatage-kasargod1970:p136:e6,,,,noun n dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,akəri,to call.,,,,"ghatage-kasargod1970[p. 136, entry 7]",,,ghatage-kasargod1970:p136:e7,,,,verb dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,akka,elder sister.,,,,"ghatage-kasargod1970[p. 136, entry 8]",,,ghatage-kasargod1970:p136:e8,,,,noun n dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,akkudu,short.,,,,"ghatage-kasargod1970[p. 136, entry 9]",,,ghatage-kasargod1970:p136:e9,,,,adj dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,aga:ri,garden.,,,,"ghatage-kasargod1970[p. 136, entry 10]",,,ghatage-kasargod1970:p136:e10,,,,noun n dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,agiči pețți,match box.,,,,"ghatage-kasargod1970[p. 136, entry 11]",,,ghatage-kasargod1970:p136:e11,,,,noun f dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,agkəlit,"to raise, to lift.",,,,"ghatage-kasargod1970[p. 136, entry 12]",,,ghatage-kasargod1970:p136:e12,,,,verb dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,ayko:u,"to ride, to drive.",,,,"ghatage-kasargod1970[p. 136, entry 13]",,,ghatage-kasargod1970:p136:e13,,,,verb dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,angi,"frock, shirt.",,,,"ghatage-kasargod1970[p. 136, entry 14]",,,ghatage-kasargod1970:p136:e14,,,,expression dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,agta bə:tțt,thumb.,,,,"ghatage-kasargod1970[p. 136, entry 15]",,,ghatage-kasargod1970:p136:e15,,,,noun m dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,ačči kə:ri,to print.,,,,"ghatage-kasargod1970[p. 136, entry 16]",,,ghatage-kasargod1970:p136:e16,,,,verb dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,ajja,grand father.,,,,"ghatage-kasargod1970[p. 136, entry 17]",,,ghatage-kasargod1970:p136:e17,,,,noun m dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,ajji,grand mother.,,,,"ghatage-kasargod1970[p. 136, entry 18]",,,ghatage-kasargod1970:p136:e18,,,,noun f dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,ajjimiri,rainbow.,,,,"ghatage-kasargod1970[p. 136, entry 19]",,,ghatage-kasargod1970:p136:e19,,,,noun n dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,anjur,fig.,,,,"ghatage-kasargod1970[p. 136, entry 20]",,,ghatage-kasargod1970:p136:e20,,,,noun m dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
M,,ați,cow shed.,,,,"ghatage-kasargod1970[p. 136, entry 21]",,,ghatage-kasargod1970:p136:e21,,,,noun f dialect:M:ghatage-kasargod1970:Marati%20of%20Kasargod ocr-review
