Garo,,beʔen,body,,beʔen,,"kondakov2011koch[wordlist item 'body', site A, Garo]",,,silkoch2011:A:i1:body,,,,dialect:Garo:koch2011-garo-tura:Garo%20%28Tura%29
Rabha,,kɑń,body,,kɑń,,"kondakov2011koch[wordlist item 'body', site B, Rongdani Rabha]",,,silkoch2011:B:i1:body,,,,dialect:Rabha:koch2011-rongdani-rabha-tura:Rongdani%20Rabha%20%28Tura%29
Rabha,,kɑnɡɑnd͡ʒi,body,,kɑnɡɑnd͡ʒi,,"kondakov2011koch[wordlist item 'body', site B, Rongdani Rabha]",,,silkoch2011:B:i2:body,,,,dialect:Rabha:koch2011-rongdani-rabha-tura:Rongdani%20Rabha%20%28Tura%29
Koch,,kɑn,body,,kɑn,,"kondakov2011koch[wordlist item 'body', site F, Koch-Rabha]",,,silkoch2011:F:i1:body,,,,dialect:Koch:koch2011-koch-rabha-debitola:Koch-Rabha%20%28Debitola%20village%29
Koch,,kɑn,body,,kɑn,,"kondakov2011koch[wordlist item 'body', site I, Tintekiya Koch]",,,silkoch2011:I:i1:body,,,,dialect:Koch:koch2011-tintekiya-koch-noksi:Tintekiya%20Koch%20%28Noksi%20village%29
Koch,,kɑn,body,,kɑn,,"kondakov2011koch[wordlist item 'body', site G, Wanang Koch]",,,silkoch2011:G:i1:body,,,,dialect:Koch:koch2011-wanang-koch-khalpara:Wanang%20Koch%20%28Khalpara%20village%29
Koch,,kɑn,body,,kɑn,,"kondakov2011koch[wordlist item 'body', site H, Wanang Koch]",,,silkoch2011:H:i1:body,,,,dialect:Koch:koch2011-wanang-koch-khilbui:Wanang%20Koch%20%28Khilbui%20village%29
Koch,,kɑn,body,,kɑn,,"kondakov2011koch[wordlist item 'body', site D, Harigaya Koch]",,,silkoch2011:D:i1:body,,,,dialect:Koch:koch2011-harigaya-koch-harigaon:Harigaya%20Koch%20%28Harigaon%20village%29
Koch,,kɑn,body,,kɑn,,"kondakov2011koch[wordlist item 'body', site E, Harigaya Koch]",,,silkoch2011:E:i1:body,,,,dialect:Koch:koch2011-harigaya-koch-ampati:Harigaya%20Koch%20%28Ampati%29
Koch,,kɑn,body,,kɑn,,"kondakov2011koch[wordlist item 'body', site C, Margan Koch]",,,silkoch2011:C:i1:body,,,,dialect:Koch:koch2011-margan-koch-marganpara:Margan%20Koch%20%28Marganpara%20village%29
Koch,,kɑn,body,,kɑn,,"kondakov2011koch[wordlist item 'body', site J, Tintekiya Koch]",,,silkoch2011:J:i1:body,,,,dialect:Koch:koch2011-tintekiya-koch-santipuri:Tintekiya%20Koch%20%28Santipuri%20village%29
Koch,,kɑn,body,,kɑn,,"kondakov2011koch[wordlist item 'body', site K, Tintekiya Koch]",,,silkoch2011:K:i1:body,,,,dialect:Koch:koch2011-tintekiya-koch-haldibari:Tintekiya%20Koch%20%28Haldibari%20village%29
Garo,,skʰo,head,,skʰo,,"kondakov2011koch[wordlist item 'head', site A, Garo]",,,silkoch2011:A:i1:head,,,,dialect:Garo:koch2011-garo-tura:Garo%20%28Tura%29
Rabha,,tɨkɑm,head,,tɨkɑm,,"kondakov2011koch[wordlist item 'head', site B, Rongdani Rabha]",,,silkoch2011:B:i1:head,,,,dialect:Rabha:koch2011-rongdani-rabha-tura:Rongdani%20Rabha%20%28Tura%29
Koch,,dɨkɨm,head,,dɨkɨm,,"kondakov2011koch[wordlist item 'head', site F, Koch-Rabha]",,,silkoch2011:F:i1:head,,,,dialect:Koch:koch2011-koch-rabha-debitola:Koch-Rabha%20%28Debitola%20village%29
Koch,,dukum,head,,dukum,,"kondakov2011koch[wordlist item 'head', site I, Tintekiya Koch]",,,silkoch2011:I:i1:head,,,,dialect:Koch:koch2011-tintekiya-koch-noksi:Tintekiya%20Koch%20%28Noksi%20village%29
Koch,,dəkəm,head,,dəkəm,,"kondakov2011koch[wordlist item 'head', site G, Wanang Koch]",,,silkoch2011:G:i1:head,,,,dialect:Koch:koch2011-wanang-koch-khalpara:Wanang%20Koch%20%28Khalpara%20village%29
Koch,,dɨkəm,head,,dɨkəm,,"kondakov2011koch[wordlist item 'head', site H, Wanang Koch]",,,silkoch2011:H:i1:head,,,,dialect:Koch:koch2011-wanang-koch-khilbui:Wanang%20Koch%20%28Khilbui%20village%29
Koch,,dukum,head,,dukum,,"kondakov2011koch[wordlist item 'head', site D, Harigaya Koch]",,,silkoch2011:D:i1:head,,,,dialect:Koch:koch2011-harigaya-koch-harigaon:Harigaya%20Koch%20%28Harigaon%20village%29
Koch,,dukum,head,,dukum,,"kondakov2011koch[wordlist item 'head', site E, Harigaya Koch]",,,silkoch2011:E:i1:head,,,,dialect:Koch:koch2011-harigaya-koch-ampati:Harigaya%20Koch%20%28Ampati%29
Koch,,dəkəm,head,,dəkəm,,"kondakov2011koch[wordlist item 'head', site C, Margan Koch]",,,silkoch2011:C:i1:head,,,,dialect:Koch:koch2011-margan-koch-marganpara:Margan%20Koch%20%28Marganpara%20village%29
Koch,,dukum,head,,dukum,,"kondakov2011koch[wordlist item 'head', site J, Tintekiya Koch]",,,silkoch2011:J:i1:head,,,,dialect:Koch:koch2011-tintekiya-koch-santipuri:Tintekiya%20Koch%20%28Santipuri%20village%29
Koch,,dukum,head,,dukum,,"kondakov2011koch[wordlist item 'head', site K, Tintekiya Koch]",,,silkoch2011:K:i1:head,,,,dialect:Koch:koch2011-tintekiya-koch-haldibari:Tintekiya%20Koch%20%28Haldibari%20village%29
Garo,,kni,hair,,kni,,"kondakov2011koch[wordlist item 'hair', site A, Garo]",,,silkoch2011:A:i1:hair,,,,dialect:Garo:koch2011-garo-tura:Garo%20%28Tura%29
Rabha,,kʰoɾó,hair,,kʰoɾó,,"kondakov2011koch[wordlist item 'hair', site B, Rongdani Rabha]",,,silkoch2011:B:i1:hair,,,,dialect:Rabha:koch2011-rongdani-rabha-tura:Rongdani%20Rabha%20%28Tura%29
Koch,,hɨwɨɾ,hair,,hɨwɨɾ,,"kondakov2011koch[wordlist item 'hair', site F, Koch-Rabha]",,,silkoch2011:F:i1:hair,,,,dialect:Koch:koch2011-koch-rabha-debitola:Koch-Rabha%20%28Debitola%20village%29
Koch,,hɑuɾɑ,hair,,hɑuɾɑ,,"kondakov2011koch[wordlist item 'hair', site F, Koch-Rabha]",,,silkoch2011:F:i2:hair,,,,dialect:Koch:koch2011-koch-rabha-debitola:Koch-Rabha%20%28Debitola%20village%29
Koch,,kʰɑu,hair,,kʰɑu,,"kondakov2011koch[wordlist item 'hair', site I, Tintekiya Koch]",,,silkoch2011:I:i1:hair,,,,dialect:Koch:koch2011-tintekiya-koch-noksi:Tintekiya%20Koch%20%28Noksi%20village%29
Koch,,hɑuɾɑ,hair,,hɑuɾɑ,,"kondakov2011koch[wordlist item 'hair', site G, Wanang Koch]",,,silkoch2011:G:i1:hair,,,,dialect:Koch:koch2011-wanang-koch-khalpara:Wanang%20Koch%20%28Khalpara%20village%29
Koch,,hɨwɨɾ,hair,,hɨwɨɾ,,"kondakov2011koch[wordlist item 'hair', site H, Wanang Koch]",,,silkoch2011:H:i1:hair,,,,dialect:Koch:koch2011-wanang-koch-khilbui:Wanang%20Koch%20%28Khilbui%20village%29
Koch,,hoɡɾɑ,hair,,hoɡɾɑ,,"kondakov2011koch[wordlist item 'hair', site D, Harigaya Koch]",,,silkoch2011:D:i1:hair,,,,dialect:Koch:koch2011-harigaya-koch-harigaon:Harigaya%20Koch%20%28Harigaon%20village%29
Koch,,hoɡɾɑ,hair,,hoɡɾɑ,,"kondakov2011koch[wordlist item 'hair', site E, Harigaya Koch]",,,silkoch2011:E:i1:hair,,,,dialect:Koch:koch2011-harigaya-koch-ampati:Harigaya%20Koch%20%28Ampati%29
Koch,,hɑu,hair,,hɑu,,"kondakov2011koch[wordlist item 'hair', site C, Margan Koch]",,,silkoch2011:C:i1:hair,,,,dialect:Koch:koch2011-margan-koch-marganpara:Margan%20Koch%20%28Marganpara%20village%29
Koch,,kʰɑu,hair,,kʰɑu,,"kondakov2011koch[wordlist item 'hair', site J, Tintekiya Koch]",,,silkoch2011:J:i1:hair,,,,dialect:Koch:koch2011-tintekiya-koch-santipuri:Tintekiya%20Koch%20%28Santipuri%20village%29
Koch,,kʰɑu,hair,,kʰɑu,,"kondakov2011koch[wordlist item 'hair', site K, Tintekiya Koch]",,,silkoch2011:K:i1:hair,,,,dialect:Koch:koch2011-tintekiya-koch-haldibari:Tintekiya%20Koch%20%28Haldibari%20village%29
Garo,,mɨkʰɑŋ,face,,mɨkʰɑŋ,,"kondakov2011koch[wordlist item 'face', site A, Garo]",,,silkoch2011:A:i1:face,,,,dialect:Garo:koch2011-garo-tura:Garo%20%28Tura%29
Rabha,,mukʰɑŋ,face,,mukʰɑŋ,,"kondakov2011koch[wordlist item 'face', site B, Rongdani Rabha]",,,silkoch2011:B:i1:face,,,,dialect:Rabha:koch2011-rongdani-rabha-tura:Rongdani%20Rabha%20%28Tura%29
Koch,,məhəŋ,face,,məhəŋ,,"kondakov2011koch[wordlist item 'face', site F, Koch-Rabha]",,,silkoch2011:F:i1:face,,,,dialect:Koch:koch2011-koch-rabha-debitola:Koch-Rabha%20%28Debitola%20village%29
Koch,,mukʰəŋ,face,,mukʰəŋ,,"kondakov2011koch[wordlist item 'face', site I, Tintekiya Koch]",,,silkoch2011:I:i1:face,,,,dialect:Koch:koch2011-tintekiya-koch-noksi:Tintekiya%20Koch%20%28Noksi%20village%29
Koch,,məhɑŋ,face,,məhɑŋ,,"kondakov2011koch[wordlist item 'face', site G, Wanang Koch]",,,silkoch2011:G:i1:face,,,,dialect:Koch:koch2011-wanang-koch-khalpara:Wanang%20Koch%20%28Khalpara%20village%29
Koch,,məhoŋ,face,,məhoŋ,,"kondakov2011koch[wordlist item 'face', site H, Wanang Koch]",,,silkoch2011:H:i1:face,,,,dialect:Koch:koch2011-wanang-koch-khilbui:Wanang%20Koch%20%28Khilbui%20village%29
