Bur,,a,exclamation of surprise,,,,berger-auto[p. 7 (printed p. 9)],,,berger:p009:c1:e001,,,,interj dialect:Hunza uncertain
Bur,,a,"short for áti, imp. of =t- © (Gr. .)",,,,berger-auto[p. 7 (printed p. 9)],,,berger:p009:c1:e002,,,,dialect:Hunza uncertain
Bur,,a:/oó-,"negation in the verb, cf. Gr. - 9.; , 49",,,,berger-auto[p. 7 (printed p. 9)],,"ys. aż, af, indoar. a- < skt. a-; ys. a$, å- ds.",berger:p009:c1:e003,,,,pron sg dialect:Hunza uncertain
Werch,,aż,"negation in the verb, cf. Gr. - 9.; , 49",,,,berger-auto[p. 7 (printed p. 9)],,"ys. aż, af, indoar. a- < skt. a-; ys. a$, å- ds.",berger:p009:c1:e003:dialect:1,berger:p009:c1:e003,,,pron sg dialect:Yasin alternate uncertain
Bur,,a ét-,"ãét- (open the mouth), (birds in the nest) open the beak",,,,berger-auto[p. 7 (printed p. 9)],,sh. a th-,berger:p009:c1:e004,,,,verb dialect:Hunza uncertain
Bur,,a,"in sentence questions, attached to the last word, cf. Gr",,,,berger-auto[p. 7 (printed p. 9)],,,berger:p009:c1:e005,,,,dialect:Hunza uncertain
Bur,,áa ét-,"hinder, stop, warn, teach (wen -ar)",,,,berger-auto[p. 7 (printed p. 9)],,,berger:p009:c1:e006,,,,verb dialect:Hunza uncertain
Bur,,a ét-,crying (child),,,,berger-auto[p. 7 (printed p. 9)],,sh. ã&,berger:p009:c1:e007,,,,verb dialect:Hunza uncertain
Bur,,åa,"ií, aaí NH (native) music (children's language)",,,,berger-auto[p. 7 (printed p. 9)],,,berger:p009:c1:e008,,,,dialect:Hunza dialect:NH uncertain
Bur,,áa,ah!; 344,,,,berger-auto[p. 7 (printed p. 9)],,,berger:p009:c1:e009,,,,dialect:Hunza uncertain
Bur,,Sáa,short form for áati of +-t- (gr. .),,,,berger-auto[p. 7 (printed p. 9)],,,berger:p009:c1:e010,,,,dialect:Hunza uncertain
Bur,,a,"for jáa from ever before káa and -ar, Gr",,,,berger-auto[p. 7 (printed p. 9)],,,berger:p009:c1:e011,,,,dialect:Hunza uncertain
Bur,,áa-,s.a,,,,berger-auto[p. 7 (printed p. 9)],,,berger:p009:c1:e012,,,,dialect:Hunza uncertain
Bur,,aabaadí,see also abåat,,,,berger-auto[p. 7 (printed p. 9)],,,berger:p009:c1:e013,,,,dialect:Hunza uncertain
Bur,,aabidaaná,"livelihood 54:12 (in special use, cf. the A. to it)",,,,berger-auto[p. 7 (printed p. 9)],,"in besonderer Verwendung, vgl. die A. dazu; u. °āb o dānā, vgl. Gr. 2.64.",berger:p009:c1:e014,,,,dialect:Nager uncertain
Bur,,aadáatiů,see aadát,,,,berger-auto[p. 7 (printed p. 9)],,,berger:p009:c1:e015,,,,dialect:Hunza uncertain
Bur,,Aadám-qhalíil,"“friend Adam,” the biblical Adam",,,,berger-auto[p. 7 (printed p. 9)],,u. Adam xalif,berger:p009:c2:e001,,,,dialect:Hunza uncertain
Bur,,aadát,"pl. ng. aadáatiù habit, custom, practice",,,,berger-auto[p. 7 (printed p. 9)],,"u. ädat, pl. ädāt",berger:p009:c2:e002,,,,pl dialect:Hunza uncertain
