sa,pkh-385-80,(d)ɛla,to come,,(d)ɛla,,"munda1968proto[p. 80, SEAlang record 385]",,Munda's Santali reflex of pkh-385-80.,munda1968proto:C:c1.p385.i80,,,,
PreMu,pkh-385-80,(d)ɛla,to come,,(d)ɛla,,"munda1968proto[p. 80, SEAlang record 385]",,Munda's reconstructed pre-Mundari reflex of pkh-385-80.,munda1968proto:R:c2.p385.i80,,,,
PreMu,pkh-726-106,(h)atu,"village, settlement",,(h)atu,,"munda1968proto[p. 106, SEAlang record 726]",,Munda's reconstructed pre-Mundari reflex of pkh-726-106.,munda1968proto:R:c2.p726.i106,,,,
PreMu,pkh-725-106,(h)aɽɡu,to descend,,(h)aɽɡu,,"munda1968proto[p. 106, SEAlang record 725]",,Munda's reconstructed pre-Mundari reflex of pkh-725-106.,munda1968proto:R:c2.p725.i106,,,,
PKher,pkh-676-102,*(a-)pì/ɛ̀,three,,*(a-)pì/ɛ̀,,"munda1968proto[p. 102, SEAlang record 676]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p676.i102,,,,
PKher,pkh-676-102,*a-pɛ̀-a,three,,*a-pɛ̀-a,,"munda1968proto[p. 102, SEAlang record 676]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p676.i102:v2,munda1968proto:R:c3.p676.i102,,,
PKher,pkh-385-80,*(d)ɛla,to come,,*(d)ɛla,,"munda1968proto[p. 80, SEAlang record 385]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p385.i80,,,,
PKher,pkh-240-68,*(h)uruɽ,to wither,,*(h)uruɽ,,"munda1968proto[p. 68, SEAlang record 240]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p240.i68,,,,
PKher,pkh-637-98,*(s)ɔjɔŋ,to bake,,*(s)ɔjɔŋ,,"munda1968proto[p. 98, SEAlang record 637]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p637.i98,,,,
PKher,pkh-325-75,*(u-)pùn,four,,*(u-)pùn,,"munda1968proto[p. 75, SEAlang record 325]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p325.i75,,,,
PKher,pkh-none-67,*-sumuŋ,until,,*-sumuŋ,,munda1968proto[p. 67],,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p.i67,,,,
PKher,pkh-761-108,*a(a)ʔ,bow,,*a(a)ʔ,,"munda1968proto[p. 108, SEAlang record 761]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p761.i108,,,,
PKher,pkh-482-88,*a-bɛn,"you two, 2nd person dual",,*a-bɛn,,"munda1968proto[p. 88, SEAlang record 482]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p482.i88,,,,pron du
PKher,pkh-110-59,*a-kin,"they two, 3rd person dual pronoun",,*a-kin,,"munda1968proto[p. 59, SEAlang record 110]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p110.i59,,,,pron du
PKher,pkh-110-59,*a-kiŋ,"they two, 3rd person dual pronoun",,*a-kiŋ,,"munda1968proto[p. 59, SEAlang record 110]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p110.i59:v2,munda1968proto:R:c3.p110.i59,,,pron du
PKher,pkh-none-102,*a-kɔ,"they, 3rd plural",,*a-kɔ,,munda1968proto[p. 102],,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p.i102,,,,pl
PKher,pkh-481-87,*a-lɛ,we plural exclusive,,*a-lɛ,,"munda1968proto[p. 87, SEAlang record 481]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p481.i87,,,,pron pl exclusive
PKher,pkh-251-69,*a-nu,to cause to drink,,*a-nu,,"munda1968proto[p. 69, SEAlang record 251]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p251.i69,,,,
