bagri_loonkansar,992,hu,I (1st singular),,hu,,bagri
marwari_mukheri,992,hũ,I (1st singular),,hũ,,marwari
marwari_fatehgarh,992,hũ,I (1st singular),,hũ,,marwari
marwari_gomat,992,hũ,I (1st singular),,hũ,,marwari
marwari_husangsar,9691,mane,I (1st singular),,mane,,marwari
bagri_panjkosi,9691,me,I (1st singular),,me,,bagri
dhundari_pathalvas,9691,me,I (1st singular),,me,,dhundari
bagri_sardarsahar,9691,me,I (1st singular),,me,,bagri
bagri_lakjikirani,9691,me,I (1st singular),,me,,bagri
mewari_dholpura,9691,me,I (1st singular),,me,,mewari
dhundari_badagaon,9691,me,I (1st singular),,me,,marwari
bagri_pallu,9691,me,I (1st singular),,me,,bagri
mewati_jhambaus,9691,me,I (1st singular),,me,,mewati
mewari_bannoda,9691,me,I (1st singular),,me,,mewari
mewari_kalnsas,9691,me,I (1st singular),,me,,mewari
mewati_gulpeda,9691,me,I (1st singular),,me,,mewati
bagri_old_abaddi,9691,me,I (1st singular),,me,,bagri
bagri_fatehabad,9691,me,I (1st singular),,me,,bagri
bagri_mannaksar,9691,me,I (1st singular),,me,,bagri
mewati_goyla,9691,me,I (1st singular),,me,,mewati
bagri_karnigedda,9691,me,I (1st singular),,me,,bagri
mewati_jakhopur,9691,me,I (1st singular),,me,,mewati
mewati_chirkana,9691,me,I (1st singular),,me,,mewati
bagri_makkasar,9691,me,I (1st singular),,me,,bagri
mewati_udaka,9691,me,I (1st singular),,me,,mewati
mewati_akera,9691,me,I (1st singular),,me,,mewati
mewati_hathiya,9691,me,I (1st singular),,me,,mewati
mewari_hurda,9691,me,I (1st singular),,me,,mewari
mewari_khor,9691,me,I (1st singular),,me,,mewari
bagri_jamal,9691,me,I (1st singular),,me,,bagri
marwari_kherwa,9691,meidʒʊ̃,I (1st singular),,meidʒʊ̃,,marwari
mewari_kannouj,9691,mu,I (1st singular),,mu,,mewari
hadothi_pakkarana,9691,mu,I (1st singular),,mu,,hadothi
hadothi_piplia,9691,mu,I (1st singular),,mu,,hadothi
mewari_gorana,9691,mu,I (1st singular),,mu,,mewari
hadothi_patera,9691,mu,I (1st singular),,mu,,hadothi
mewari_basad,9691,mu,I (1st singular),,mu,,mewari
mewari_padarada,9691,mu,I (1st singular),,mu,,mewari
mewari_bhunyakhedi,9691,mu,I (1st singular),,mu,,mewari
mewari_sangad,9691,mu,I (1st singular),,mu,,mewari
mewari_bannoda,9691,mu,I (1st singular),,mu,,mewari
hadothi_shyampura,9691,mu,I (1st singular),,mu,,hadothi
hadothi_kawai,9691,mu,I (1st singular),,mu,,hadothi
mewari_kishanji,9691,mu,I (1st singular),,mu,,mewari
hadothi_silori,9691,mu,I (1st singular),,mu,,hadothi
hadothi_gothda,9691,mu,I (1st singular),,mu,,hadothi
hadothi_devpura,9691,mu,I (1st singular),,mu,,hadothi
mewari_eklingpura,9691,mu,I (1st singular),,mu,,mewari
marwari_bagra,9691,mũ,I (1st singular),,mũ,,marwari
mewari_kalgav,9691,mũ,I (1st singular),,mũ,,mewari
mewari_godra,9691,mũ,I (1st singular),,mũ,,mewari
mewari_jesingpura,9691,mũ,I (1st singular),,mũ,,mewari
mewari_pathera,9691,mũ,I (1st singular),,mũ,,mewari
marwari_falna,9691,mũ,I (1st singular),,mũ,,marwari
mewari_dindoli,9691,mũ,I (1st singular),,mũ,,mewari
mewari_khor,9691,mũ,I (1st singular),,mũ,,mewari
mewari_kalnsas,9691,mũ,I (1st singular),,mũ,,mewari
hadothi_shyampura,9691,mɐnɛ,I (1st singular),,mɐnɛ,,hadothi
marwari_bagra,9691,mɔ̃,I (1st singular),,mɔ̃,,marwari
dhundari_bamore,9691,mə,I (1st singular),,mə,,dhundari
dhundari_chalkoi,9691,mɛ,I (1st singular),,mɛ,,dhundari
dhundari_chalkoi,9691,mɛ,I (1st singular),,mɛ,,marwari
dhundari_deladi,9691,mɛ,I (1st singular),,mɛ,,dhundari
dhundari_bhagatpur,9691,mɛ,I (1st singular),,mɛ,,dhundari
bagri_mirzawala,9691,mɛ,I (1st singular),,mɛ,,bagri
dhundari_bhagatpur,9691,mɛ,I (1st singular),,mɛ,,marwari
dhundari_badagaon,9691,mɛ,I (1st singular),,mɛ,,dhundari
marwari_husangsar,9691,mẽ,I (1st singular),,mẽ,,marwari
dhundari_jorpura,9691,mẽ,I (1st singular),,mẽ,,dhundari
marwari_degana,9691,mẽ,I (1st singular),,mẽ,,marwari
mewari_ajmer,9691,mẽ,I (1st singular),,mẽ,,mewari
hadothi_kelwada,9691,mẽ,I (1st singular),,mẽ,,hadothi
bagri_loonkansar,992,u,I (1st singular),,u,,bagri
mewari_gorana,9926,mathe,above,,mathe,,mewari
marwari_bagra,9926,mat̪t̪ɛ,above,,mat̪t̪ɛ,,marwari
dhundari_pathalvas,,maɭə,above,,maɭə,,dhundari
mewati_akera,2333,uppɐɾ,above,,uppɐɾ,,mewati
mewari_jesingpura,2333,uppɐɾ,above,,uppɐɾ,,mewari
mewari_hurda,2333,upɐɾ,above,,upɐɾ,,mewari
hadothi_kelwada,2333,upɐɾ,above,,upɐɾ,,hadothi
mewati_goyla,2333,upɐɾ,above,,upɐɾ,,mewati
dhundari_bamore,2333,upɐɾ,above,,upɐɾ,,dhundari
marwari_falna,2333,upɐɾ,above,,upɐɾ,,marwari
mewari_ajmer,2333,upɐɾ,above,,upɐɾ,,mewari
mewati_gulpeda,2333,upɐɾ,above,,upɐɾ,,mewati
hadothi_pakkarana,2333,upɐɾ,above,,upɐɾ,,hadothi
mewari_kalgav,2333,upɐɾe,above,,upɐɾe,,mewari
marwari_kherwa,2333,upɐɾe,above,,upɐɾe,,marwari
mewari_dindoli,2333,upɐɾe,above,,upɐɾe,,mewari
marwari_bagra,2333,upɐɾe,above,,upɐɾe,,marwari
mewari_kalnsas,2333,upɐɾna,above,,upɐɾna,,mewari
mewari_eklingpura,2333,upɐɾ̪ɛ,above,,upɐɾ̪ɛ,,mewari
mewati_udaka,2333,upəɾ,above,,upəɾ,,mewati
bagri_karnigedda,2333,upəɾ,above,,upəɾ,,bagri
mewati_chirkana,2333,upəɾ,above,,upəɾ,,mewati
bagri_makkasar,2333,upəɾ,above,,upəɾ,,bagri
mewati_jhambaus,2333,upəɾ,above,,upəɾ,,mewati
bagri_panjkosi,2333,upəɾ,above,,upəɾ,,bagri
mewati_hathiya,2333,upəɾ,above,,upəɾ,,mewati
bagri_jamal,2333,upəɾ,above,,upəɾ,,bagri
mewari_godra,2333,upəɾa,above,,upəɾa,,mewari
hadothi_piplia,2333,upɾa,above,,upɾa,,hadothi
mewari_basad,2333,upɾa,above,,upɾa,,mewari
hadothi_gothda,2333,upɾa,above,,upɾa,,hadothi
mewari_basad,1634,usɐ,above,,usɐ,,mewari
bagri_old_abaddi,1765,ut̪e,above,,ut̪e,,bagri
mewari_ajmer,1634,uɲtʃa,above,,uɲtʃa,,mewari
mewati_goyla,1634,uɲtʃa,above,,uɲtʃa,,mewati
mewati_gulpeda,1634,uɲtʃa,above,,uɲtʃa,,mewati
mewati_chirkana,1634,uɲtʃa,above,,uɲtʃa,,mewati
mewari_dholpura,1634,uɲtʃe,above,,uɲtʃe,,mewari
mewari_bhunyakhedi,1634,uɲtʃo,above,,uɲtʃo,,mewari
mewari_jesingpura,1634,uɲtʃo,above,,uɲtʃo,,mewari
mewari_kalgav,1634,uɲtʃɐ,above,,uɲtʃɐ,,mewari
bagri_pallu,1634,uɲtʃɔ,above,,uɲtʃɔ,,bagri
bagri_fatehabad,1634,uɲtʃɔ,above,,uɲtʃɔ,,bagri
marwari_husangsar,1634,uɲtʃɔ,above,,uɲtʃɔ,,marwari
bagri_sardarsahar,1634,uɲtʃɔ,above,,uɲtʃɔ,,bagri
dhundari_bamore,1634,uɲtʃɔ,above,,uɲtʃɔ,,dhundari
bagri_lakjikirani,1634,uɲtʃɔ,above,,uɲtʃɔ,,bagri
bagri_loonkansar,1634,uɲtʃɔ,above,,uɲtʃɔ,,bagri
bagri_mannaksar,1634,uɲtʃɔ,above,,uɲtʃɔ,,bagri
bagri_mirzawala,1634,uɲtʃɔ,above,,uɲtʃɔ,,bagri
marwari_kherwa,1634,uɲtʃɔ,above,,uɲtʃɔ,,marwari
marwari_fatehgarh,1634,uːɳtʃɔ,above,,uːɳtʃɔ,,marwari
mewari_bannoda,1634,ũsu,above,,ũsu,,mewari
mewari_khor,1634,ũsɔ,above,,ũsɔ,,mewari
mewari_padarada,1634,ũsɔ,above,,ũsɔ,,mewari
mewari_kalnsas,1634,ũtʃa,above,,ũtʃa,,mewari
mewati_akera,1634,ũtʃa,above,,ũtʃa,,mewati
dhundari_deladi,1634,ũtʃa,above,,ũtʃa,,dhundari
dhundari_chalkoi,1634,ũtʃa,above,,ũtʃa,,marwari
mewati_jakhopur,1634,ũtʃa,above,,ũtʃa,,mewati
mewari_sangad,1634,ũtʃa,above,,ũtʃa,,mewari
dhundari_jorpura,1634,ũtʃane,above,,ũtʃane,,dhundari
mewari_kishanji,1634,ũtʃe,above,,ũtʃe,,mewari
hadothi_pakkarana,1634,ũtʃha,above,,ũtʃha,,hadothi
hadothi_shyampura,1634,ũtʃho,above,,ũtʃho,,hadothi
dhundari_bhagatpur,1634,ũtʃhɔ,above,,ũtʃhɔ,,marwari
dhundari_bhagatpur,1634,ũtʃhɔ,above,,ũtʃhɔ,,dhundari
mewari_hurda,1634,ũtʃjo,above,,ũtʃjo,,mewari
dhundari_chalkoi,1634,ũtʃɐ,above,,ũtʃɐ,,dhundari
marwari_gomat,1634,ũtʃɔ,above,,ũtʃɔ,,marwari
hadothi_devpura,1634,ũtʃɔ,above,,ũtʃɔ,,hadothi
dhundari_badagaon,1634,ũtʃɔ,above,,ũtʃɔ,,dhundari
mewari_gorana,1634,ũtʃɔ,above,,ũtʃɔ,,mewari
marwari_degana,1634,ũtʃɔ,above,,ũtʃɔ,,marwari
dhundari_badagaon,1634,ũtʃɔ,above,,ũtʃɔ,,marwari
mewari_dindoli,1634,ũtʃɔ,above,,ũtʃɔ,,mewari
marwari_mukheri,1634,ũtʃɔ,above,,ũtʃɔ,,marwari
mewari_kannouj,1634,ũtʃɔ,above,,ũtʃɔ,,mewari
mewari_gorana,1634,ũtʃːjo,above,,ũtʃːjo,,mewari
mewari_khor,1634,ũtʃːo,above,,ũtʃːo,,mewari
dhundari_badagaon,1634,ũtʃːo,above,,ũtʃːo,,marwari
hadothi_patera,,ɐd̪ɐɾ,above,,ɐd̪ɐɾ,,hadothi
mewari_pathera,,ɐd̪ːaɾ,above,,ɐd̪ːaɾ,,mewari
mewari_kishanji,,ʈeʈ,above,,ʈeʈ,,mewari
hadothi_silori,2333,ʊpɐɾ,above,,ʊpɐɾ,,hadothi
hadothi_kawai,2333,ʊpɐɾ,above,,ʊpɐɾ,,hadothi
hadothi_patera,2333,ʊpɐɾ,above,,ʊpɐɾ,,hadothi
mewati_gulpeda,,gɐlla,all,,gɐlla,,mewati
mewari_eklingpura,,hagɭa,all,,hagɭa,,mewari
mewari_khor,,haŋ,all,,haŋ,,mewari
mewari_basad,,haŋgɾ̪ɛ,all,,haŋgɾ̪ɛ,,mewari
mewari_kalnsas,13355,haɾɐj,all,,haɾɐj,,mewari
mewari_kalgav,13355,haɾɐj,all,,haɾɐj,,mewari
mewari_hurda,13355,haɾ̪ɐ,all,,haɾ̪ɐ,,mewari
mewari_dholpura,13355,haɾ̪ɐj,all,,haɾ̪ɐj,,mewari
mewari_kalgav,,haʋʈɐ,all,,haʋʈɐ,,mewari
marwari_fatehgarh,,heŋ,all,,heŋ,,marwari
marwari_falna,,heŋg,all,,heŋg,,marwari
marwari_mukheri,,heŋg,all,,heŋg,,marwari
marwari_fatehgarh,,heŋg,all,,heŋg,,marwari
marwari_bagra,,heŋg,all,,heŋg,,marwari
marwari_kherwa,,heŋɠə,all,,heŋɠə,,marwari
mewari_dindoli,,hɐgɭai,all,,hɐgɭai,,mewari
mewari_padarada,,hɐgɭɐ,all,,hɐgɭɐ,,mewari
mewari_gorana,,hɐgɭɐi,all,,hɐgɭɐi,,mewari
mewari_kalnsas,,hɐgɭɛi,all,,hɐgɭɛi,,mewari
