Koch,,sagu,sky,,sagu,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 1, site b Nokshi]",,,silkochbd2011:i001:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,ʃagu,sky,,ʃagu,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 1, site c Kholchanda]",,,silkochbd2011:i001:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,dɪn,sky,,dɪn,lexical-similarity group 4,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 1, site q Uttor Nokshi]",,,silkochbd2011:i001:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,dɪn,sky,,dɪn,lexical-similarity group 4,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 1, site r Chandabhoi]",,,silkochbd2011:i001:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,rasan,sun,,rasan,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 2, site b Nokshi]",,,silkochbd2011:i002:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,rasan,sun,,rasan,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 2, site c Kholchanda]",,,silkochbd2011:i002:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,raʃan,sun,,raʃan,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 2, site q Uttor Nokshi]",,,silkochbd2011:i002:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,rasan,sun,,rasan,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 2, site r Chandabhoi]",,,silkochbd2011:i002:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,raŋrɛ,moon,,raŋrɛ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 3, site b Nokshi]",,,silkochbd2011:i003:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,naŋrɛk,moon,,naŋrɛk,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 3, site q Uttor Nokshi]",,,silkochbd2011:i003:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,raŋrɛ,moon,,raŋrɛ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 3, site r Chandabhoi]",,,silkochbd2011:i003:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,tara,star,,tara,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 4, site b Nokshi]",,,silkochbd2011:i004:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,tara,star,,tara,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 4, site c Kholchanda]",,,silkochbd2011:i004:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,tara,star,,tara,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 4, site q Uttor Nokshi]",,,silkochbd2011:i004:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,tara,star,,tara,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 4, site r Chandabhoi]",,,silkochbd2011:i004:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,gadla,cloud,,gadla,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 5, site b Nokshi]",,,silkochbd2011:i005:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,gadla,cloud,,gadla,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 5, site c Kholchanda]",,,silkochbd2011:i005:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
Koch,,ap,cloud,,ap,lexical-similarity group 3,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 5, site q Uttor Nokshi]",,,silkochbd2011:i005:q:1,,,,dialect:Koch:kochbd2011-q-uttor-nokshi:Uttor%20Nokshi%20%28Chapra%20Koch%29
Koch,,gadla,cloud,,gadla,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 5, site r Chandabhoi]",,,silkochbd2011:i005:r:1,,,,dialect:Koch:kochbd2011-r-chandabhoi:Chandabhoi%20%28Tintekiya%20Koch%29
Koch,,raŋ,rain,,raŋ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 6, site b Nokshi]",,,silkochbd2011:i006:b:1,,,,dialect:Koch:kochbd2011-b-nokshi:Nokshi%20%28Tintekiya%20Koch%29
Koch,,raŋ,rain,,raŋ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kochbd[p. 42, wordlist item 6, site c Kholchanda]",,,silkochbd2011:i006:c:1,,,,dialect:Koch:kochbd2011-c-kholchanda:Kholchanda%20%28Tintekiya%20Koch%29
