as,,ḥaǧǧiyyāt,female dancer,,,,"herin2012domari[p. 2, introduction]",,,herin2012domari:introduction:q3,,,,dialect:as:aleppo:Aleppo
as,,maqṣaf,cabaret,,,,"herin2012domari[p. 2, introduction]",,,herin2012domari:introduction:q4,,,,dialect:as:aleppo:Aleppo
as,,ǧib,language,,,,"herin2012domari[p. 3, introduction];herin2012domari[p. 36, example (31b) word 1]",,,herin2012domari:introduction:q7,,,,dialect:as:aleppo:Aleppo
as,,dōmʋārī ǧib,Domari language,,,,"herin2012domari[p. 3, introduction]",,,herin2012domari:introduction:q8,,,,multiword-expression dialect:as:aleppo:Aleppo
as,,pāpī́r,grand-father,,pæːˈpiːr,,"herin2012domari[p. 5, section 1.1]",,,herin2012domari:s1.1:q1,,,,dialect:as:aleppo:Aleppo
as,,pɑ̄sṓm,"at me, at my place",,pɑːˈsoːm,,"herin2012domari[p. 5, section 1.1]",,,herin2012domari:s1.1:q2,,,,dialect:as:aleppo:Aleppo
as,,psīk,cat,,psiːk,,"herin2012domari[p. 5, section 1.1]",,,herin2012domari:s1.1:q3,,,,dialect:as:aleppo:Aleppo
as,,kūkár,cock,,kuːˈkær,,"herin2012domari[p. 5, section 1.1]",,,herin2012domari:s1.1:q4,,,,dialect:as:aleppo:Aleppo
as,,čēzə́k,child,,ʧeːˈzək,,"herin2012domari[p. 5, section 1.1]",,,herin2012domari:s1.1:q5,,,,dialect:as:aleppo:Aleppo
as,,ōšt,lip,,oːʃt,,"herin2012domari[p. 5, section 1.1]",,,herin2012domari:s1.1:q6,,,,dialect:as:aleppo:Aleppo
as,,tətã́,he gave,,təˈtɑ̃ː,,"herin2012domari[p. 5, section 1.1]",,,herin2012domari:s1.1:q9,,,,dialect:as:aleppo:Aleppo
as,,laʋrã́,tree,,læˈʋrɑ̃ː,,"herin2012domari[p. 5, section 1.1]",,,herin2012domari:s1.1:q10,,,,dialect:as:aleppo:Aleppo
as,,drōngã́,"long, big",,droːnˈgɑ̃,,"herin2012domari[p. 5, section 1.1]",,,herin2012domari:s1.1:q11,,,,dialect:as:aleppo:Aleppo
