OP,,usa,"that, him",ਉਸ,,pron; Shackle PDF p. 36 (printed p. 1); etym. [usu. form of USU before ppn.],shackle-auto
OP,,usatati,praise,ਉਸਤਤਿ,,f; Shackle PDF p. 36 (printed p. 1); etym. [for Sk. stuti-],shackle-auto
OP,,usatādu,"teacher, guru",,,m; Shackle PDF p. 36 (printed p. 1); etym. [Pers. ustād]; auto-review: missing_native,shackle-auto
OP,,usanu,"hot; heat, hot season",ਉਸਠ,,adj; Shackle PDF p. 36 (printed p. 1),shackle-auto
OP,,ugāhiī,"evidence, witness",ਉਗਾਹੀ,,f; Shackle PDF p. 36 (printed p. 1); etym. [Pers. gavåāhī. cf. tOGAHU],shackle-auto
OP,1673,ujiāārā,,ਉਜਿਆਰਾ,,m; Shackle PDF p. 36 (printed p. 1); etym. [= UJIALA]; auto-review: missing_gloss,shackle-auto
OP,,ujū,Muslim ritual ablution,ਉਜੂ,,m; Shackle PDF p. 36 (printed p. 1); etym. [Ar. vuzā],shackle-auto
OP,10405,uta,there,ਉਤ,,adv; Shackle PDF p. 37 (printed p. 2); etym. [see JATA],shackle-auto
OP,,uta,"that, in that, it, by it",ਉਤ,,pron; Shackle PDF p. 37 (printed p. 2); etym. [=uTu],shackle-auto
OP,,utapati,"creation, birth, production",ਉਤਪਤਿ,,f; Shackle PDF p. 37 (printed p. 2); etym. [Sk. utpatti-: cf. OPATI],shackle-auto
OP,,utabhuju,"creative power`: in p. ‘plants (which sprout from the earth): the vegetable kingdom, one of the four types of living creature",ਉਤਭ੍ਜ,,m; Shackle PDF p. 37 (printed p. 2); etym. [for Sk. udbhijja-)],shackle-auto
OP,,utārhhi,"upwards, up",ਉਤਾਹਿ,,adv; Shackle PDF p. 37 (printed p. 2); etym. [uttamasmin: cf. tUTTAI],shackle-auto
OP,10405,utu,"that, in that",ਉਤੁ,,pron; Shackle PDF p. 37 (printed p. 2); etym. [=UTA?; see usu],shackle-auto
OP,,uttai,òn,ਉਤੈ,,postp; Shackle PDF p. 37 (printed p. 2); etym. [uttamasmin: cf. UTAMHI] (a D a aa E ma oaa E e]; auto-review: low_ocr_confidence,shackle-auto
OP,,udaku,water,ਉਦਕੁ,,m; Shackle PDF p. 38 (printed p. 3); etym. [Sk. udaka-],shackle-auto
OP,,udaru,belly; womb,ਉਦਰੁ,,m; Shackle PDF p. 38 (printed p. 3); etym. [Sk. udara-],shackle-auto
OP,,udāsī,"indifferent, turned away from the world, detached",ਉਦਾਸੀ,,adj; Shackle PDF p. 38 (printed p. 3); etym. [Sk. udāsin-],shackle-auto
OP,,udāsu,detachment,ਉਦਾਸੁ,,m; Shackle PDF p. 38 (printed p. 3); etym. [Sk. udāsa-],shackle-auto
OP,,udiānā,"forest, jungle",ਉਦਿਆਨਾ,,m; Shackle PDF p. 38 (printed p. 3); etym. [Sk. udyāna- ‘park’`],shackle-auto
OP,,udai,rising (of the sun,ਉਦੈ,,m; Shackle PDF p. 38 (printed p. 3); etym. [Sk. udaya-])],shackle-auto
OP,2433,udosāhā,what is the mark of breathlessness?.,ਉਂਦੋਸਾਹਾ,,m; Shackle PDF p. 38 (printed p. 3); etym. [2433 ürdhvaśvāsa- (cf. UBBHA) with ud- perh. <Sk. udita- ‘risen'],shackle-auto
OP,,udosīa,"confusion has rained, i.e. fills the whole house",ਉਦੋਸੀਅ,,f; Shackle PDF p. 38 (printed p. 3); etym. [app. by-form connected with UDOSĀHĀ (?)J],shackle-auto
OP,,unha,"those, them",ਉਨ,,pron; Shackle PDF p. 38 (printed p. 3); etym. [= UNHAM],shackle-auto
OP,,unamanu,state of ecstasy,ਉਨਮ੍ਨੁ,,m; Shackle PDF p. 38 (printed p. 3),shackle-auto
OP,,unhāārh,"those, them",ਉਨਾਂ,,pron; Shackle PDF p. 38 (printed p. 3),shackle-auto
OP,,uni,"that, by that",ਉਨਿ,,pron; Shackle PDF p. 38 (printed p. 3); etym. [see usu)],shackle-auto
OP,,upakaṇṭṭhu,neighbourhood,ਉਪਕੰਠੁ,,m; Shackle PDF p. 38 (printed p. 3),shackle-auto
OP,,upakāru,"help, service, benefit",ਉਪਕਾਰੁ,,m; Shackle PDF p. 38 (printed p. 3); etym. [Sk. upakāāra-],shackle-auto
