Brahui,d5078,bēg̲h̲-,"to knead, muddle up (and spoil)",,,,"emeneau1997brahui[p. 442, §4]",,Emeneau adds this reflex to DEDR 5078 and reconstructs *mel-k-; the proposed plural-action analysis of -gh- remains tentative.,emeneau1997brahui:p441:s2.1:begh,,,,verb tr
Brahui,d5503,bēl,large hill-torrent,,,,"emeneau1997brahui[p. 441, §2.1]",,Emeneau retains DEDR 5503 and explicitly removes its query.,emeneau1997brahui:p441:s2.1:bel,,,,noun
Brahui,d996,hōg̲h̲-,"to weep, cry",,,,"emeneau1997brahui[p. 442, §3]",,Emeneau removes the DEDR query and analyzes the form with Kurux-Malto *-k- plural-action morphology; loss of gh in finite forms remains tentative.,emeneau1997brahui:p441:s2.2:hogh,,,,verb intr
Brahui,d4986,mux,"waist, loins",,,,"emeneau1997brahui[p. 441, §2.2]",,Cited as evidence for loss of *l in a consonant cluster from *mulk-.,emeneau1997brahui:p441:s2.2:mux,,,,noun
Brahui,d3133,taf-,"to tie up, bind; become congealed; gather (of clouds)",,,,"emeneau1997brahui[p. 441, §2.2]",,Emeneau removes the DEDR query and treats the form as evidence for loss of *l in *tal-v/p-.,emeneau1997brahui:p441:s2.2:taf,,,,verb
Brahui,d4841,bāšt,heaven,,,,"emeneau1997brahui[p. 442, §4]",,Emeneau adds Elfenbein's form as evidence for Proto-Dravidian *m- > Brahui b- before a front vowel.,emeneau1997brahui:p442:s4:basht,,,,noun
Brahui,,pužža,human hair,,,,"emeneau1997brahui[p. 443, §6]",,Emeneau says the form might belong in DEDR 4477; the comparison remains a ranked hypothesis.,emeneau1997brahui:p443:s6:puzza,,,,noun uncertain
Brahui,,kūžing,to shrink in fear,,,,"emeneau1997brahui[p. 443, §6]",,"Emeneau considers DEDR 1876 and 2687, preferring 2687 on the initial consonant but requiring a query for either analysis.",emeneau1997brahui:p443:s6:kuzing,,,,verb intr uncertain
Brahui,,pisfing,to squeeze air out of an inflated skin or football,,,,"emeneau1997brahui[p. 443, §7]",,"Emeneau prefers DEDR 4135 to 4183, but the final -f- is unexplained; both are retained only as ranked hypotheses.",emeneau1997brahui:p443:s7:pisfing,,,,verb tr uncertain
Brahui,,šupping,to drink a thick liquid,,,,"emeneau1997brahui[p. 444, §8.1]",,"Emeneau suggests DEDR 2621, while leaving both an Indo-Aryan comparison and expressive reshaping open.",emeneau1997brahui:p444:s8.1:shupping,,,,verb tr uncertain
Brahui,d2712,šurūfing,to smack the lips,,,,"emeneau1997brahui[p. 444, §8.2]",,Emeneau places the expressive form in DEDR 2712; the internal -ūf- remains unexplained.,emeneau1997brahui:p444:s8.2:shurufing,,,,verb
Brahui,d1595,kirrefing,to turn a hand-mill,,,,"emeneau1997brahui[p. 444, §10]",,Emeneau accepts the speaker's causative analysis from *kirreng and places the verb in DEDR 1595.,emeneau1997brahui:p444:s10:kirrefing,,,,verb tr caus
Brahui,d3029,taṛifing,to be slaughtered,,,,"emeneau1997brahui[p. 444, §11]",,Emeneau adds this sense to DEDR 3029 but rejects its presentation as a causative of taṛing.,emeneau1997brahui:p444:s11:tarifing:slaughter,,,,verb intr
Brahui,,taṛifing,to turn sour (of milk),,,,"emeneau1997brahui[p. 444, §11]",,Emeneau splits this homonymous sense from 'be slaughtered' and leaves it without etymology.,emeneau1997brahui:p444:s11:tarifing:sour,,,,verb intr uncertain
Gadaba,,cīkap-,"to lick, suck",,,,"emeneau1997brahui[p. 444, §8.1 n. 3]",,Emeneau adds Bhaskararao's Gadaba form to DEDR 2621a and identifies it as a borrowing from Telugu cīk-.,emeneau1997brahui:p444:fn3:cikap,,,,verb tr loanword
Brahui,d3195,tāring,to screen coal; sift,,,,"emeneau1997brahui[p. 445, §12]",,Emeneau adds the form to DEDR 3195.,emeneau1997brahui:p445:s12:taring,,,,verb tr
Brahui,d235,allāī,long winter nights,,,,"emeneau1997brahui[p. 445, §13]",,Emeneau identifies the form as a continuant of DEDR 235 and compares Kurux ell-.,emeneau1997brahui:p445:s13:allai,,,,noun
Brahui,,dūī,tongue,,,,"emeneau1997brahui[p. 446, §15 n. 6]",,"Emeneau finds no secure Dravidian, Indo-Aryan, or Iranian etymology; CDIAL 5228 remains only a tempting possibility.",emeneau1997brahui:p446:fn6:dui,,,,noun uncertain
Brahui,,duwī,tongue,,,,"emeneau1997brahui[p. 446, §15 n. 6]",,Variant printed beside dūī in Emeneau's unresolved footnote.,emeneau1997brahui:p446:fn6:duwi,emeneau1997brahui:p446:fn6:dui,,,noun uncertain alternate
