Sh,227,ač-,enter; go in,,,"eintreten, hineingehen","buddruss-shina1996[p. 40, glossary entry 01]",,Buddruss directly assigns this headword to Turner/CDIAL 227. direct headword; causative and inflected examples remain prose,buddruss-shina1996:p40:e01,,,,verb intr dialect:Sh:gil:Gilgit
Sh,43,achíi,eye,,,Auge,"buddruss-shina1996[p. 40, glossary entry 02]",,Buddruss directly assigns this headword to Turner/CDIAL 43.,buddruss-shina1996:p40:e02,,,,noun f dialect:Sh:gil:Gilgit
Sh,48,achóo,walnut,,,Walnuß,"buddruss-shina1996[p. 40, glossary entry 03]",,Buddruss directly assigns this headword to Turner/CDIAL 48.,buddruss-shina1996:p40:e03,,,,noun m dialect:Sh:gil:Gilgit
Sh,,agúl,cover; sheath,,,Hülle; Schwertscheide,"buddruss-shina1996[p. 40, glossary entry 04]",,canonical member of the printed agúl = hagúl cross-reference pair,buddruss-shina1996:p40:e04,,,,noun m dialect:Sh:gil:Gilgit
Sh,,agurií,unspun wool,,,ungesponnene Wolle,"buddruss-shina1996[p. 40, glossary entry 05]",,source compares Sanskrit anigaruha-,buddruss-shina1996:p40:e05,,,,noun f dialect:Sh:gil:Gilgit
Sh,,ai,goat,,,Ziege,"buddruss-shina1996[p. 40, glossary entry 06]",,"Turner 145 and 887 are alternatives, so neither is linked",buddruss-shina1996:p40:e06,,,,noun f dialect:Sh:gil:Gilgit
Sh,1533,áa~i,mouth,,,Mund,"buddruss-shina1996[p. 40, glossary entry 07]",,Buddruss directly assigns this headword to Turner/CDIAL 1533. printed nasal vowel normalized to source-profile ~ notation,buddruss-shina1996:p40:e07,,,,noun f dialect:Sh:gil:Gilgit
Sh,274,ají,above,,,oben,"buddruss-shina1996[p. 40, glossary entry 08]",,Buddruss directly assigns this headword to Turner/CDIAL 274.,buddruss-shina1996:p40:e08,,,,adv spatial dialect:Sh:gil:Gilgit
Sh,1351,aáji,mother,,,Mutter,"buddruss-shina1996[p. 40, glossary entry 09]",,Buddruss directly assigns this headword to Turner/CDIAL 1351.,buddruss-shina1996:p40:e09,,,,noun f dialect:Sh:gil:Gilgit
Sh,,ajiíno,situated above,,,oben befindlich,"buddruss-shina1996[p. 40, glossary entry 10]",,source derives this from ají,buddruss-shina1996:p40:e10,,,,adj spatial dialect:Sh:gil:Gilgit
Sh,,akóo,oblique form of self,,,Obliquus zu akí selbst,"buddruss-shina1996[p. 40, glossary entry 11]",,etymology unclear; explicitly printed as glossary headword,buddruss-shina1996:p40:e11,,,,pron obl dialect:Sh:gil:Gilgit
Sh,,akhár,smith,,,Schmied,"buddruss-shina1996[p. 40, glossary entry 12]",,Persian derivation is doubted by the source,buddruss-shina1996:p40:e12,,,,noun m loanword dialect:Sh:gil:Gilgit
Sh,,alák b-,separate; part,,,sich trennen,"buddruss-shina1996[p. 40, glossary entry 13]",,loan from Hindi-Urdu alag,buddruss-shina1996:p40:e13,,,,verb intr loanword dialect:Sh:gil:Gilgit
Sh,,ariíno,inside; inner,,,inner,"buddruss-shina1996[p. 40, glossary entry 14]",,source derives this from arú,buddruss-shina1996:p40:e14,,,,adj spatial dialect:Sh:gil:Gilgit
Sh,,arú,inside,,,innen,"buddruss-shina1996[p. 40, glossary entry 15]",,dialect comparison and Turner 357 are tentative,buddruss-shina1996:p40:e15,,,,adv spatial dialect:Sh:gil:Gilgit
Sh,920,ášpo,horse,,,Pferd,"buddruss-shina1996[p. 40, glossary entry 16]",,Buddruss directly assigns this headword to Turner/CDIAL 920.,buddruss-shina1996:p40:e16,,,,noun m dialect:Sh:gil:Gilgit
Sh,,ay-,put into (iron into fire),,,hineinstecken (Eisen ins Feuer),"buddruss-shina1996[p. 40, glossary entry 17]",,source marks the word obsolete and its exact meaning uncertain,buddruss-shina1996:p40:e17,,,,verb tr archaic dialect:Sh:gil:Gilgit
Sh,1182,azaló,entrails,,,Eingeweide,"buddruss-shina1996[p. 40, glossary entry 18]",,Buddruss directly assigns this headword to Turner/CDIAL 1182.,buddruss-shina1996:p40:e18,,,,noun m dialect:Sh:gil:Gilgit
Sh,,b-,become,,,werden,"buddruss-shina1996[p. 40, glossary entry 19]",,"Turner 9416 and 9552 are both printed, so no single link is imposed",buddruss-shina1996:p40:e19,,,,verb intr dialect:Sh:gil:Gilgit
Sh,9209,baábo,father,,,Vater,"buddruss-shina1996[p. 40, glossary entry 20]",,Buddruss directly assigns this headword to Turner/CDIAL 9209.,buddruss-shina1996:p40:e20,,,,noun m dialect:Sh:gil:Gilgit
Sh,,báagan,parting of the hair,,,Scheitel,"buddruss-shina1996[p. 40, glossary entry 21]",,source etymology is explicitly tentative,buddruss-shina1996:p40:e21,,,,noun m dialect:Sh:gil:Gilgit
Sh,,báai-báari,twelve-layered; name of a yellow flower,,,zwölfschichtig; Name einer gelben Blume,"buddruss-shina1996[p. 40, glossary entry 22]",,"Turner 6658 belongs to the numeral component, not the compound as a whole",buddruss-shina1996:p40:e22,,,,noun f dialect:Sh:gil:Gilgit
Sh,,báakur,goat pen,,,Ziegenstall,"buddruss-shina1996[p. 41, glossary entry 01]",,Burushaski comparison and Turner analysis are tentative,buddruss-shina1996:p41:e01,,,,noun m dialect:Sh:gil:Gilgit
Sh,,bal,hanging,,,das Hängen,"buddruss-shina1996[p. 41, glossary entry 02]",,Burushaski comparison,buddruss-shina1996:p41:e02,,,,noun f dialect:Sh:gil:Gilgit
Sh,11572,báali,rope,,,Seil,"buddruss-shina1996[p. 41, glossary entry 03]",,Buddruss directly assigns this headword to Turner/CDIAL 11572.,buddruss-shina1996:p41:e03,,,,noun f dialect:Sh:gil:Gilgit
Sh,,balóos,stone pot,,,Steintopf,"buddruss-shina1996[p. 41, glossary entry 04]",,Burushaski comparison,buddruss-shina1996:p41:e04,,,,noun m dialect:Sh:gil:Gilgit
Sh,,bambá,water tap,,,Wasserhahn,"buddruss-shina1996[p. 41, glossary entry 05]",,ultimately Portuguese through Hindi-Urdu,buddruss-shina1996:p41:e05,,,,noun m loanword dialect:Sh:gil:Gilgit
Sh,,báari,fold; layer,,,"Falte, Schicht","buddruss-shina1996[p. 41, glossary entry 06]",,Punjabi comparison and Turner 11547 are questioned,buddruss-shina1996:p41:e06,,,,noun f dialect:Sh:gil:Gilgit
Sh,9139,ban-,put on (clothes),,,(Kleider) anziehen,"buddruss-shina1996[p. 41, glossary entry 07]",,Buddruss directly assigns this headword to Turner/CDIAL 9139.,buddruss-shina1996:p41:e07,,,,verb tr dialect:Sh:gil:Gilgit
Sh,11589,baš-,sound; speak,,,"tönen, reden","buddruss-shina1996[p. 41, glossary entry 08]",,Buddruss directly assigns this headword to Turner/CDIAL 11589.,buddruss-shina1996:p41:e08,,,,verb intr dialect:Sh:gil:Gilgit
Sh,9331,bat,rice dish,,,Reisgericht,"buddruss-shina1996[p. 41, glossary entry 09]",,Buddruss directly assigns this headword to Turner/CDIAL 9331. homonym 1 on this page,buddruss-shina1996:p41:e09,,,,noun m dialect:Sh:gil:Gilgit
