beine_oar,,ɡaɡorˑ,body,,ɡaɡorˑ,,"beine2017bhatri[p. 10, item 1, site OAR]",,,beine-bhatri:OAR:1:1,,,,
beine_ocu,,sor̩ir̩o,body,,sor̩ir̩o,,"beine2017bhatri[p. 10, item 1, site OCU]",,,beine-bhatri:OCU:1:1,,,,
beine_hbh,,a̽ɡ,body,,a̽ɡ,,"beine2017bhatri[p. 10, item 1, site HBH]",,,beine-bhatri:HBH:1:1,,,,
beine_bau,,ɡaɡe̠rˑ,body,,ɡaɡe̠rˑ,,"beine2017bhatri[p. 10, item 1, site BAU]",,,beine-bhatri:BAU:1:1,,,,
beine_bsa,,ɡaɡe̠rˑ,body,,ɡaɡe̠rˑ,,"beine2017bhatri[p. 10, item 1, site BSA]",,,beine-bhatri:BSA:1:1,,,,
beine_bje,,ɡv̠ɡe̠r̩,body,,ɡv̠ɡe̠r̩,,"beine2017bhatri[p. 10, item 1, site BJE]",,,beine-bhatri:BJE:1:1,,,,
beine_bkp,,ɡaɡr̩o,body,,ɡaɡr̩o,,"beine2017bhatri[p. 10, item 1, site BKP]",,,beine-bhatri:BKP:1:1,,,,
beine_bum,,dⁿe̽ha,body,,dⁿe̽ha,,"beine2017bhatri[p. 10, item 1, site BUM]",,,beine-bhatri:BUM:1:1,,,,
beine_bum,,ɡaɡe̩r,body,,ɡaɡe̩r,,"beine2017bhatri[p. 10, item 1, site BUM]",,,beine-bhatri:BUM:1:2,,,,uncertain
beine_bcb,,ɡaɡv̠r̩,body,,ɡaɡv̠r̩,,"beine2017bhatri[p. 10, item 1, site BCB]",,,beine-bhatri:BCB:1:1,,,,
beine_ban,,ɡaɡv̠r̩,body,,ɡaɡv̠r̩,,"beine2017bhatri[p. 10, item 1, site BAN]",,,beine-bhatri:BAN:1:1,,,,
beine_bar,,ɡaɡe̠r̩,body,,ɡaɡe̠r̩,,"beine2017bhatri[p. 10, item 1, site BAR]",,,beine-bhatri:BAR:1:1,,,,
beine_bag,,ɡaɡv̠r̩,body,,ɡaɡv̠r̩,,"beine2017bhatri[p. 10, item 1, site BAG]",,,beine-bhatri:BAG:1:1,,,,
