thar,43,ãkh,eye,,,,"thari[p. 186, col. 1, entry 1]",,,thari:p186:c1:e1,,,,noun f
thar,100,ãg,number,,,,thari,,,,,,,
thar,113,ãg,body part,,,,thari,,,,,,,
thar,6225,ãḍorī,rope,,,"The initial vowel is strange, may point to some prefix.","thari[p. 186, col. 1, entry 8]",,,thari:p186:c1:e8,,,,noun f
thar,386,ãdhāro,darkness,,,,"thari[p. 186, col. 1, entry 11]",,,thari:p186:c1:e11,,,,noun
thar,385,ãdho,blind,,,,"thari[p. 186, col. 1, entry 13]",,,thari:p186:c1:e13,,,,noun
thar,38,akhar,letter,,,,"thari[p. 198, col. 2, entry 7]",,,thari:p198:c2:e7,,,,noun
thar,48,akhrūṭ,walnut,,,,"thari[p. 186, col. 2, entry 1]",,,thari:p186:c2:e1,,,,noun m
thar,68,ag,front,,,,"thari[p. 186, col. 2, entry 2]",,,thari:p186:c2:e2,,,,noun
thar,68,age,"already, before",,adv,,"thari[p. 186, col. 2, entry 4]",,,thari:p186:c2:e4,,,,adv
thar,68,agmī̃,before,,,,"thari[p. 186, col. 2, entry 8]",,,thari:p186:c2:e8,,,,
thar,68,agyā̃,"in front of, before",,adv,,"thari[p. 186, col. 2, entry 9]",,,thari:p186:c2:e9,,,,adv
thar,68,aglo,succeeding,,,,"thari[p. 186, col. 2, entry 10]",,,thari:p186:c2:e10,,,,noun
thar,630,agh,rate,,,,thari,,,,,,,
thar,420,acanto,suddenly,,,,"thari[p. 186, col. 2, entry 12]",,,thari:p186:c2:e12,,,,
thar,242,aj,today,,,,"thari[p. 186, col. 2, entry 14]",,,thari:p186:c2:e14,,,,adv
thar,152,ajmo,ajwain,,,,"thari[p. 187, col. 1, entry 1]",,,thari:p187:c1:e1,,,,noun
thar,174,ãjīr,fig,,,,thari,,,,,,,
thar,277,ajho,"shelter, protection",,m,,"thari[p. 187, col. 1, entry 3]",,,thari:p187:c1:e3,,,,noun
thar,1338,aṭo,flour,,,,"thari[p. 187, col. 1, entry 4]",,,thari:p187:c1:e4,,,,noun
thar,183,aṭkal,device,,,,"thari[p. 187, col. 1, entry 5]",,,thari:p187:c1:e5,,,,noun f
thar,941,aṭh,eight,,,,"thari[p. 187, col. 1, entry 6]",,,thari:p187:c1:e6,,,,adj
