Vasavi,,ɖil,body,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 1, list KEL]",,,watters2013northerndhule:item:001:site:KEL,,,,dialect:Vasavi:sil-dhule-2013-vasavi-kelpada:Kelpada
Vasavi,,ɖil,body,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 1, list DHA]",,,watters2013northerndhule:item:001:site:DHA,,,,dialect:Vasavi:sil-dhule-2013-vasavi-dhanoura:Dhanoura
Vasavi,,ɖil,body,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 1, list DIG]",,,watters2013northerndhule:item:001:site:DIG,,,,dialect:Vasavi:sil-dhule-2013-vasavi-digiamba:Digiamba
Vasavi,,ɖil,body,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 1, list AMO]",,,watters2013northerndhule:item:001:site:AMO,,,,dialect:Vasavi:sil-dhule-2013-vasavi-amoda:Amoda
Noiri,,ɖil,body,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 1, list MUN]",,,watters2013northerndhule:item:001:site:MUN,,,,dialect:Noiri:sil-dhule-2013-noiri-mundalwad:Mundalwad
Noiri,,ɖil,body,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 1, list AST]",,,watters2013northerndhule:item:001:site:AST,,,,dialect:Noiri:sil-dhule-2013-noiri-astamba:Astamba
PauriBareli,,ɖil,body,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 1, list MAN]",,,watters2013northerndhule:item:001:site:MAN,,,,dialect:PauriBareli:sil-bareli-2018-bareli-pauri-mandvi:Mandvi
PauriBareli,,ɖiɭ,body,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 1, list BHU]",,,watters2013northerndhule:item:001:site:BHU,,,,dialect:PauriBareli:sil-dhule-2013-pauri-bhusha:Bhusha
RathwiBareli,,ɖiɭ,body,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 1, list AML]",,,watters2013northerndhule:item:001:site:AML,,,,dialect:RathwiBareli:sil-bareli-2018-rathwi-pauri-amalwadi:Amalwadi
RathwiBareli,,ɖhʌɖ,body,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 1, list SEG]",,,watters2013northerndhule:item:001:site:SEG,,,,dialect:RathwiBareli:sil-bareli-2018-rathwi-pauri-segwi:Segwi
RathwiBareli,,ɖil,body,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 1, list KAN]",,,watters2013northerndhule:item:001:site:KAN,,,,dialect:RathwiBareli:sil-dhule-2013-rathwi-kangai:Kangai
PauriBareli,,ɖiɭ,body,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 1, list SHA]",,,watters2013northerndhule:item:001:site:SHA,,,,dialect:PauriBareli:sil-bareli-2018-bareli-pauri-shahana:Shahana
Vasavi,,muŋkõ,head,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 2, list KEL]",,,watters2013northerndhule:item:002:site:KEL,,,,dialect:Vasavi:sil-dhule-2013-vasavi-kelpada:Kelpada
Vasavi,,muŋko,head,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 2, list DHA]",,,watters2013northerndhule:item:002:site:DHA,,,,dialect:Vasavi:sil-dhule-2013-vasavi-dhanoura:Dhanoura
Vasavi,,munɖʌko,head,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 2, list DIG]",,,watters2013northerndhule:item:002:site:DIG,,,,dialect:Vasavi:sil-dhule-2013-vasavi-digiamba:Digiamba
Vasavi,,muŋko,head,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 2, list AMO]",,,watters2013northerndhule:item:002:site:AMO,,,,dialect:Vasavi:sil-dhule-2013-vasavi-amoda:Amoda
Noiri,,munɖkʌ,head,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 2, list MUN]",,,watters2013northerndhule:item:002:site:MUN,,,,dialect:Noiri:sil-dhule-2013-noiri-mundalwad:Mundalwad
Noiri,,munɖkʌ,head,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 2, list AST]",,,watters2013northerndhule:item:002:site:AST,,,,dialect:Noiri:sil-dhule-2013-noiri-astamba:Astamba
PauriBareli,,munɖ,head,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 2, list MAN]",,,watters2013northerndhule:item:002:site:MAN,,,,dialect:PauriBareli:sil-bareli-2018-bareli-pauri-mandvi:Mandvi
PauriBareli,,moɳɖ,head,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 2, list BHU]",,,watters2013northerndhule:item:002:site:BHU,,,,dialect:PauriBareli:sil-dhule-2013-pauri-bhusha:Bhusha
RathwiBareli,,munɖkʌ,head,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 2, list AML]",,,watters2013northerndhule:item:002:site:AML,,,,dialect:RathwiBareli:sil-bareli-2018-rathwi-pauri-amalwadi:Amalwadi
RathwiBareli,,munɖkʌ,head,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 2, list SEG]",,,watters2013northerndhule:item:002:site:SEG,,,,dialect:RathwiBareli:sil-bareli-2018-rathwi-pauri-segwi:Segwi
RathwiBareli,,munɖkʌ,head,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 2, list KAN]",,,watters2013northerndhule:item:002:site:KAN,,,,dialect:RathwiBareli:sil-dhule-2013-rathwi-kangai:Kangai
PauriBareli,,munɖkʌ,head,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 2, list SHA]",,,watters2013northerndhule:item:002:site:SHA,,,,dialect:PauriBareli:sil-bareli-2018-bareli-pauri-shahana:Shahana
Vasavi,,tʃotiẽ,hair,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 3, list KEL]",,,watters2013northerndhule:item:003:site:KEL,,,,dialect:Vasavi:sil-dhule-2013-vasavi-kelpada:Kelpada
Vasavi,,tʃotia,hair,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 3, list DHA]",,,watters2013northerndhule:item:003:site:DHA,,,,dialect:Vasavi:sil-dhule-2013-vasavi-dhanoura:Dhanoura
Vasavi,,tʃote,hair,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 3, list DIG]",,,watters2013northerndhule:item:003:site:DIG,,,,dialect:Vasavi:sil-dhule-2013-vasavi-digiamba:Digiamba
Vasavi,,baɭ,hair,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 3, list AMO]",,,watters2013northerndhule:item:003:site:AMO,,,,dialect:Vasavi:sil-dhule-2013-vasavi-amoda:Amoda
Noiri,,sindʒe,hair,,,,"watters2013northerndhule[Appendix C, printed p. 83, item 3, list MUN]",,,watters2013northerndhule:item:003:site:MUN,,,,dialect:Noiri:sil-dhule-2013-noiri-mundalwad:Mundalwad
