kw,,aeˀ,third singular reflexive.,,aeˀ,,"BAHL[p. 1, row 5, item 5]",,,bahl1962korwa:C:c1.p1.r5.i5,,,,pron
kw,,agbakaːo,to be perplexed.,,agbakaːo,,"BAHL[p. 2, row 9, item 23]",,,bahl1962korwa:C:c1.p2.r9.i23,,,,
kw,,aguaː,"in front, before.",,aguaː,,"BAHL[p. 2, row 5, item 19]",,,bahl1962korwa:C:c1.p2.r5.i19,,,,
kw,,aguraː,to watch.,,aguraː,,"BAHL[p. 2, row 7, item 21]",,,bahl1962korwa:C:c1.p2.r7.i21,,,,
kw,,agʰuaːn,"to stand as a surety for somebody (of the headman), [to vouch for].",,agʰuaːn,,"BAHL[p. 2, row 10, item 24]",,,bahl1962korwa:C:c1.p2.r10.i24,,,,
kw,,ahiraː,"Ahir caste, cowherd.",,ahiraː,,"BAHL[p. 5, row 13, item 75]",,,bahl1962korwa:C:c1.p5.r13.i75,,,,
kw,,ahĩd,a fish.,,ahĩd,,"BAHL[p. 5, row 12, item 74]",,,bahl1962korwa:C:c1.p5.r12.i74,,,,
kw,,akalsakal,to be unconscious (before death).,,akalsakal,,"BAHL[p. 1, row 7, item 7]",,,bahl1962korwa:C:c1.p1.r7.i7,,,,
kw,,akaɽã,an inner room in a Korwa house where the family god is kept.,,akaɽã,,"BAHL[p. 1, row 6, item 6]",,,bahl1962korwa:C:c1.p1.r6.i6,,,,
kw,,akʰaɽã,an inner room in a Korwa house where the family god is kept.,,akʰaɽã,,"BAHL[p. 1, row 6, item 6]",,,bahl1962korwa:C:c1.p1.r6.i6:v2,bahl1962korwa:C:c1.p1.r6.i6,,,
kw,,akiluːˀ,"to remember, to recollect.",,akiluːˀ,,"BAHL[p. 1, row 10, item 10]",,,bahl1962korwa:C:c1.p1.r10.i10,,,,
kw,,akin,third dual reflexive.,,akin,,"BAHL[p. 1, row 9, item 9]",,,bahl1962korwa:C:c1.p1.r9.i9,,,,pron du
kw,,akiɖ,to gather up grains.,,akiɖ,,"BAHL[p. 1, row 8, item 8]",,,bahl1962korwa:C:c1.p1.r8.i8,,,,
kw,,akuː,third plural reflexive.,,akuː,,"BAHL[p. 1, row 11, item 11]",,,bahl1962korwa:C:c1.p1.r11.i11,,,,pron pl
kw,,akʰad,sacred rice which is fed to the chicken by a priest before its ceremonial sacrifice.,,akʰad,,"BAHL[p. 1, row 12, item 12]",,,bahl1962korwa:C:c1.p1.r12.i12,,,,
kw,,akʰam,to absent oneself from work.,,akʰam,,"BAHL[p. 1, row 13, item 13]",,,bahl1962korwa:C:c1.p1.r13.i13,,,,
kw,,akʰariŋ,to sell.,,akʰariŋ,,"BAHL[p. 1, row 14, item 14]",,,bahl1962korwa:C:c1.p1.r14.i14,,,,
kw,,akʰaɽaː,an inner room in a Korwa house where the family god is kept.,,akʰaɽaː,,"BAHL[p. 2, row 3, item 17]",,,bahl1962korwa:C:c1.p2.r3.i17,,,,
kw,,akaɽaː,an inner room in a Korwa house where the family god is kept.,,akaɽaː,,"BAHL[p. 2, row 3, item 17]",,,bahl1962korwa:C:c1.p2.r3.i17:v2,bahl1962korwa:C:c1.p2.r3.i17,,,
kw,,akʰiaːo,"to wink, to beckon.",,akʰiaːo,,"BAHL[p. 2, row 4, item 18]",,,bahl1962korwa:C:c1.p2.r4.i18,,,,
kw,,amalaːo,to take possession.,,amalaːo,,"BAHL[p. 3, row 12, item 42]",,,bahl1962korwa:C:c1.p3.r12.i42,,,,
kw,,amaliː,tamarind.,,amaliː,,"BAHL[p. 3, row 13, item 43]",,,bahl1962korwa:C:c1.p3.r13.i43,,,,
kw,,amaːrob,orphan.,,amaːrob,,"BAHL[p. 3, row 14, item 44]",,,bahl1962korwa:C:c1.p3.r14.i44,,,,
kw,,amrut,guava.,,amrut,,"BAHL[p. 3, row 15, item 45]",,,bahl1962korwa:C:c1.p3.r15.i45,,,,
kw,,amrud,guava.,,amrud,,"BAHL[p. 3, row 15, item 45]",,,bahl1962korwa:C:c1.p3.r15.i45:v2,bahl1962korwa:C:c1.p3.r15.i45,,,
kw,,anaː,third inanimate reflexive.,,anaː,,"BAHL[p. 2, row 16, item 30]",,,bahl1962korwa:C:c1.p2.r16.i30,,,,pron
kw,,andʰaː,blind.,,andʰaː,,"BAHL[p. 3, row 1, item 31]",,,bahl1962korwa:C:c1.p3.r1.i31,,,,
kw,,andʰaː,to be blind.,,andʰaː,,"BAHL[p. 3, row 2, item 32]",,,bahl1962korwa:C:c1.p3.r2.i32,,,,
kw,,ansaːo,to make (someone) restless.,,ansaːo,,"BAHL[p. 3, row 3, item 33]",,,bahl1962korwa:C:c1.p3.r3.i33,,,,
kw,,apaeɖ,"to be fussy, to fuss.",,apaeɖ,,"BAHL[p. 3, row 4, item 34]",,,bahl1962korwa:C:c1.p3.r4.i34,,,,
kw,,apiˀ,sleep.,,apiˀ,,"BAHL[p. 3, row 5, item 35]",,,bahl1962korwa:C:c1.p3.r5.i35,,,,
kw,,apiˀ,to sleep.,,apiˀ,,"BAHL[p. 3, row 6, item 36]",,,bahl1962korwa:C:c1.p3.r6.i36,,,,
kw,,arnaːo,to lower the head to fight (ref. to animals).,,arnaːo,,"BAHL[p. 4, row 12, item 59]",,,bahl1962korwa:C:c1.p4.r12.i59,,,,
kw,,arpaː,to snatch a thing by pouncing upon it (ref. to animals).,,arpaː,,"BAHL[p. 4, row 13, item 60]",,,bahl1962korwa:C:c1.p4.r13.i60,,,,
kw,,arpoɖ,to draw in one's stomach.,,arpoɖ,,"BAHL[p. 4, row 15, item 62]",,,bahl1962korwa:C:c1.p4.r15.i62,,,,
kw,,arsal,to search with the aid of light.,,arsal,,"BAHL[p. 5, row 1, item 63]",,,bahl1962korwa:C:c1.p5.r1.i63,,,,
kw,,aru,"more, and.",,aru,,"BAHL[p. 4, row 11, item 58]",,,bahl1962korwa:C:c1.p4.r11.i58,,,,
kw,,asaraː,to wish to get.,,asaraː,,"BAHL[p. 5, row 6, item 68]",,,bahl1962korwa:C:c1.p5.r6.i68,,,,
kw,,asiɖ,to stop breathing (ref. to death).,,asiɖ,,"BAHL[p. 5, row 7, item 69]",,,bahl1962korwa:C:c1.p5.r7.i69,,,,
kw,,askal,a bird.,,askal,,"BAHL[p. 5, row 9, item 71]",,,bahl1962korwa:C:c1.p5.r9.i71,,,,
kw,,aslaːo,to fade (ref. to flowers).,,aslaːo,,"BAHL[p. 5, row 11, item 73]",,,bahl1962korwa:C:c1.p5.r11.i73,,,,
kw,,astir,"slowly, calmly.",,astir,,"BAHL[p. 5, row 10, item 72]",,,bahl1962korwa:C:c1.p5.r10.i72,,,,
kw,,ave,to be able to.,,ave,,"BAHL[p. 11, row 9, item 166]",,,bahl1962korwa:C:c1.p11.r9.i166,,,,
kw,,avir,"to take along, lead.",,avir,,"BAHL[p. 5, row 14, item 76]",,,bahl1962korwa:C:c1.p5.r14.i76,,,,
kw,m33,ayub,early evening.,,ayub,,"BAHL[p. 3, row 16, item 46]",,Rau 2019 assigns Bahl's Korwa form to Proto-Munda m33; resolved by unique normalized source form and compatible meaning.,bahl1962korwa:C:c1.p3.r16.i46,,,,
kw,,ayub,to be early evening.,,ayub,,"BAHL[p. 3, row 17, item 47]",,,bahl1962korwa:C:c1.p3.r17.i47,,,,
kw,,ayum,"to hear, to listen.",,ayum,,"BAHL[p. 4, row 1, item 48]",,,bahl1962korwa:C:c1.p4.r1.i48,,,,
kw,,ayumiː,"woman, wife.",,ayumiː,,"BAHL[p. 4, row 9, item 56]",,,bahl1962korwa:C:c1.p4.r9.i56,,,,
kw,,aŋuʈʰaː,the thumb.,,aŋuʈʰaː,,"BAHL[p. 2, row 11, item 25]",,,bahl1962korwa:C:c1.p2.r11.i25,,,,
kw,,aɖiˀ,to cheat.,,aɖiˀ,,"BAHL[p. 2, row 14, item 28]",,,bahl1962korwa:C:c1.p2.r14.i28,,,,
kw,,aɽcaːɳuː,to wash hands.,,aɽcaːɳuː,,"BAHL[p. 5, row 4, item 66]",,,bahl1962korwa:C:c1.p5.r4.i66,,,,
kw,,aɽiaːo,to strut.,,aɽiaːo,,"BAHL[p. 5, row 3, item 65]",,,bahl1962korwa:C:c1.p5.r3.i65,,,,
