humla_til,,zuwu,body,,zuwu,,devries2020humla[p. 49],,,humla:1:til:1
humla_muchu,,liubʰi,body,,liubʰi,,devries2020humla[p. 49],,,humla:1:muchu:1
humla_yalbang,,liu,body,,liu,,devries2020humla[p. 49],,,humla:1:yalbang:1
humla_kermi,,liu,body,,liu,,devries2020humla[p. 49],,,humla:1:kermi:1
humla_yakpa,,lʏbu,body,,lʏbu,,devries2020humla[p. 49],,,humla:1:yakpa:1
humla_bargaun,,lʏbi,body,,lʏbi,,devries2020humla[p. 49],,,humla:1:bargaun:1
humla_dojam,,lipa,body,,lipa,,devries2020humla[p. 49],,,humla:1:dojam:1
humla_til,,go,head,,go,,devries2020humla[p. 49],,,humla:2:til:1
humla_muchu,,go,head,,go,,devries2020humla[p. 49],,,humla:2:muchu:1
humla_yalbang,,go,head,,go,,devries2020humla[p. 49],,,humla:2:yalbang:1
humla_kermi,,go,head,,go,,devries2020humla[p. 49],,,humla:2:kermi:1
humla_yakpa,,go,head,,go,,devries2020humla[p. 49],,,humla:2:yakpa:1
humla_bargaun,,kʰoro,head,,kʰoro,,devries2020humla[p. 49],,,humla:2:bargaun:1
humla_dojam,,go,head,,go,,devries2020humla[p. 49],,,humla:2:dojam:1
humla_til,,sɻ̥a,hair,,sɻ̥a,,devries2020humla[p. 49],,,humla:3:til:1
humla_muchu,,ʈa,hair,,ʈa,,devries2020humla[p. 49],,,humla:3:muchu:1
humla_yalbang,,tɻ̥a,hair,,tɻ̥a,,devries2020humla[p. 49],,,humla:3:yalbang:1
humla_kermi,,ʈa,hair,,ʈa,,devries2020humla[p. 49],,,humla:3:kermi:1
humla_yakpa,,ʈa,hair,,ʈa,,devries2020humla[p. 49],,,humla:3:yakpa:1
humla_bargaun,,ʈɻ̥a,hair,,ʈɻ̥a,,devries2020humla[p. 49],,,humla:3:bargaun:1
humla_dojam,,tɻ̥a,hair,,tɻ̥a,,devries2020humla[p. 49],,,humla:3:dojam:1
humla_til,,doŋba,face,,doŋba,,devries2020humla[p. 49],,,humla:4:til:1
humla_muchu,,ŋəraŋ,face,,ŋəraŋ,,devries2020humla[p. 49],,,humla:4:muchu:1
humla_yalbang,,ŋaraŋ,face,,ŋaraŋ,,devries2020humla[p. 49],,,humla:4:yalbang:1
humla_kermi,,tsʲaŋan,face,,tsʲaŋan,,devries2020humla[p. 49],,,humla:4:kermi:1
humla_yakpa,,kʰʌri,face,,kʰʌri,,devries2020humla[p. 49],,,humla:4:yakpa:1
humla_bargaun,,kʰʌri,face,,kʰʌri,,devries2020humla[p. 49],,,humla:4:bargaun:1
humla_dojam,,kʰʌri,face,,kʰʌri,,devries2020humla[p. 49],,,humla:4:dojam:1
humla_til,,mik,eye,,mik,,devries2020humla[p. 49],,,humla:5:til:1
humla_muchu,,mik̚,eye,,mik̚,,devries2020humla[p. 49],,,humla:5:muchu:1
humla_yalbang,,mik̚,eye,,mik̚,,devries2020humla[p. 49],,,humla:5:yalbang:1
humla_kermi,,mik̚,eye,,mik̚,,devries2020humla[p. 49],,,humla:5:kermi:1
humla_yakpa,,mik,eye,,mik,,devries2020humla[p. 49],,,humla:5:yakpa:1
humla_bargaun,,mik̚,eye,,mik̚,,devries2020humla[p. 49],,,humla:5:bargaun:1
humla_dojam,,mik̚,eye,,mik̚,,devries2020humla[p. 49],,,humla:5:dojam:1
humla_til,,amtsʲʰok,ear,,amtsʲʰok,,devries2020humla[p. 49],,,humla:6:til:1
humla_muchu,,amdʒok,ear,,amdʒok,,devries2020humla[p. 49],,,humla:6:muchu:1
humla_yalbang,,namʒok̚,ear,,namʒok̚,,devries2020humla[p. 49],,,humla:6:yalbang:1
humla_kermi,,namdzʲok,ear,,namdzʲok,,devries2020humla[p. 49],,,humla:6:kermi:1
humla_yakpa,,namdzʲok,ear,,namdzʲok,,devries2020humla[p. 49],,,humla:6:yakpa:1
humla_bargaun,,namʒok̚,ear,,namʒok̚,,devries2020humla[p. 49],,,humla:6:bargaun:1
humla_dojam,,namdzʲok,ear,,namdzʲok,,devries2020humla[p. 49],,,humla:6:dojam:1
humla_til,,na,nose,,na,,devries2020humla[p. 49],,,humla:7:til:1
humla_muchu,,na,nose,,na,,devries2020humla[p. 49],,,humla:7:muchu:1
humla_yalbang,,na,nose,,na,,devries2020humla[p. 49],,,humla:7:yalbang:1
humla_kermi,,na,nose,,na,,devries2020humla[p. 49],,,humla:7:kermi:1
humla_yakpa,,na,nose,,na,,devries2020humla[p. 49],,,humla:7:yakpa:1
humla_bargaun,,na,nose,,na,,devries2020humla[p. 49],,,humla:7:bargaun:1
humla_dojam,,na,nose,,na,,devries2020humla[p. 49],,,humla:7:dojam:1
humla_til,,kʰa,mouth,,kʰa,,devries2020humla[p. 49],,,humla:8:til:1
humla_muchu,,kʰa,mouth,,kʰa,,devries2020humla[p. 49],,,humla:8:muchu:1
humla_yalbang,,kʰa,mouth,,kʰa,,devries2020humla[p. 49],,,humla:8:yalbang:1
humla_kermi,,kʰa,mouth,,kʰa,,devries2020humla[p. 49],,,humla:8:kermi:1
humla_yakpa,,kʰa,mouth,,kʰa,,devries2020humla[p. 49],,,humla:8:yakpa:1
humla_bargaun,,kʰʌpkil,mouth,,kʰʌpkil,,devries2020humla[p. 49],,,humla:8:bargaun:1
humla_dojam,,kʰa,mouth,,kʰa,,devries2020humla[p. 49],,,humla:8:dojam:1
humla_til,,so,tooth,,so,,devries2020humla[p. 49],,,humla:9:til:1
humla_muchu,,so,tooth,,so,,devries2020humla[p. 49],,,humla:9:muchu:1
humla_yalbang,,so,tooth,,so,,devries2020humla[p. 49],,,humla:9:yalbang:1
humla_kermi,,so,tooth,,so,,devries2020humla[p. 49],,,humla:9:kermi:1
humla_yakpa,,so,tooth,,so,,devries2020humla[p. 49],,,humla:9:yakpa:1
humla_bargaun,,so,tooth,,so,,devries2020humla[p. 49],,,humla:9:bargaun:1
humla_dojam,,so,tooth,,so,,devries2020humla[p. 49],,,humla:9:dojam:1
humla_til,,tsʲe,tongue,,tsʲe,,devries2020humla[p. 49],,,humla:10:til:1
humla_muchu,,tsʲeli,tongue,,tsʲeli,,devries2020humla[p. 49],,,humla:10:muchu:1
humla_yalbang,,tsʲeli,tongue,,tsʲeli,,devries2020humla[p. 49],,,humla:10:yalbang:1
humla_kermi,,tsʲe,tongue,,tsʲe,,devries2020humla[p. 49],,,humla:10:kermi:1
humla_yakpa,,tsʲe,tongue,,tsʲe,,devries2020humla[p. 49],,,humla:10:yakpa:1
humla_bargaun,,tsʲe,tongue,,tsʲe,,devries2020humla[p. 49],,,humla:10:bargaun:1
humla_dojam,,tsʲe,tongue,,tsʲe,,devries2020humla[p. 49],,,humla:10:dojam:1
humla_til,,taŋ,chest,,taŋ,,devries2020humla[p. 49],,,humla:11:til:1
humla_muchu,,ʈaŋ,chest,,ʈaŋ,,devries2020humla[p. 49],,,humla:11:muchu:1
humla_yalbang,,ʈaŋ,chest,,ʈaŋ,,devries2020humla[p. 49],,,humla:11:yalbang:1
humla_kermi,,ʈaŋ,chest,,ʈaŋ,,devries2020humla[p. 49],,,humla:11:kermi:1
humla_yakpa,,taŋ,chest,,taŋ,,devries2020humla[p. 49],,,humla:11:yakpa:1
humla_bargaun,,ʈaŋ,chest,,ʈaŋ,,devries2020humla[p. 49],,,humla:11:bargaun:1
humla_dojam,,ʈaŋ,chest,,ʈaŋ,,devries2020humla[p. 49],,,humla:11:dojam:1
humla_til,,ʈʰopa,belly,,ʈʰopa,,devries2020humla[p. 49],,,humla:12:til:1
humla_muchu,,ʈopʰa,belly,,ʈopʰa,,devries2020humla[p. 49],,,humla:12:muchu:1
humla_yalbang,,ʈʰopa,belly,,ʈʰopa,,devries2020humla[p. 49],,,humla:12:yalbang:1
humla_kermi,,ʈopa,belly,,ʈopa,,devries2020humla[p. 49],,,humla:12:kermi:1
humla_yakpa,,ʈupa,belly,,ʈupa,,devries2020humla[p. 49],,,humla:12:yakpa:1
humla_bargaun,,ʈʰopa,belly,,ʈʰopa,,devries2020humla[p. 49],,,humla:12:bargaun:1
humla_dojam,,ʈʰopa,belly,,ʈʰopa,,devries2020humla[p. 49],,,humla:12:dojam:1
humla_til,,lakpa,hand,,lakpa,,devries2020humla[p. 50],,,humla:13:til:1
humla_muchu,,lakpa,hand,,lakpa,,devries2020humla[p. 50],,,humla:13:muchu:1
humla_yalbang,,lakpa,hand,,lakpa,,devries2020humla[p. 50],,,humla:13:yalbang:1
humla_kermi,,lakpa,hand,,lakpa,,devries2020humla[p. 50],,,humla:13:kermi:1
humla_yakpa,,lakpa,hand,,lakpa,,devries2020humla[p. 50],,,humla:13:yakpa:1
humla_bargaun,,lakpa,hand,,lakpa,,devries2020humla[p. 50],,,humla:13:bargaun:1
humla_dojam,,laː,hand,,laː,,devries2020humla[p. 50],,,humla:13:dojam:1
humla_til,,ʈeᵒtsok̚,elbow,,ʈeᵒtsok̚,,devries2020humla[p. 50],,,humla:14:til:1
humla_muchu,,ʈũdzʲi,elbow,,ʈũdzʲi,,devries2020humla[p. 50],,,humla:14:muchu:1
humla_yalbang,,ʈõsi,elbow,,ʈõsi,,devries2020humla[p. 50],,,humla:14:yalbang:1
humla_kermi,,ʈʰĩgule,elbow,,ʈʰĩgule,,devries2020humla[p. 50],,,humla:14:kermi:1
humla_yakpa,,tiŋgule,elbow,,tiŋgule,,devries2020humla[p. 50],,,humla:14:yakpa:1
humla_bargaun,,tubusʲiŋ,elbow,,tubusʲiŋ,,devries2020humla[p. 50],,,humla:14:bargaun:1
humla_dojam,,ʈiŋdzʲuma,elbow,,ʈiŋdzʲuma,,devries2020humla[p. 50],,,humla:14:dojam:1
humla_til,,lakpanaŋ,palm of hand,,lakpanaŋ,,devries2020humla[p. 50],,,humla:15:til:1
humla_muchu,,laktʰil,palm of hand,,laktʰil,,devries2020humla[p. 50],,,humla:15:muchu:1
humla_yalbang,,laktʰil,palm of hand,,laktʰil,,devries2020humla[p. 50],,,humla:15:yalbang:1
humla_kermi,,laktʰil,palm of hand,,laktʰil,,devries2020humla[p. 50],,,humla:15:kermi:1
humla_yakpa,,laktʰil,palm of hand,,laktʰil,,devries2020humla[p. 50],,,humla:15:yakpa:1
humla_bargaun,,laktil,palm of hand,,laktil,,devries2020humla[p. 50],,,humla:15:bargaun:1
humla_dojam,,lʌktʰil,palm of hand,,lʌktʰil,,devries2020humla[p. 50],,,humla:15:dojam:1
humla_til,,ʈanze,finger(s),,ʈanze,,devries2020humla[p. 50],,,humla:16:til:1
humla_muchu,,ʈãʒi,finger(s),,ʈãʒi,,devries2020humla[p. 50],,,humla:16:muchu:1
humla_yalbang,,ʈãnsi,finger(s),,ʈãnsi,,devries2020humla[p. 50],,,humla:16:yalbang:1
humla_kermi,,ʈãzi,finger(s),,ʈãzi,,devries2020humla[p. 50],,,humla:16:kermi:1
humla_yakpa,,ʈãnzer,finger(s),,ʈãnzer,,devries2020humla[p. 50],,,humla:16:yakpa:1
humla_bargaun,,dzũ,finger(s),,dzũ,,devries2020humla[p. 50],,,humla:16:bargaun:1
humla_dojam,,dzugu,finger(s),,dzugu,,devries2020humla[p. 50],,,humla:16:dojam:1
humla_til,,sɛrmo,fingernail,,sɛrmo,,devries2020humla[p. 50],,,humla:17:til:1
humla_muchu,,sɛrmu,fingernail,,sɛrmu,,devries2020humla[p. 50],,,humla:17:muchu:1
humla_yalbang,,sɛrmu,fingernail,,sɛrmu,,devries2020humla[p. 50],,,humla:17:yalbang:1
humla_kermi,,samu,fingernail,,samu,,devries2020humla[p. 50],,,humla:17:kermi:1
humla_yakpa,,sɛrmu,fingernail,,sɛrmu,,devries2020humla[p. 50],,,humla:17:yakpa:1
humla_bargaun,,sʏnmu,fingernail,,sʏnmu,,devries2020humla[p. 50],,,humla:17:bargaun:1
humla_dojam,,sʌnma,fingernail,,sʌnma,,devries2020humla[p. 50],,,humla:17:dojam:1
humla_til,,kaŋba,foot,,kaŋba,,devries2020humla[p. 50],,,humla:18:til:1
humla_muchu,,kaŋba,foot,,kaŋba,,devries2020humla[p. 50],,,humla:18:muchu:1
humla_yalbang,,kʰaŋba,foot,,kʰaŋba,,devries2020humla[p. 50],,,humla:18:yalbang:1
