Toda,d1,a,"dem.a. (ay before words beginning with vowels and w, and a before others) that; ay wïtkuḍy ‘that anthill’, a ciṭy ‘that merchant’, a teːsts̱ loc. ‘in that coun- try’, afarc/fars loc. ‘in such-and-such a year’, a wïso ɫ ỵ, ay wïso ɫ ỵ ‘that wïso̱ɫỵ dairy’. DEDR 1, TGT 98, PB 4",,,,"bhaskararao-toda2025[p. 1, entry 1]",,Bhaskararao and Kobayashi cite DEDR 1,bhaskararao-toda2025:p1:e1,,,,inherited
Toda,,abak,n. food; abak ïḍ- ‘to put in the mouth’. PB 5,,,,"bhaskararao-toda2025[p. 1, entry 2]",,,bhaskararao-toda2025:p1:e2,,,,
Toda,,aboym,"n. danger(obl. aboyt-). TGT 10, 71",,,,"bhaskararao-toda2025[p. 1, entry 3]",,,bhaskararao-toda2025:p1:e3,,,,
Toda,,aboyt-,n. obl. of aboym ‘danger’,,,,"bhaskararao-toda2025[p. 1, entry 4]",,,bhaskararao-toda2025:p1:e4,,,,
Toda,d474,ačok,"n. measure(s)(ofvolume; pl. ačokam), anačok measuringvessel. DEDR 474, 2876, PB 5, 47",,,,"bhaskararao-toda2025[p. 1, entry 5]",,Bhaskararao and Kobayashi cite DEDR 474,bhaskararao-toda2025:p1:e5,,,,inherited
Toda,d2876,ačok,"n. measure(s)(ofvolume; pl. ačokam), anačok measuringvessel. DEDR 474, 2876, PB 5, 47",,,,"bhaskararao-toda2025[p. 1, entry 5]",,Bhaskararao and Kobayashi cite DEDR 2876,bhaskararao-toda2025:p1:e5:link:2,,,,inherited
Toda,d1,aḏ,"dem.adv. on that day, aḏ =θon ‘on that same day’, aḏeː ‘on that very day’. DEDR 1, TGT 100,179, PB 5,13",,,,"bhaskararao-toda2025[p. 1, entry 6]",,Bhaskararao and Kobayashi cite DEDR 1,bhaskararao-toda2025:p1:e6,,,,inherited
Toda,,aḏïyi ïḏ,"adv. (aḏ ïyi) just then, at the same time (negatively); ič twïːṛ oṭ-š-pini aḏïyi ïḏ upum podoɫaːṃ podsi ‘I cooked a small quantity of rice; at the same time many guests have arrived.’ PB 5",,,,"bhaskararao-toda2025[p. 1, entry 7]",,,bhaskararao-toda2025:p1:e7,,,,
Toda,,aḏ-k,adv. for that day. PB 5,,,,"bhaskararao-toda2025[p. 1, entry 8]",,,bhaskararao-toda2025:p1:e8,,,,
Toda,,aḏnwïṛ,dem.adv. that day as never afterwards. TGT 85,,,,"bhaskararao-toda2025[p. 1, entry 9]",,,bhaskararao-toda2025:p1:e9,,,,
Toda,,aḏ-s̱n nïḏ-s,"dem.adv. from that day onwards (nïḏ-s ‘onwards’). PB 5, 74, 195",,,,"bhaskararao-toda2025[p. 1, entry 10]",,,bhaskararao-toda2025:p1:e10,,,,
Toda,,aḏ-t paːṇ,n. function. PB 5,,,,"bhaskararao-toda2025[p. 1, entry 11]",,,bhaskararao-toda2025:p1:e11,,,,
Toda,d11,aḍ-,"vt. to dig. DEDR 11, TGT 122",,,,"bhaskararao-toda2025[p. 1, entry 12]",,Bhaskararao and Kobayashi cite DEDR 11,bhaskararao-toda2025:p1:e12,,,,inherited
Toda,,aḍθ-,"vt. to dig. DEDR 11, TGT 122",,,,"bhaskararao-toda2025[p. 1, entry 12]",,Printed S2 or alternate stem of aḍ-,bhaskararao-toda2025:p1:e12:variant:1,bhaskararao-toda2025:p1:e12,,bhaskararao-toda2025:p1:e12,variant
Toda,d88,aḍky,"n. betel-nut. RSLST 69, DEDR 88",,,,"bhaskararao-toda2025[p. 1, entry 13]",,Bhaskararao and Kobayashi cite DEDR 88,bhaskararao-toda2025:p1:e13,,,,inherited
Toda,,aḍkyan,n. areca nuts (sg. aḍky). PB 5 2,,,,"bhaskararao-toda2025[p. 1, entry 14]",,,bhaskararao-toda2025:p1:e14,,,,
Toda,,aḍθ-,v. S of aḍ-,,,,"bhaskararao-toda2025[p. 1, entry 15]",,,bhaskararao-toda2025:p1:e15,,,,
Toda,d130,aḍy,n. clay pot. DEDR 130,,,,"bhaskararao-toda2025[p. 1, entry 16]",,Bhaskararao and Kobayashi cite DEDR 130,bhaskararao-toda2025:p1:e16,,,,inherited
Toda,d4887,aḍy-muː,"n. earthen vessel with various dairy uses, including that of fetching water from the stream; a small clay pot for keeping milk. DEDR 4887; PB 5",,,,"bhaskararao-toda2025[p. 1, entry 17]",,Bhaskararao and Kobayashi cite DEDR 4887,bhaskararao-toda2025:p1:e17,,,,inherited
Toda,,aḍy muːḍy,n. clay lid for aḍy. PB 5,,,,"bhaskararao-toda2025[p. 1, entry 18]",,,bhaskararao-toda2025:p1:e18,,,,
Toda,,aḍyn guḍy,n. a depression for keeping aḍy ‘pot’ in front of was-kal ‘hearth’. PB 5,,,,"bhaskararao-toda2025[p. 1, entry 19]",,,bhaskararao-toda2025:p1:e19,,,,
Toda,,aḍy tešk,n. ring made of cane for keeping aḍy on it. PB 5,,,,"bhaskararao-toda2025[p. 1, entry 20]",,,bhaskararao-toda2025:p1:e20,,,,
Toda,,-af,"suff. mother, as in piyaf ‘mother’s/father’s mother’. PB 5",,,,"bhaskararao-toda2025[p. 1, entry 21]",,,bhaskararao-toda2025:p1:e21,,,,
Toda,d273,af,"kin. (also afuf) mother, mother’s sister or female parallel cousin, afaː¿ ‘O mother!’ RSLST 37, DEDR 273, TGT 70",,,,"bhaskararao-toda2025[p. 1, entry 22]",,Bhaskararao and Kobayashi cite DEDR 273,bhaskararao-toda2025:p1:e22,,,,inherited
Toda,d2391,af-,"vt. to pound with light strokes, beat. DEDR 2391, TGT 124, PB 5",,,,"bhaskararao-toda2025[p. 1, entry 23]",,Bhaskararao and Kobayashi cite DEDR 2391,bhaskararao-toda2025:p1:e23,,,,inherited
Toda,,aft-,"vt. to pound with light strokes, beat. DEDR 2391, TGT 124, PB 5",,,,"bhaskararao-toda2025[p. 1, entry 23]",,Printed S2 or alternate stem of af-,bhaskararao-toda2025:p1:e23:variant:1,bhaskararao-toda2025:p1:e23,,bhaskararao-toda2025:p1:e23,variant
Toda,,afa,kin. mother (f > v). PB 5 2,,,,"bhaskararao-toda2025[p. 1, entry 24]",,,bhaskararao-toda2025:p1:e24,,,,
Toda,,aft-,v. S ofaf-,,,,"bhaskararao-toda2025[p. 1, entry 25]",,,bhaskararao-toda2025:p1:e25,,,,
Toda,d273,afuf,"kin. (also af) mother, mother’s sister or female parallel cousin. DEDR 273",,,,"bhaskararao-toda2025[p. 1, entry 26]",,Bhaskararao and Kobayashi cite DEDR 273,bhaskararao-toda2025:p1:e26,,,,inherited
Toda,,afuf,"kin. mother (a vuf), mother’s sisters. PB 5",,,,"bhaskararao-toda2025[p. 2, entry 1]",,,bhaskararao-toda2025:p2:e1,,,,
