Phal,,-á,Plural suffix (with a-declension nouns),,-á,,liljegren,,,liljegren-LX000001,,,,suffix
Phal,,-á,Causative (valence-increasing) suffix,,-á,,liljegren,,,liljegren-LX000002,,,,suffix
Phal,,-á,Oblique case suffix (with a-declension nouns),,-á,,liljegren,,,liljegren-LX000003,,,,suffix
Phal,,-a,Third person singular suffix,,-a,Morphemic form: -e; Restriction: Added to verb stem in Future and Past Imperfective,liljegren,,,liljegren--a_1,,,,suffix
Phal,,-íi,Third person singular suffix,,,Morphemic form: -e; Restriction: Added to verb stem in Future and Past Imperfective; Variant restriction: With e-ending verb stems,liljegren,,,liljegren--a_1-variant-1,liljegren--a_1,,,suffix
Phal,,-óo,Third person singular suffix,,,Morphemic form: -e; Restriction: Added to verb stem in Future and Past Imperfective; Variant restriction: With a-ending verb stems,liljegren,,,liljegren--a_1-variant-2,liljegren--a_1,,,suffix
biori,,-e,Third person singular suffix,,,Morphemic form: -e; Restriction: Added to verb stem in Future and Past Imperfective; Variant restriction: Biori,liljegren,,,liljegren--a_1-variant-3,liljegren--a_1,,,suffix dialect:Biori
biori,,-úu,Third person singular suffix,,,Morphemic form: -e; Restriction: Added to verb stem in Future and Past Imperfective; Variant restriction: With a-ending verb stems in Biori,liljegren,,,liljegren--a_1-variant-4,liljegren--a_1,,,suffix dialect:Biori
Phal,,-a,Plural suffix (with a-declension nouns),,-a,,liljegren,,,liljegren--a_2,,,,suffix
Phal,,-á,Plural suffix (with a-declension nouns),,,Variant restriction: With accent-shifting nouns,liljegren,,,liljegren--a_2-variant-1,liljegren--a_2,,,suffix
Phal,,-ée,Plural suffix (with a-declension nouns),,,Variant restriction: Alternation with ái-a for ai-ending nouns,liljegren,,,liljegren--a_2-variant-2,liljegren--a_2,,,suffix
Phal,,-a,Oblique case suffix (with a-declension nouns),,-a,,liljegren,,,liljegren--a_3,,,,suffix
Phal,,-á,Oblique case suffix (with a-declension nouns),,,Variant restriction: With accent shifting nouns,liljegren,,,liljegren--a_3-variant-1,liljegren--a_3,,,suffix
Phal,,-ée,Oblique case suffix (with a-declension nouns),,,Variant restriction: Alternation with ái-a for ai-ending nouns,liljegren,,,liljegren--a_3-variant-2,liljegren--a_3,,,suffix
Phal,,-a,Masculine plural agreement suffix,,-a,Restriction: Added to the tense- or aspect-marked verb,liljegren,,,liljegren--a_4,,,,suffix
Phal,,-a,Masculine non-nominative and non-singular agreement suffix,,-a,Restriction: Added to inflecting adjective stems,liljegren,,,liljegren--a_5,,,,suffix
Phal,,-áa,Infinitive suffix added to the verb root,,"áa, áj, áaj",Restriction: Usually suffixed to a complement-clause verb with a modality verb following it,liljegren,,,liljegren-LX000004,,,,suffix
Phal,,-áai,Infinitive suffix added to the verb root,,,Restriction: Usually suffixed to a complement-clause verb with a modality verb following it,liljegren,,,liljegren-LX000004-variant-1,liljegren-LX000004,,,suffix
