K,,katsʰ,armpit,,katsʰ,Table 3 item 1,schmidt
kash,,kas,armpit,,kas,Table 3 item 1,schmidt
pog,,katsʰ,armpit,,katsʰ,Table 3 item 1,schmidt
sir,,kasa:'li:,armpit,,kasa:'li:,Table 3 item 1,schmidt
K,,də:ṛ,beard,,də:ṛ,Table 3 item 2,schmidt
kash,,tə̌:ṛi,beard,,tə̌:ṛi,Table 3 item 2,schmidt
pog,,də:ṛ,beard,,də:ṛ,Table 3 item 2,schmidt
sir,,da:'ṛi:,beard,,da:'ṛi:,Table 3 item 2,schmidt
K,,yaḍ,belly,,yaḍ,Table 3 item 3,schmidt
kash,,yaḍ,belly,,yaḍ,Table 3 item 3,schmidt
pog,,i:ḍ,belly,,i:ḍ,Table 3 item 3,schmidt
sir,,iḍ,belly,,iḍ,Table 3 item 3,schmidt
K,,ratʰ,blood,,ratʰ,Table 3 item 4,schmidt
kash,,ratʰ,blood,,ratʰ,Table 3 item 4,schmidt
pog,,ratʰ,blood,,ratʰ,Table 3 item 4,schmidt
sir,,ratʰ,blood,,ratʰ,Table 3 item 4,schmidt
K,,aḍidž,bone,,aḍidž,Table 3 item 5,schmidt
kash,,aḍu:r,bone,,aḍu:r,Table 3 item 5,schmidt
pog,,aḍʲe,bone,,aḍʲe,Table 3 item 5,schmidt
sir,,ha'ḍi:,bone,,ha'ḍi:,Table 3 item 5,schmidt
K,,di'ma:g,brain,,di'ma:g,Table 3 item 6,schmidt
kash,,de'ma:g,brain,,de'ma:g,Table 3 item 6,schmidt
pog,,de'ma:g,brain,,de'ma:g,Table 3 item 6,schmidt
sir,,me'džo,brain,,me'džo,Table 3 item 6,schmidt
K,,mami,breast,,mami,Table 3 item 7,schmidt
kash,,mə̌m,breast,,mə̌m,Table 3 item 7,schmidt
pog,,sina,breast,,sina,Table 3 item 7,schmidt
sir,,tsu'tsu,breast,,tsu'tsu,Table 3 item 7,schmidt
K,,kan,ear,,kan,Table 3 item 8,schmidt
kash,,kan,ear,,kan,Table 3 item 8,schmidt
pog,,kan,ear,,kan,Table 3 item 8,schmidt
sir,,kan,ear,,kan,Table 3 item 8,schmidt
K,,kʰoniwaṭʰ,elbow,,kʰoniwaṭʰ,Table 3 item 9,schmidt
kash,,kʰǒi va:ṭʰ,elbow,,kʰǒi va:ṭʰ,Table 3 item 9,schmidt
pog,,thonʲu wa:ṭʰ,elbow,,thonʲu wa:ṭʰ,Table 3 item 9,schmidt
sir,,kʰuṇḍri,elbow,,kʰuṇḍri,Table 3 item 9,schmidt
K,,əcʰ,eye,,əcʰ,Table 3 item 10,schmidt
kash,,əcʰʲ,eye,,əcʰʲ,Table 3 item 10,schmidt
pog,,aš,eye,,aš,Table 3 item 10,schmidt
sir,,acʰʲ,eye,,acʰʲ,Table 3 item 10,schmidt
K,,butʰ,face,,butʰ,Table 3 item 11,schmidt
kash,,šə̌ṇḍ,face,,šə̌ṇḍ,Table 3 item 11,schmidt
pog,,ḍik,face,,ḍik,Table 3 item 11,schmidt
sir,,mũ:,face,,mũ:,Table 3 item 11,schmidt
K,,ongidž,finger,,ongidž,Table 3 item 12,schmidt
kash,,angulʲ,finger,,angulʲ,Table 3 item 12,schmidt
pog,,anglʲe,finger,,anglʲe,Table 3 item 12,schmidt
sir,,ãŋg'li:,finger,,ãŋg'li:,Table 3 item 12,schmidt
K,,nam,fingernail,,nam,Table 3 item 13,schmidt
kash,,nam,fingernail,,nam,Table 3 item 13,schmidt
pog,,nam,fingernail,,nam,Table 3 item 13,schmidt
sir,,nam,fingernail,,nam,Table 3 item 13,schmidt
K,,ma:z,flesh,,ma:z,Table 3 item 14,schmidt
kash,,ma:z,flesh,,ma:z,Table 3 item 14,schmidt
pog,,ma:z,flesh,,ma:z,Table 3 item 14,schmidt
sir,,ma:s,flesh,,ma:s,Table 3 item 14,schmidt
K,,kʰər,foot,,kʰər,Table 3 item 15,schmidt
kash,,kʰər,foot,,kʰər,Table 3 item 15,schmidt
pog,,kʰur,foot,,kʰur,Table 3 item 15,schmidt
sir,,kʰor,foot,,kʰor,Table 3 item 15,schmidt
K,,mas,hair,,mas,Table 3 item 16,schmidt
kash,,va:l,hair,,va:l,Table 3 item 16,schmidt
kash,,tso:ṭ,hair,,tso:ṭ,Table 3 item 16,schmidt
pog,,masti,hair,,masti,Table 3 item 16,schmidt
sir,,zu'ṭo,hair,,zu'ṭo,Table 3 item 16,schmidt
K,,athi,hand,,athi,Table 3 item 17,schmidt
kash,,athi,hand,,athi,Table 3 item 17,schmidt
