M,>d4494,poṭ,belly,,,,"southworth2005m[p. 9, table 1, row 1, item 10]",,"Southworth classifies this item as Drav. (unspec.). No separate immediate-source form is printed. Proto-form: PD *poṭṭ- (DEDR 4494). Old Marathi attestation: the Marathi lexical item, approximately 1330.",southworth2005m:p9:t1:r01:marathi,,,,loanword
M,>d4004,phaḷ,fruit,,,,"southworth2005m[p. 9, table 1, row 2, item 59 and p. 10, table 2A, item 2]",,"Southworth classifies this item as Drav. (unspec.). No separate immediate-source form is printed. Proto-form: PD *paẓ-V- (DEDR 4004). Old Marathi attestation: the Marathi lexical item, approximately 1290. Southworth marks the proposed origin controversial. The dagger identifies the reconstruction as coming from Krishnamurti (2003:523-533). Table 2A item 2 gives OIA/source marker RV and distribution (source abbreviations as printed): Pa=+; Pk=+; Gy=+; D=+; Kf=+; Dr=+; K=+; S=+; PL=+; Ph=+; N=+; A=+; B=+; O=+; Bi=+; Av=+; H=+; R=blank; G=+; M=+; Ko=blank; Si=+.",southworth2005m:p9:t1:r02:marathi,,,,loanword uncertain
M,>d4529,buṭṭ@,short,,,,"southworth2005m[p. 9, table 1, row 3, item 134]",,Southworth classifies this item as Drav. (unspec.). No separate immediate-source form is printed. Proto-form: PD *puṭṭ- (DEDR 4529).,southworth2005m:p9:t1:r03:marathi,,,,loanword adj
M,>d2594,cin(u)k(l)@,tiny,,,,"southworth2005m[p. 9, table 1, row 4]",,Southworth classifies this item as Drav. (unspec.). No separate immediate-source form is printed. Proto-form: PD *ciṉṉ- (DEDR 2594).,southworth2005m:p9:t1:r04:marathi,,,,loanword adj
M,>d4677,meṭ,knee-joint,,,,"southworth2005m[p. 9, table 1, row 5]",,Southworth classifies this item as Drav. (unspec.). No separate immediate-source form is printed. Proto-form: PD *maṇṭ- (DEDR 4677).,southworth2005m:p9:t1:r05:marathi,,,,loanword
M,>d3311,toṇḍ,"mouth, face",,,,"southworth2005m[p. 9, table 1, row 6]",,"Southworth classifies this item as Drav. (unspec.). No separate immediate-source form is printed. Proto-form: PD *toṇṭ- (DEDR 3311). Old Marathi attestation: the Marathi lexical item, approximately 1278.",southworth2005m:p9:t1:r06:marathi,,,,loanword
M,>d1494,kāḷ@,black,,,,"southworth2005m[p. 9, table 1, row 7, item 14 and p. 10, table 2A, item 1]",,"Southworth classifies this item as Drav. (SD). Immediate source forms: Ka kāẓ-; Tu kāḷ-. Proto-form: PSD *kāẓ- (DEDR 1494). Old Marathi attestation: kāḷa-, approximately 1288. Table 2A item 1 gives OIA/source marker Mbh and distribution (source abbreviations as printed): Pa=+; Pk=+; Gy=+; D=+; Kf=+; Dr=+; K=+; S=+; PL=+; Ph=+; N=+; A=+; B=+; O=+; Bi=+; Av=+; H=+; R=+; G=+; M=+; Ko=+; Si=+.",southworth2005m:p9:t1:r07:marathi,,,,loanword adj
OM,>d1494,kāḷa-,black,,,,"southworth2005m[p. 9, table 1, row 7, item 14]",,"Old Marathi form printed in Southworth's OM Att. column for modern Marathi kāḷ@. Southworth classifies this item as Drav. (SD). Immediate source forms: Ka kāẓ-; Tu kāḷ-. Proto-form: PSD *kāẓ- (DEDR 1494). Old Marathi attestation: kāḷa-, approximately 1288.",southworth2005m:p9:t1:r07:old-marathi,,,,loanword adj
M,>d3020,dāṭ,thick,,,,"southworth2005m[p. 9, table 1, row 8, item 164 and p. 10, table 2A, item 11]",,"Southworth classifies this item as Drav. (SD). Immediate source forms: Ka daṭṭa. Proto-form: PD *taṭṭ- (DEDR 3020). Old Marathi attestation: the Marathi lexical item, approximately 1278. Table 2A item 11 gives OIA/source marker - and distribution (source abbreviations as printed): Pa=-; Pk=-; Gy=-; D=-; Kf=-; Dr=-; K=-; S=-; PL=-; Ph=-; N=-; A=-; B=-; O=-; Bi=-; Av=-; H=-; R=-; G=-; M=+; Ko=-; Si=-.",southworth2005m:p9:t1:r08:marathi,,,,loanword
M,>d1029,okṇe,vomit,,,,"southworth2005m[p. 9, table 1, row 9, item 177]",,"Southworth classifies this item as Drav. (SD). Immediate source forms: Ka Tu ōkk-; Tu ōṁk-. Proto-form: PSD *ōṅkk- (DEDR 1029). Old Marathi attestation: oka, approximately 1300.",southworth2005m:p9:t1:r09:marathi,,,,loanword verb
