B,,akaʃ,sky,,akaʃ,lexical-similarity group 1,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site 0 Bangla]",,,siltripura2011:i001:0:1,,,,dialect:B:tripura2011-0-bangla:Bangla%20%28%29
Kokborok,,nokha,sky,,nokha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site i Beltolipara]",,,siltripura2011:i001:i:1,,,,dialect:Kokborok:tripura2011-i-beltolipara:Beltolipara%20%28Khali%29
Kokborok,,nokha,sky,,nokha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site s Barbakpur]",,,siltripura2011:i001:s:1,,,,dialect:Kokborok:tripura2011-s-barbakpur:Barbakpur%20%28Mukchak%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site a Boro Pharangsia]",,,siltripura2011:i001:a:1,,,,dialect:Kokborok:tripura2011-a-boro-pharangsia:Boro%20Pharangsia%20%28Usoi%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site b Choto Madhuk]",,,siltripura2011:i001:b:1,,,,dialect:Kokborok:tripura2011-b-choto-madhuk:Choto%20Madhuk%20%28Usoi%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site c Dolchari]",,,siltripura2011:i001:c:1,,,,dialect:Kokborok:tripura2011-c-dolchari:Dolchari%20%28Gabing%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site d Lombapara]",,,siltripura2011:i001:d:1,,,,dialect:Kokborok:tripura2011-d-lombapara:Lombapara%20%28Naitong%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site e Pakkhipara]",,,siltripura2011:i001:e:1,,,,dialect:Kokborok:tripura2011-e-pakkhipara:Pakkhipara%20%28Kema%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site f Tongpaipara]",,,siltripura2011:i001:f:1,,,,dialect:Kokborok:tripura2011-f-tongpaipara:Tongpaipara%20%28Tongpai%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site g Mildhanpara]",,,siltripura2011:i001:g:1,,,,dialect:Kokborok:tripura2011-g-mildhanpara:Mildhanpara%20%28Aslong%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site h Noimail Gutchagram]",,,siltripura2011:i001:h:1,,,,dialect:Kokborok:tripura2011-h-noimail-gutchagram:Noimail%20Gutchagram%20%28Dendak%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site j Robertpara]",,,siltripura2011:i001:j:1,,,,dialect:Kokborok:tripura2011-j-robertpara:Robertpara%20%28Usoi%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site k Bethanipara]",,,siltripura2011:i001:k:1,,,,dialect:Kokborok:tripura2011-k-bethanipara:Bethanipara%20%28Usoi%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site l Katchaptali]",,,siltripura2011:i001:l:1,,,,dialect:Kokborok:tripura2011-l-katchaptali:Katchaptali%20%28Usoi%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site m Laiphu Karbaripara]",,,siltripura2011:i001:m:1,,,,dialect:Kokborok:tripura2011-m-laiphu-karbaripara:Laiphu%20Karbaripara%20%28Anok%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site n Krishna Dayalpara]",,,siltripura2011:i001:n:1,,,,dialect:Kokborok:tripura2011-n-krishna-dayalpara:Krishna%20Dayalpara%20%28Kewa%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site o Jarichandrapara]",,,siltripura2011:i001:o:1,,,,dialect:Kokborok:tripura2011-o-jarichandrapara:Jarichandrapara%20%28Phatung%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site p Doluchara]",,,siltripura2011:i001:p:1,,,,dialect:Kokborok:tripura2011-p-doluchara:Doluchara%20%28Debbarma%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site q Satchari Tripura Basti]",,,siltripura2011:i001:q:1,,,,dialect:Kokborok:tripura2011-q-satchari-tripura-basti:Satchari%20Tripura%20Basti%20%28Debbarma%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site r Khumulung]",,,siltripura2011:i001:r:1,,,,dialect:Kokborok:tripura2011-r-khumulung:Khumulung%20%28Debbarma%29
Kokborok,,nou̯kha,sky,,nou̯kha,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site t Oldlankar]",,,siltripura2011:i001:t:1,,,,dialect:Kokborok:tripura2011-t-oldlankar:Oldlankar%20%28Riang%29
Garo,,sɨlga,sky,,sɨlga,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site u Gajni]",,,siltripura2011:i001:u:1,,,,dialect:Garo:tripura2011-u-gajni:Gajni%20%28Abeng%29
Garo,,ʃoga,sky,,ʃoga,lexical-similarity group 4,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site v Nagar Sontosh]",,,siltripura2011:i001:v:1,,,,dialect:Garo:tripura2011-v-nagar-sontosh:Nagar%20Sontosh%20%28Chibok%29
Garo,,raŋɾa,sky,,raŋɾa,lexical-similarity group 5,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site w Nalchapra]",,,siltripura2011:i001:w:1,,,,dialect:Garo:tripura2011-w-nalchapra:Nalchapra%20%28A%E2%80%99tong%29
B,,ʃuɹdʒo,sun,,ʃuɹdʒo,lexical-similarity group 1,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site 0 Bangla]",,,siltripura2011:i002:0:1,,,,dialect:B:tripura2011-0-bangla:Bangla%20%28%29
Kokborok,,ʂa,sun,,ʂa,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site a Boro Pharangsia]",,,siltripura2011:i002:a:1,,,,dialect:Kokborok:tripura2011-a-boro-pharangsia:Boro%20Pharangsia%20%28Usoi%29
Kokborok,,ʂa,sun,,ʂa,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site b Choto Madhuk]",,,siltripura2011:i002:b:1,,,,dialect:Kokborok:tripura2011-b-choto-madhuk:Choto%20Madhuk%20%28Usoi%29
Kokborok,,ʂa,sun,,ʂa,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site f Tongpaipara]",,,siltripura2011:i002:f:1,,,,dialect:Kokborok:tripura2011-f-tongpaipara:Tongpaipara%20%28Tongpai%29
Kokborok,,ʂa,sun,,ʂa,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site g Mildhanpara]",,,siltripura2011:i002:g:1,,,,dialect:Kokborok:tripura2011-g-mildhanpara:Mildhanpara%20%28Aslong%29
Kokborok,,ʂa,sun,,ʂa,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site h Noimail Gutchagram]",,,siltripura2011:i002:h:1,,,,dialect:Kokborok:tripura2011-h-noimail-gutchagram:Noimail%20Gutchagram%20%28Dendak%29
Kokborok,,ʂa,sun,,ʂa,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site j Robertpara]",,,siltripura2011:i002:j:1,,,,dialect:Kokborok:tripura2011-j-robertpara:Robertpara%20%28Usoi%29
Kokborok,,ʂa,sun,,ʂa,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site k Bethanipara]",,,siltripura2011:i002:k:1,,,,dialect:Kokborok:tripura2011-k-bethanipara:Bethanipara%20%28Usoi%29
