Kalk,9661,dra,brother,,drɑ,cited for the dental assimilation of the bilabial-plus-/r/ cluster,"kalkoti[p. 131, table 1];kalkoti[p. 147, table 16];kalkoti[p. 136, n. 6]",,,kalkoti:t1:1,,,,noun sg m dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,9349,bään,sister,,bæːn,low level tone (melody 2),"kalkoti[p. 131, table 1];kalkoti[p. 142, table 12]",,,kalkoti:t1:2,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,9467,bärä,husband,,,,"kalkoti[p. 131, table 1]",,,kalkoti:t1:3,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,13734,treer,wife,,,Unclear where *-r* is from.,"kalkoti[p. 131, table 1]",,,kalkoti:t1:4,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6546,däär,husband's brother,,dæːr; dæː(ʔ)r,high-rising tone (melody 4),"kalkoti[p. 131, table 1];kalkoti[p. 138, table 11];kalkoti[p. 142, table 12]",,,kalkoti:t1:5,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,5198,ǰämäl,husband's sister,,,,"kalkoti[p. 131, table 1]",,,kalkoti:t1:6,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,12767,šäyir,wife's brother,,,Where did the second sibilant go?,"kalkoti[p. 131, table 1]",,,kalkoti:t1:7,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,13871,särän,wife's sister,,,,"kalkoti[p. 131, table 1]",,,kalkoti:t1:8,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,9209,bab,father,,,,"kalkoti[p. 131, table 1]",,,kalkoti:t1:9,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,1351,yee,mother,,,,"kalkoti[p. 132, table 1]",,,kalkoti:t1:10,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,12753,šoor,father-in-law,,,,"kalkoti[p. 132, table 1]",,,kalkoti:t1:11,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,12759,irpäṣ,mother-in-law,,,,"kalkoti[p. 132, table 1]",,,kalkoti:t1:12,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,8188,pitri,father's brother,,pitri,Liljegren analyses this word as carrying no underlying tone.,"kalkoti[p. 132, table 1];kalkoti[p. 137, table 8];kalkoti[p. 144, n. 15]",,,kalkoti:t1:13,,,,noun m dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,10009,mool,mother's brother,,,,"kalkoti[p. 132, table 1]",,,kalkoti:t1:14,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,9089,pheep,father's sister,,pʰeː(ʔ)p,low-rising tone (melody 3),"kalkoti[p. 132, table 1];kalkoti[p. 142, table 12]",,,kalkoti:t1:15,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,10001,meeš,mother's sister,,,,"kalkoti[p. 132, table 1]",,,kalkoti:t1:16,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,8265,puu,son,,puː,high-falling tone (melody 5),"kalkoti[p. 132, table 1];kalkoti[p. 142, table 12]",,,kalkoti:t1:17,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,8271,pee,daughter,,,,"kalkoti[p. 132, table 1]",,,kalkoti:t1:18,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,8416,pootr,son's son,,poːt(r); poː(ʔ)tr,high-rising tone (melody 4),"kalkoti[p. 132, table 1];kalkoti[p. 138, table 11];kalkoti[p. 142, table 12]",,,kalkoti:t1:19,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,8417,peetr,son's daughter,,peːt(r),,"kalkoti[p. 132, table 1];kalkoti[p. 137, table 8];kalkoti[p. 138, table 11]",,,kalkoti:t1:20,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6261,daad,father's father,,dɑː(ʔ)d,high-rising tone (melody 4),"kalkoti[p. 132, table 1];kalkoti[p. 142, table 12]",,,kalkoti:t1:21,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6261,deed,father's mother,,deː(ʔ)d,high-rising tone (melody 4),"kalkoti[p. 132, table 1];kalkoti[p. 142, table 12]",,,kalkoti:t1:22,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,10055,maam,mother's father,,,,"kalkoti[p. 132, table 1]",,,kalkoti:t1:23,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,10058,meem,mother's mother,,,,"kalkoti[p. 132, table 1]",,,kalkoti:t1:24,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,9416,in,is,,,,"kalkoti[p. 132, table 2]",,,kalkoti:t2:1:ipfv,,,,verb ipfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,1480,aas,was,,,"cf. Gawri *āś* ""was""","kalkoti[p. 132, table 2]",,,kalkoti:t2:1:pfv,,,,verb pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,buun,becomes,,,,"kalkoti[p. 132, table 2]",,,kalkoti:t2:2:ipfv,,,,verb ipfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,bil,became,,,,"kalkoti[p. 132, table 2]",,,kalkoti:t2:2:pfv,,,,verb pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,13756,thuun,does,,,,"kalkoti[p. 132, table 2]",,,kalkoti:t2:3:ipfv,,,,verb ipfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,thääl,did,,,,"kalkoti[p. 132, table 2]",,,kalkoti:t2:3:pfv,,,,verb pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,12225,buun,goes,,,,"kalkoti[p. 133, table 2]",,,kalkoti:t2:4:ipfv,,,,verb ipfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,4008,ɡoo,went,,,,"kalkoti[p. 133, table 2];kalkoti[p. 151, table 19];kalkoti[p. 152, table 20]",,,kalkoti:t2:4:pfv,,,,verb pfv m sg pret dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6141,duun,gives,,,,"kalkoti[p. 133, table 2]",,,kalkoti:t2:5:ipfv,,,,verb ipfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6140,dit,gave,,,,"kalkoti[p. 133, table 2];kalkoti[p. 151, table 19]",,,kalkoti:t2:5:pfv,,,,verb pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,10452,yuun,comes,,,,"kalkoti[p. 133, table 2]",,,kalkoti:t2:6:ipfv,,,,verb ipfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,yaal,came,,,,"kalkoti[p. 133, table 2];kalkoti[p. 151, table 19]",,,kalkoti:t2:6:pfv,,,,verb pfv m sg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,841,wuun,comes down,,,,"kalkoti[p. 133, table 2]",,,kalkoti:t2:7:ipfv,,,,verb ipfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,waat,came down,,,,"kalkoti[p. 133, table 2]",,,kalkoti:t2:7:pfv,,,,verb pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,3865,khuun,eats,,,,"kalkoti[p. 133, table 2]",,,kalkoti:t2:8:ipfv,,,,verb ipfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,khaal,ate,,,,"kalkoti[p. 133, table 2];kalkoti[p. 151, table 19]",,,kalkoti:t2:8:pfv,,,,verb pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,7479,nikhuun,comes out,,,,"kalkoti[p. 133, table 2]",,,kalkoti:t2:9:ipfv,,,,verb ipfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,7114,nikhät,came out,,,,"kalkoti[p. 133, table 2];kalkoti[p. 151, table 19]",,,kalkoti:t2:9:pfv,,,,verb pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,8012,päšuun,sees,,,,"kalkoti[p. 133, table 2]",,,kalkoti:t2:10:ipfv,,,,verb ipfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6518,driṣ,saw,,,,"kalkoti[p. 133, table 2];kalkoti[p. 151, table 19]",,,kalkoti:t2:10:pfv,,,,verb pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,8209,piluun,drinks,,,,"kalkoti[p. 133, table 2]",,,kalkoti:t2:11:ipfv,,,,verb ipfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,piil,drank,,,,"kalkoti[p. 133, table 2]",,,kalkoti:t2:11:pfv,,,,verb pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,2245,bišuun,sits down,,,,"kalkoti[p. 133, table 2]",,,kalkoti:t2:12:ipfv,,,,verb ipfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,14327,bäṭ,sat down,,,,"kalkoti[p. 133, table 2]",,,kalkoti:t2:12:pfv,,,,verb pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,9871,märuun,dies,,,,"kalkoti[p. 133, table 2]",,,kalkoti:t2:13:ipfv,,,,verb ipfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,10278,mur,died,,,,"kalkoti[p. 133, table 2]",,,kalkoti:t2:13:pfv,,,,verb pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,äɡa bil,it rained,,,,"kalkoti[p. 133, table 3]",,,kalkoti:t3:1,,,,verb multiword-expression dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,traam thääl,worked,,,,"kalkoti[p. 133, table 3]",,,kalkoti:t3:2,,,,verb multiword-expression dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,niin buun,is sleeping,,,,"kalkoti[p. 133, table 3]",,,kalkoti:t3:3,,,,verb multiword-expression dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,šiiš diin,is flying,,,,"kalkoti[p. 133, table 3]",,,kalkoti:t3:4,,,,verb multiword-expression dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,šidäl yuun,is feeling cold,,,,"kalkoti[p. 133, table 3]",,,kalkoti:t3:5,,,,verb multiword-expression dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,9691,ma,I,,,cited in example (12): ‘What should I do?’,"kalkoti[p. 133, table 4];kalkoti[p. 145, table 14];kalkoti[p. 149, example 12]",,,kalkoti:t4:1sg:nom,,,,pron personal 1sg nom obl acc dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,5889,tu,you (singular),,,,"kalkoti[p. 133, table 4];kalkoti[p. 145, table 14]",,,kalkoti:t4:2sg:nom,,,,pron personal 2sg nom obl acc dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,12815,soo,"he, she, it",,,cited in example (14): ‘She is crying.’; cited in example (15): ‘He is coming now.’,"kalkoti[p. 134, table 4];kalkoti[p. 149, example 14];kalkoti[p. 149, example 15]",,,kalkoti:t4:3sg:nom,,,,pron personal 3sg nom dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,täs,"he, she, it",,,,"kalkoti[p. 134, table 4]",,,kalkoti:t4:3sg:obl,,,,pron personal 3sg obl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,11302,bä,we,,,"cited in example (16): ‘To that we all laughed heartily.’; cited in example (18): ‘Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.’","kalkoti[p. 134, table 4];kalkoti[p. 145, table 14];kalkoti[p. 150, example 16];kalkoti[p. 153, example 18]",,,kalkoti:t4:1pl:nom,,,,pron personal 1pl nom dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,asaa~,we,,,,"kalkoti[p. 134, table 4];kalkoti[p. 145, table 14]",,,kalkoti:t4:1pl:obl,,,,pron personal 1pl obl acc dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,10511,tis,you (plural),,,,"kalkoti[p. 134, table 4];kalkoti[p. 145, table 14]",,,kalkoti:t4:2pl:nom,,,,pron personal 2pl nom obl erg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,tusaa~,you (plural),,,,"kalkoti[p. 134, table 4];kalkoti[p. 145, table 14]",,,kalkoti:t4:2pl:obl,,,,pron personal 2pl obl acc dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,tin,they,,,,"kalkoti[p. 134, table 4]",,,kalkoti:t4:3pl:nom,,,,pron personal 3pl nom dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,tänaa,they,,,,"kalkoti[p. 134, table 4]",,,kalkoti:t4:3pl:obl,,,,pron personal 3pl obl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,2462,äk,one,,,,"kalkoti[p. 134, table 5]",,,kalkoti:t5:1,,,,num dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6648,duu,two,,,,"kalkoti[p. 134, table 5]",,,kalkoti:t5:2,,,,num dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,5994,traa,three,,trɑː,,"kalkoti[p. 134, table 5];kalkoti[p. 137, table 8]",,,kalkoti:t5:3,,,,num dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,4655,čoor,four,,,,"kalkoti[p. 134, table 5]",,,kalkoti:t5:4,,,,num dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,7655,paanǰ,five,,,,"kalkoti[p. 134, table 5]",,,kalkoti:t5:5,,,,num dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,12803,ṣoo,six,,,,"kalkoti[p. 134, table 5]",,,kalkoti:t5:6,,,,num dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,13139,saat,seven,,,,"kalkoti[p. 134, table 5]",,,kalkoti:t5:7,,,,num dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,941,eeṣ,eight,,eːʂ,cited as evidence that the final segment of a fricative-plosive coda is dropped,"kalkoti[p. 134, table 5];kalkoti[p. 137]",,,kalkoti:t5:8,,,,num dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
