Kalk,,pitri,uncle,,pɪtɾɪ,cited for the unaspirated labial stop contrast,"hultman2023kalkoti[p. 9, table 3]",,,hultman2023kalkoti:t3:unaspirated:labial,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,tä,he,,tɛ,cited for the unaspirated dental stop contrast,"hultman2023kalkoti[p. 9, table 3]",,,hultman2023kalkoti:t3:unaspirated:dental,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,číkaar,bird,,tɕɪ́kɑːɾ,cited for the unaspirated palatal stop contrast,"hultman2023kalkoti[p. 9, table 3]",,,hultman2023kalkoti:t3:unaspirated:palatal,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,kaar,work,,kɑːɾ,cited for the unaspirated velar stop contrast; cited in example (38c): ‘He wants to work.’; printed as kaar=ä,"hultman2023kalkoti[p. 9, table 3];hultman2023kalkoti[p. 44, example 38c, MJ06a-189]",,,hultman2023kalkoti:t3:unaspirated:velar,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,phit,fly,,pʰɪt,cited for the aspirated labial stop contrast,"hultman2023kalkoti[p. 9, table 3]",,,hultman2023kalkoti:t3:aspirated:labial,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,thä,to,,tʰɛ,cited for the aspirated dental stop contrast,"hultman2023kalkoti[p. 9, table 3]",,,hultman2023kalkoti:t3:aspirated:dental,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,čhinil,chopped,,tɕʰɪnɪl,cited for the aspirated palatal stop contrast,"hultman2023kalkoti[p. 9, table 3]",,,hultman2023kalkoti:t3:aspirated:palatal,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,khaál,ate,,kʰɑ̌ːl,cited for the aspirated velar stop contrast,"hultman2023kalkoti[p. 9, table 3]",,,hultman2023kalkoti:t3:aspirated:velar,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,bìl,became,,bɪ̀l,cited for the voiced labial stop contrast; not glottalized before the polar question clitic,"hultman2023kalkoti[p. 9, table 3];hultman2023kalkoti[p. 17, example 4b]",,,hultman2023kalkoti:t3:voiced:labial,,,,verb pfv dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,dä,from,,dɛ,cited for the voiced dental stop contrast,"hultman2023kalkoti[p. 9, table 3]",,,hultman2023kalkoti:t3:voiced:dental,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,ǰib,tongue,,dʑɪb,cited for the voiced palatal stop contrast,"hultman2023kalkoti[p. 9, table 3]",,,hultman2023kalkoti:t3:voiced:palatal,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,gaaṇ,why,,gɑːɳ,cited for the voiced velar stop contrast,"hultman2023kalkoti[p. 9, table 3]",,,hultman2023kalkoti:t3:voiced:velar,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,qisä,story,,,cited as evidence for the loan-exclusive phoneme /q/,"hultman2023kalkoti[p. 11, table 4]",,"Hultman compares Pashto ﻪﺼﻗ (qisa), and treats the Kalkoti word as a loan from Pashto.",hultman2023kalkoti:t4:1,,,,loanword dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,muqa,occasion,,,cited as evidence for the loan-exclusive phoneme,"hultman2023kalkoti[p. 11, table 4]",,"Hultman compares Pashto ﻊﻗﻮﻣ (mauqa), and treats the Kalkoti word as a loan from Pashto.",hultman2023kalkoti:t4:2,,,,loanword dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,sabaq,lesson,,,cited as evidence for the loan-exclusive phoneme,"hultman2023kalkoti[p. 11, table 4]",,"Hultman compares Pashto ﻖﺒﺳ (sabaq), and treats the Kalkoti word as a loan from Pashto.",hultman2023kalkoti:t4:3,,,,loanword dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,tsaaq,thief,,,cited as evidence for the loan-exclusive phoneme /ts/,"hultman2023kalkoti[p. 11, table 4]",,"Hultman compares Gawri tsak, and treats the Kalkoti word as a loan from Gawri.",hultman2023kalkoti:t4:4,,,,loanword dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
