Dhp,2822,akakaśa,not harsh.,𐨀𐨐𐨐𐨭,ʔəkəkːəʝə,,"gandhari[entry 2, lemma akakaśa]",,"(a- + Skt. karkaśa, P kakkasa)",gandhari:2,,,,adj
Dhp,1040,akhada,declared.,𐨀𐨑𐨡,ʔəkʰːaːðə,,"gandhari[entry 20, lemma akhada]",,"(Skt. ākhyāta, P akkhāta)",gandhari:20,,,,adj
Dhp,1044,agachadi,comes.,𐨀𐨒𐨖𐨡𐨁,ʔaːjət͡ɕʰːəði,,"gandhari[entry 21, lemma agachadi]",,"(Skt. āgacchati, P āgacchati)",gandhari:21,,,,verb
Dhp,1045,agada,came.,𐨀𐨒𐨡,ʔaːjəðə,,"gandhari[entry 22, lemma agada]",,"(Skt. āgata, P āgata)",gandhari:22,,,,adj
Dhp,1046,agamana,coming.,𐨀𐨒𐨨𐨣,ʔaːjəmənə,,"gandhari[entry 24, lemma agamana]",,"(Skt. āgamana, P āgamana)",gandhari:24,,,,noun f
Dhp,68,agra,"top, highest, future.",𐨀𐨒𐨿𐨪,ʔəgɾə,,"gandhari[entry 27, lemma agra]",,"(Skt. agra, P agga)",gandhari:27,,,,adj
Dhp,142,acha,clear.,𐨀𐨖,ʔət͡ɕʰːə,,"gandhari[entry 35, lemma acha]",,"(Skt. accha, P accha)",gandhari:35,,,,adj
Dhp,12070,achidravuti,of flawless conduct.,𐨀𐨖𐨁𐨡𐨿𐨪𐨬𐨂𐨟𐨁,ʔət͡ɕʰːidɾəʋutːi,,"gandhari[entry 37, lemma achidravuti]",,"(a- + chidra + Skt. vr̥tti, P vutti)",gandhari:37,,,,adj
Dhp,1091,ayanadi,understands.,𐨀𐨩𐨣𐨡𐨁,ʔaːjaːnaːði,,"gandhari[entry 41, lemma ayanadi]",,"(Skt. ājānāti, P ājānāti)",gandhari:41,,,,verb
Dhp,399,aṃña,"other, another.",𐨀𐨎𐨙,ʔəɲːə,,"gandhari[entry 47, homograph 1, lemma aṃña]",,"(Skt. anya, P añña)",gandhari:47,,,,adj
