markodi_ennappara,d4841,mɨt̪ei,Above,,mɨt̪ei,,canvin2025
markodi_pannithadam,d4841,mit̪ːɨ,Above,,mit̪ːɨ,,canvin2025
markodi_vannarkadav,d5086,melɨ,Above,,melɨ,,canvin2025
markodi_ennappara,,Muɻɔn,All,,Muɻɔn,,canvin2025
markodi_pannithadam,,pɑtːa,All,,pɑtːa,,canvin2025
markodi_vannarkadav,,pɑtːe,All,,pɑtːe,,canvin2025
markodi_ennappara,,uɾumbuɨ,Ant,,uɾumbuɨ,,canvin2025
markodi_pannithadam,,urumbu,Ant,,urumbu,,canvin2025
markodi_vannarkadav,,urumbᶤ,Ant,,urumbᶤ,,canvin2025
markodi_ennappara,d2023,kaj,Arm,,kaj,,canvin2025
markodi_pannithadam,d2023,kajː,Arm,,kajː,,canvin2025
markodi_vannarkadav,d2023,kɑi,Arm,,kɑi,,canvin2025
markodi_ennappara,,vennerɜ,Ash,,vennerɜ,,canvin2025
markodi_pannithadam,,vennerⁱ,Ash,,vennerⁱ,,canvin2025
markodi_vannarkadav,,beɳːirᵊ,Ash,,beɳːirᵊ,,canvin2025
markodi_ennappara,d4749,maɬu,Axe,,maɬu,,canvin2025
markodi_pannithadam,,kodɑli,Axe,,kodɑli,,canvin2025
markodi_vannarkadav,d4749,maoʋ,Axe,,maoʋ,,canvin2025
markodi_ennappara,,adedet̪ːu,Bad,,adedet̪ːu,,canvin2025
markodi_pannithadam,,eɖɖed̪et̪u,Bad,,eɖɖed̪et̪u,,canvin2025
markodi_vannarkadav,,poʈʈaɭi,Bad,,poʈʈaɭi,,canvin2025
markodi_ennappara,d4004,paren̪dkaɨ,Banana,,paren̪dkaɨ,,canvin2025
markodi_pannithadam,d4004,parən̪ɖkai,Banana,,parən̪ɖkai,,canvin2025
markodi_vannarkadav,d4004,paren̪d̪akɑi,Banana,,paren̪d̪akɑi,,canvin2025
markodi_ennappara,d5259,vɑjarᵘ,Belly,,vɑjarᵘ,,canvin2025
markodi_pannithadam,d5259,vɑntʃi,Belly,,vɑntʃi,,canvin2025
markodi_vannarkadav,d5259,vəɲtʃi,Belly,,vəɲtʃi,,canvin2025
markodi_ennappara,,tʃːide,Below,,tʃːide,,canvin2025
markodi_pannithadam,,tʃidət̪,Below,,tʃidət̪,,canvin2025
markodi_vannarkadav,d1619,kiː,Below,,kiː,,canvin2025
markodi_ennappara,d4729,malːa,Big,,malːa,,canvin2025
markodi_pannithadam,d4729,mallɑt̪u,Big,,mallɑt̪u,,canvin2025
markodi_vannarkadav,d4411,perijə,Big,,perijə,,canvin2025
markodi_ennappara,d1278,kaːrɨ,Black,,kaːrɨ,,canvin2025
