m1,*daˀk,,water,Pinnow: V2.<br>MKCD: *\*diʔaak > \*ɗaak* 'water' (274). Attested in Mon; Khmer; Katuic; Khasi; Viet-Muong; South Aslian.
m2,*ɟaŋ,,bone,Pinnow: V7.<br>MKCD: *\*cʔaaŋ; \*cʔaiŋ; \*cʔi[ ]ŋ* 'bone' (488). Attested in Khmer; Katuic; Palaungic; Viet-Muong; Central & South Aslian.
m3,*laŋ,,tongue,Pinnow: V14.<br>MKCD: —.
m4,*kᵊla,,tiger,Pinnow: V281.<br>MKCD: *\*klaʔ* 'tiger' (197). Attested in Mon; Khmer; Bahnaric; Khasi; Central Aslian.
m5,*taɲ,,weave (v),Pinnow: V301.<br>MKCD: *\*t₁aaɲ* 'to weave; to plait; to twill' (898). Attested in Mon; Khmer; Katuic; Bahnaric; Khmuic; Palaungic; Khasi; Viet-Muong; Nicobarese; Central Asian.
m6,*daˀc,,climb (v),Pinnow: V333.<br>MKCD: *\*[ɗ]ək* 'to stand up; to go up' (332). Attested in Bahnaric.
m7,*dəraŋ,,horn,"Pinnow: V347.<br>MKCD: *\*d₂raŋ* 'horn' (699). Attested in Mon, Palaungic, Viet-Muong."
m8,*tiiˀ,,hand,Pinnow: V75.<br>MKCD: *\*t₁iiʔ* 'hand; arm' (66). Attested in Mon; Khmer; Katuic; Bahnaric; Khmuic; Palaungic; Khasi; Nicobaric; SOuth Aslian.
m9,*siiˀ,,louse,Pinnow: V341.<br>MKCD: *\*ciiʔ (& \*ciʔ?)* 'louse' (39). Attested in Mon; Khmer; Bahnaric; Palaungic; Khasi; Vietnames-Muong; Aslian; Nicobarese; Katuic.
m10,*ɟv₇ŋ,,foot,Pinnow: V365.<br>MKCD: *\*juŋ; \*juəŋ; \*jəŋ; \*jəəŋ* 'foot; leg' (538). Attested in Mon; Palaungic; Central & South Aslian / Khmuic; Palaungic / Bahnaric; ?Mon / Khmer; Katuic; North Bahnaric; ?South Bahnaric.
m11,*bok₂oˀp,,head,Pinnow: V206.<br>MKCD: *\*[b]uuk* 'head' (361). Attested in South Bahnaric; Aslian.
m12,*məˀt,,eye,Pinnow: V250.<br>MKCD: *\*mat* 'eye' (1045). Attested in Mon; Katuic; Bahnaric; Khmuic; Khasi; Viet-Muong; Aslian; Nicobaric.
