Entry_Key,Page_ID,Revision,Title,PIIr_Form,POS,Gloss,PIE_Parent,Uncertain,Sanskrit,Match_Key,Candidates,Matched_CDIAL_Head,Decision,Rank,Reason,Existing_Parent,Citations
enwikt:1052652,1052652,92152134,Reconstruction:Proto-Indo-Iranian/mitrás,mitrás,noun,covenant; treaty; agreement; promise,,,mitrá,mitra,10124,10124,alternate,2,glosses disjoint but the article cites CDIAL; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_ovlxu5kiulcug,R:ira:Bartholomae; R:CDIAL[mitrá]
enwikt:3862607,3862607,92152269,Reconstruction:Proto-Indo-Iranian/Áryas,Áryas,noun,"autonymic (self-identifying) ethnonym of the respective Indo-Iranian peoples, i.e. the Indo-Aryans and the Iranians.",,yes,Ā́rya,�rya,,,unlinked,,no CDIAL head with this spelling,,R:ine:Szemerényi:1977; R:ISotIE; R:ine:EIEC[213]; R:ine:Mallory:2006[266]
enwikt:3867116,3867116,92152256,Reconstruction:Proto-Indo-Iranian/wíćš,wíćš,noun,village; household,,,víś,viś,,,unlinked,,no CDIAL head with this spelling,,R:ine:Mallory:2006[221]; R:ine:HCHIEL[1894]
enwikt:4647170,4647170,91973617,Reconstruction:Proto-Indo-Iranian/ćatám,ćatám,numeral,hundred,*ḱm̥tóm,,śatá,śata,12278 14813,12278,linked,1,unique after collapsing addendum onto its main entry,,R:inc:IAIL[śatá-][450]
enwikt:5025758,5025758,92152113,Reconstruction:Proto-Indo-Iranian/kapʰas,kapʰas,noun,"mucus, phlegm",,,kapha,kapʰa,2756,2756,linked,1,unique spelling match,,R:iir-pro:Substrate
enwikt:5025846,5025846,91063648,Reconstruction:Proto-Indo-Iranian/pāpás,pāpás,adjective,bad,,,pāpá,pāpa,8092,8092,alternate,2,review:semantics — glosses do not overlap,,
enwikt:5025903,5025903,88661804,Reconstruction:Proto-Indo-Iranian/mánas,mánas,noun,"mind, intellect, thought",*ménos,,mánas,manas,9822,9822,linked,1,unique spelling match,,
enwikt:5026025,5026025,85411252,Reconstruction:Proto-Indo-Iranian/Hámsas,Hámsas,noun,shoulder,*h₃émsos,,áṃsa,aṁsa,6,6,linked,1,unique spelling match,,
enwikt:5026930,5026930,84917393,Reconstruction:Proto-Indo-Iranian/Hnā́ma,Hnā́ma,noun,name,*h₁nómn̥,,nā́man,nāman,7067,7067,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_k27dlwuzfba5m,
enwikt:5027246,5027246,88555695,Reconstruction:Proto-Indo-Iranian/káHmas,káHmas,noun,"wish, desire",*kóh₂mos,,kā́ma,kāma,3042,3042,linked,1,unique spelling match,,R:ine:LIV[343]
enwikt:5063599,5063599,88613789,Reconstruction:Proto-Indo-Iranian/Hstā́,Hstā́,noun,star,*h₂stḗr,,stṛ́; tā́rā,str̥; tārā,13713 5798,,unlinked,,ambiguous: several CDIAL heads share this spelling,,
enwikt:5070670,5070670,91554887,Reconstruction:Proto-Indo-Iranian/bʰr̥ȷ́ʰáns,bʰr̥ȷ́ʰáns,adjective,"high, tall",*bʰérǵʰonts,,bṛhat,br̥ʰat,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5356787,5356787,92152015,Reconstruction:Proto-Indo-Iranian/dáća,dáća,numeral,ten,*déḱm̥,,dáśa,daśa,6227,6227,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_4vxr7tcn6wn5m,
enwikt:5424730,5424730,89099999,Reconstruction:Proto-Indo-Iranian/gʰawš-,gʰawš-,root,to hear,,yes,ghuṣ,gʰuṣ,,,unlinked,,no CDIAL head with this spelling,,R:ine:LIV[?*g⁽ʷ⁾ʰeṷs-][200]; R:ira:Cheung[*gauš][115-116]; R:ine:IELC[II]
enwikt:5424774,5424774,91680820,Reconstruction:Proto-Indo-Iranian/gā́wš,gā́wš,noun,cow,*gʷṓws,,gó,go,4255,4255,linked,1,unique spelling match,,R:ine:IELC[II]; R:ira:ESIJa[205ff]
enwikt:5424832,5424832,92356192,Reconstruction:Proto-Indo-Iranian/mátsyas,mátsyas,noun,fish,*meh₂d-,yes,mátsya,matsya,9758,9758,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_2iul3jidefhxs,R:sa:EWAia[297-8]; R:iir-pro:Lubotsky:1999[3]; R:ine:HCHIEL[1949]; R:ae:Brill[32]; R:iir:Lipp:2009[150]
enwikt:5544161,5544161,92152111,Reconstruction:Proto-Indo-Iranian/Hā́ps,Hā́ps,noun,water,,,dvīpá; anūpá; apāṃ napāt; áp,dvīpa; anūpa; apāṁ napāt; ap,14225 343 407 6691,,unlinked,,ambiguous: several CDIAL heads share this spelling,,R:ira:Skjaervo:2017b[864]; R:inc:IAIL[áp-]
enwikt:5544173,5544173,92152007,Reconstruction:Proto-Indo-Iranian/daywás,daywás,noun,god,*deywós,,devá,deva,14619 5539-7 6523,6523,linked,1,disambiguated by gloss overlap,,R:inc:Goto:2013[22]
enwikt:5554849,5554849,92152207,Reconstruction:Proto-Indo-Iranian/súHar,súHar,noun,the sun,,,svar; sūrya,svar; sūrya,13574-2,13574-2,alternate,2,unique spelling match; review:conflict — the head already has an accepted etymology,13574,R:iir:Lubotsky:1997[149]; R:ae:Brill[52]; R:pal:Mackenzie[xwar<sup>1</sup>]
enwikt:5554873,5554873,92152038,Reconstruction:Proto-Indo-Iranian/Ha-,Ha-,pronoun,this,*ís,,átra; a,atra; a,1 228,,unlinked,,ambiguous: several CDIAL heads share this spelling,,R:inc:IAIL[a- (2)][4-5]; R:inc:IAIL[átra][71]; R:ine:LIPP[188]
enwikt:5555454,5555454,91411869,Reconstruction:Proto-Indo-Iranian/wayd-,wayd-,root,to know; to find,*weyd-,,vid,vid,,,unlinked,,no CDIAL head with this spelling,,"R:ae:Brill[113]; R:ira:Cheung[u̯aid¹, u̯aid²][408–410]"
enwikt:5555845,5555845,82552124,Reconstruction:Proto-Indo-Iranian/-H,-H,suffix,,,,,,,,unlinked,,no CDIAL head with this spelling,,R:ae:Brill
enwikt:5555882,5555882,91557220,Reconstruction:Proto-Indo-Iranian/HáHugdʰay,HáHugdʰay,verb,"to say (solemnly), praise",,,óhate,ohate,,,unlinked,,no CDIAL head with this spelling,,R:inc:IAIL[oh][352]; R:ira:Cheung[*Hauǰ][169-170]; R:ae:Brill[28]
enwikt:5557902,5557902,90197125,Reconstruction:Proto-Indo-Iranian/Háywas,Háywas,numeral,one,*óywos,,,,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5558406,5558406,91591816,Reconstruction:Proto-Indo-Iranian/dwáH,dwáH,numeral,two,*dwóh₁,,dvá,dva,6648,6648,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_gpc37mnfearsq,
enwikt:5558423,5558423,87170413,Reconstruction:Proto-Indo-Iranian/a-,a-,prefix,"un-, a-",*n̥-,,a-,a,1,1,linked,1,unique spelling match,,
enwikt:5558689,5558689,87167851,Reconstruction:Proto-Indo-Iranian/-ča,-ča,suffix,and,*-kʷe,,,,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5558719,5558719,88660560,Reconstruction:Proto-Indo-Iranian/pHtā́,pHtā́,noun,father,*ph₂tḗr,,pitṛ́,pitr̥,8179,8179,linked,1,unique spelling match,,R:CDIAL[pitŕ̊]
enwikt:5558723,5558723,92120907,Reconstruction:Proto-Indo-Iranian/ȷ́ā́nu,ȷ́ā́nu,noun,knee,*ǵónu,,jñú; jā́nu,jñu; jānu,5195,5195,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_upmjvbdagsfmq,R:inc:IAIL[jā́nu-]; R:iir:Kummel:2015
enwikt:5558736,5558736,88087214,Reconstruction:Proto-Indo-Iranian/HastčiHwánts,HastčiHwánts,noun,"the shin, lower part of the leg",*(s)kiHu-,,aṣṭhīvát,aṣṭʰīvat,959,959,alternate,2,review:semantics — glosses do not overlap,,R:xcl:Martirosyan:2005
enwikt:5558754,5558754,85694759,Reconstruction:Proto-Indo-Iranian/túH,túH,pronoun,"you, thou",*túh₂,,tú,tu,,,unlinked,,no CDIAL head with this spelling,,R:ine:HCHIEL[1904]; R:ine:LIPP[806]
enwikt:5558830,5558830,92152259,Reconstruction:Proto-Indo-Iranian/wŕ̥kas,wŕ̥kas,noun,wolf,*wĺ̥kʷos,,vṛ́ka,vr̥ka,12062 14808,12062,linked,1,unique after collapsing addendum onto its main entry,,R:CDIAL[vŕ̊ka]
enwikt:5558832,5558832,91730312,Reconstruction:Proto-Indo-Iranian/Háykas,Háykas,numeral,one,*h₁óynos,,,,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5558843,5558843,89053281,Reconstruction:Proto-Indo-Iranian/wayám,wayám,pronoun,,*wéy,,,,,,unlinked,,no CDIAL head with this spelling,,R:HCHIEL[1904]; R:ine:LIPP[849]; R:inc:IAIL[vayám][572-3]
enwikt:5559432,5559432,92152106,Reconstruction:Proto-Indo-Iranian/Háćwas,Háćwas,noun,horse,*h₁éḱwos,,áśva,aśva,14254 920,920,linked,1,unique after collapsing addendum onto its main entry,,R:inc:EWAia[*áśva-][139-140]; R:inc:IAIL[áśva-]; R:ira:ESIJa[*āśu̯a-][243-246]; R:cau:NCED[*ɦɨ<nowiki>(n)</nowiki>čwĭ (~ -ĕ)]
enwikt:5559452,5559452,92152245,Reconstruction:Proto-Indo-Iranian/wišás,wišás,noun,"poison, venom",*wisós,,viṣa,viṣa,11968,11968,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_s44zccv7xlvte,R:Joki 1973
enwikt:5559460,5559460,90086264,Reconstruction:Proto-Indo-Iranian/aȷ́ʰám,aȷ́ʰám,pronoun,"I, we",*éǵh₂,,ahám,aham,992,992,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_fdw7wvnxsiyyk,R:ine:LIPP[201]; R:ine:HCHIEL[1904]; R:inc:IAIL[ahám][16-17]
enwikt:5559465,5559465,92152321,Reconstruction:Proto-Indo-Iranian/ȷ́ʰŕ̥dayam,ȷ́ʰŕ̥dayam,noun,heart,*ḱḗr,,hṛ́daya,hr̥daya,14152,14152,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_i4675s6aweypo,R:inc:IAIL[hŕ̥d][230]; R:ps:Cheung:2010[116]
enwikt:5559655,5559655,89340624,Reconstruction:Proto-Indo-Iranian/Had-,Had-,root,to eat,*h₁ed-,,ad,ad,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5559672,5559672,90996864,Reconstruction:Proto-Indo-Iranian/Has-,Has-,root,to be,*h₁es-,,as,as,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5560092,5560092,92152319,Reconstruction:Proto-Indo-Iranian/ȷ́ʰástas,ȷ́ʰástas,noun,hand,,,hásta,hasta,14024 14844,14024,alternate,2,unique after collapsing addendum onto its main entry; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_cimshvih6atvg,R:ine:Palmer:2024[41]; R:iir-nur:NEL
enwikt:5560344,5560344,90996698,Reconstruction:Proto-Indo-Iranian/Hásmi,Hásmi,verb,,*h₁ésmi,,ásmi,asmi,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5560368,5560368,89709784,Reconstruction:Proto-Indo-Iranian/Hásti,Hásti,verb,to be,*h₁ésti,,,,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5560387,5560387,60937561,Reconstruction:Proto-Indo-Iranian/Hátˢti,Hátˢti,verb,to eat,*h₁édti,,átti,atti,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5560487,5560487,49985198,Reconstruction:Proto-Indo-Iranian/wan-,wan-,root,"to triumph, win, overcome; to conquer",*wenh₁-,,vanóti; van,vanoti; van,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5561934,5561934,88600019,Reconstruction:Proto-Indo-Iranian/Háyti,Háyti,verb,to go,*h₁éyti,,éti,eti,2515,2515,linked,1,unique spelling match,,R:CDIAL[ḗti]
enwikt:5562491,5562491,89233142,Reconstruction:Proto-Indo-Iranian/sárwas,sárwas,adjective,"all; entire, whole",,,,,,,unlinked,,no CDIAL head with this spelling,,R:ae:Brill; R:CDIAL[sárva]
enwikt:5562500,5562500,88096212,Reconstruction:Proto-Indo-Iranian/wíćwas,wíćwas,adjective,"all, every",*weys-,,víśva,viśva,11962,11962,linked,1,unique spelling match,,
enwikt:5562674,5562674,87170433,Reconstruction:Proto-Indo-Iranian/wiHrás,wiHrás,noun,man,*wiHrós,,vīrá,vīra,12056,12056,linked,1,unique spelling match,,
enwikt:5563289,5563289,88459940,Reconstruction:Proto-Indo-Iranian/yugám,yugám,noun,yoke,*yugóm,,yugá,yuga,10482,10482,linked,1,unique spelling match,,
enwikt:5564449,5564449,92152020,Reconstruction:Proto-Indo-Iranian/dʰar-,dʰar-,root,"to hold, carry; to bear, support",*dʰer-,,dhṛ,dʰr̥,,,unlinked,,no CDIAL head with this spelling,,R:ira:Cheung; R:xbc:Sims-Williams[226-7]
enwikt:5564575,5564575,89323452,Reconstruction:Proto-Indo-Iranian/Hsu-,Hsu-,prefix,good,*h₁su-,,su-,su,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5565327,5565327,91779451,Reconstruction:Proto-Indo-Iranian/swápnas,swápnas,noun,"sleep, sleeping; dreaming",*swépnos,,svápna,svapna,13904,13904,linked,1,unique spelling match,,
enwikt:5565330,5565330,88087256,Reconstruction:Proto-Indo-Iranian/swap-,swap-,root,"sleep, to sleep; dreaming",*swep-,,svap,svap,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5565338,5565338,92152158,Reconstruction:Proto-Indo-Iranian/námati,námati,verb,"to bend, bow",,,,,,,unlinked,,no CDIAL head with this spelling,,R:ira:Cheung[*nam-][280]
enwikt:5569919,5569919,90127110,Reconstruction:Proto-Indo-Iranian/náHuš,náHuš,noun,boat,*néh₂us,,nāvyā; náu,nāvyā; nau,7083,7083,alternate,2,review:semantics — glosses do not overlap; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_zqcsshtyp3ri4,R:txb:Adams 2013[newiya][364]
enwikt:5570002,5570002,90127142,Reconstruction:Proto-Indo-Iranian/naHwíyas,naHwíyas,adjective,"boatable, navigable",*neh₂w(i)yos,,nāvya,nāvya,,,unlinked,,no CDIAL head with this spelling,,R:ine:NIL[515]; R:inc:IAIL[nāvyà-][341-2]
enwikt:5570029,5570029,92152201,Reconstruction:Proto-Indo-Iranian/sáwHmas,sáwHmas,noun,"soma, haoma",,,somyá; sóma,somya; soma,13608,13608,linked,1,unique spelling match,,R:inc:IAIL[sóma-][464]
enwikt:5570169,5570169,88087262,Reconstruction:Proto-Indo-Iranian/waȷ́ʰ-,waȷ́ʰ-,root,"to bear, carry; to drive",*weǵʰ-,,váhati; vā́hana; vah,vahati; vāhana; vah,11453 11610,,unlinked,,ambiguous: several CDIAL heads share this spelling,,
enwikt:5570524,5570524,91460558,Reconstruction:Proto-Indo-Iranian/máHtā,máHtā,noun,mother,*méh₂tēr,,mātṛ,mātr̥,10016,10016,linked,1,unique spelling match,,
enwikt:5570540,5570540,92152059,Reconstruction:Proto-Indo-Iranian/HrátʰHas,HrátʰHas,noun,chariot,*Hroth₂ós,,rátha,ratʰa,10602,10602,linked,1,unique spelling match,,R:iir:Lipp:2009[58]
enwikt:5570542,5570542,90793375,Reconstruction:Proto-Indo-Iranian/bʰráHtā,bʰráHtā,noun,brother,*bʰréh₂tēr,,bhrā́tṛ,bʰrātr̥,9661,9661,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_efry5lmqz2zgk,
enwikt:5570799,5570799,90518066,Reconstruction:Proto-Indo-Iranian/dʰuHmás,dʰuHmás,noun,"mist, fog; smoke",,,dhūmá,dʰūma,14653 6849,6849,alternate,2,unique after collapsing addendum onto its main entry; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_pduc2i75zwqje,
enwikt:5570805,5570805,87170455,Reconstruction:Proto-Indo-Iranian/náwas,náwas,adjective,new,*néwos,,návatā; náva,navatā; nava,6983 6984 6994a,6983,linked,1,disambiguated by gloss overlap,,
enwikt:5570817,5570817,91088980,Reconstruction:Proto-Indo-Iranian/swáćuras,swáćuras,noun,father-in-law,,,śváśura,śvaśura,12753,12753,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_4sc27nrmecjim,
enwikt:5571170,5571170,91305611,Reconstruction:Proto-Indo-Iranian/Háwiš,Háwiš,noun,sheep,*h₂ówis,,ávi,avi,887,887,linked,1,unique spelling match,,
enwikt:5571251,5571251,92152180,Reconstruction:Proto-Indo-Iranian/páću,páću,noun,"livestock, animal",*péḱu,,"páśu, paśú","paśu, paśu",,,unlinked,,no CDIAL head with this spelling,,R:CDIAL[paśú]; R:os:Abaev[500–501]; R:os:Cheung:2002[ru][268]
enwikt:5571483,5571483,88408827,Reconstruction:Proto-Indo-Iranian/Hā́yu,Hā́yu,noun,"lifetime, life",*h₂óyu,,ā́yu,āyu,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5571490,5571490,92152039,Reconstruction:Proto-Indo-Iranian/Habʰí,Habʰí,preposition,"to, against; for, on account of",*h₂m̥bʰi,,abhí,abʰi,,,unlinked,,no CDIAL head with this spelling,,R:inc:IAIL[abhí]
enwikt:5571503,5571503,92152091,Reconstruction:Proto-Indo-Iranian/Hápa,Hápa,adverb,"off, away, from",,,ápa-,apa,,,unlinked,,no CDIAL head with this spelling,,R:ine:LIPP[71]
enwikt:5571523,5571523,92152213,Reconstruction:Proto-Indo-Iranian/tráyas,tráyas,numeral,three,*tréyes,,trí,tri,,,unlinked,,no CDIAL head with this spelling,,R:Turner-comp[tráyaḥ]
enwikt:5571537,5571537,88450346,Reconstruction:Proto-Indo-Iranian/dā́ru,dā́ru,noun,tree; wood,*dóru,,dā́ru,dāru,14602 6298,6298,linked,1,unique after collapsing addendum onto its main entry,,
enwikt:5571540,5571540,88990253,Reconstruction:Proto-Indo-Iranian/Hdánts,Hdánts,noun,tooth,*h₃dónts,,dát,dat,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5572472,5572472,76138026,Reconstruction:Proto-Indo-Iranian/-as,-as,suffix,,,,-s,s,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5572525,5572525,92022795,Reconstruction:Proto-Indo-Iranian/yáwgas,yáwgas,noun,"team, yoke; yoking",,,yóga,yoga,10526,10526,linked,1,unique spelling match,,
enwikt:5572598,5572598,88087263,Reconstruction:Proto-Indo-Iranian/yawg-,yawg-,root,to yoke,*yewg-,,yuj,yuj,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5572607,5572607,91796925,Reconstruction:Proto-Indo-Iranian/čakrám,čakrám,noun,wheel,*kʷékʷlos,,cakrá,cakra,4538,4538,linked,1,unique spelling match,,
enwikt:5572673,5572673,92152311,Reconstruction:Proto-Indo-Iranian/ȷ́ánHas,ȷ́ánHas,noun,"race, group of people; race, people; creature; man, human",*ǵénh₁os,,jánas; jána,janas; jana,5098,5098,linked,1,unique spelling match,,R:xcl:Olsen[12]; R:xbc:Sims-Williams[αβζανο][173]
enwikt:5573263,5573263,88096221,Reconstruction:Proto-Indo-Iranian/HwaHyúš,HwaHyúš,noun,"wind, air",,,vāyú,vāyu,11544 11545,11544,linked,1,disambiguated by gloss overlap,,
enwikt:5575726,5575726,92152317,Reconstruction:Proto-Indo-Iranian/ȷ́ʰánuš,ȷ́ʰánuš,noun,jaw; chin,*ǵénus,,hánu,hanu,13965 13966,13966,linked,1,disambiguated by gloss overlap,,R:EWAia[hánu-][801-2]; R:inc:IAIL[hánu-]
enwikt:5575745,5575745,91492762,Reconstruction:Proto-Indo-Iranian/pstánas,pstánas,noun,"breast; teat, nipple",,,stána,stana,13666,13666,linked,1,unique spelling match,,
enwikt:5576010,5576010,87448638,Reconstruction:Proto-Indo-Iranian/pátiš,pátiš,noun,"master, lord; husband",*pótis,,páti,pati,7727,7727,linked,1,unique spelling match,,
