Item	Site_Code	PDF_Page	Printed_Page	Column	OCR_Candidate	OCR_Row_Top	OCR_Pitch	Review_Status
1	HO1	72	63	left	1 homo	293	32	unreviewed
1	HTH	72	63	left	1 homo	325	32	unreviewed
1	HKA	72	63	left	1 homo	357	32	unreviewed
1	HKE	72	63	left	1 homo	389	32	unreviewed
1	HCH	72	63	left	1 homo	421	32	unreviewed
1	HCU	72	63	left	1 homo	453	32	unreviewed
1	HSU	72	63	left	1 homo	485	32	unreviewed
1	HSA	72	63	left	1 homo	517	32	unreviewed
1	HJO	72	63	left	1 homo	549	32	unreviewed
1	HDH	72	63	left	1 homo	581	32	unreviewed
1	HBG	72	63	left	1 homo	613	32	unreviewed
1	HO2	72	63	left	1 homo	645	32	unreviewed
1	HRA	72	63	left	1 homo	677	32	unreviewed
1	HO3	72	63	left	Gaus -	709	32	unreviewed
1	HOP	72	63	right	1 homo	293	32	unreviewed
1	HBA	72	63	right	1 homo	325	32	unreviewed
1	HNI	72	63	right	1 homo	357	32	unreviewed
1	BBG	72	63	right	1 hor*mo	421	32	unreviewed
1	BMA	72	63	right	1 hodomo	453	32	unreviewed
1	BOP	72	63	right	1! hodomo	485	32	unreviewed
1	BRA	72	63	right	1 hor*mo	517	32	unreviewed
1	BGH	72	63	right	1 hodomo	549	32	unreviewed
1	MU1	72	63	right	Pisce	581	32	unreviewed
1	MU2	72	63	right	1 hopmo	613	32	unreviewed
1	SA1	72	63	right	1 hormo	645	32	unreviewed
1	SBA	72	63	right	1 hacmo	677	32	unreviewed
1	OCU	72	63	right	2 soriro	709	32	unreviewed
2	HO1	72	63	left	1 bo?o	870	32	unreviewed
2	HTH	72	63	left	1 bo?o	902	32	unreviewed
2	HKA	72	63	left	1 bo?o	934	32	unreviewed
2	HKE	72	63	left	1 bo?o	966	32	unreviewed
2	HCH	72	63	left	1 bo?o	998	32	unreviewed
2	HCU	72	63	left	1 bo?o	1030	32	unreviewed
2	HSU	72	63	left	| boo	1062	32	unreviewed
2	HSA	72	63	left	1 bo?o	1094	32	unreviewed
2	HJO	72	63	left	1 bo?o	1126	32	unreviewed
2	HDH	72	63	left	1 bo?o	1158	32	unreviewed
2	HBG	72	63	left	1 bo?o	1190	32	unreviewed
2	HO2	72	63	left	1 bo	1222	32	unreviewed
2	HRA	72	63	left	1 bo?o	1254	32	unreviewed
2	HO3	72	63	left	1 bo?	1286	32	unreviewed
2	HOP	72	63	right	1 bo?o	870	32	unreviewed
2	HBA	72	63	right	1 bo?o	902	32	unreviewed
2	HNI	72	63	right	1 bo?o	934	32	unreviewed
2	BBG	72	63	right	1 bo?o	998	32	unreviewed
2	BMA	72	63	right	1 boho	1030	32	unreviewed
2	BOP	72	63	right	1 bo?o	1062	32	unreviewed
2	BRA	72	63	right	1 bo?o	1094	32	unreviewed
2	BGH	72	63	right	1 bo?	1126	32	unreviewed
2	MU1	72	63	right	1 bo?	1158	32	unreviewed
2	MU2	72	63	right	1 bo, 2 mund	1190	32	unreviewed
2	SA1	72	63	right	1 bohok	1222	32	unreviewed
2	SBA	72	63	right	1 boha?	1254	32	unreviewed
2	OCU	72	63	right	2 mondo	1286	32	unreviewed
3	HO1	72	63	left	1 bo?o bale	1449	32	unreviewed
3	HTH	72	63	left	1 bo?o bale	1481	32	unreviewed
3	HKA	72	63	left	1 bo?o bale	1513	32	unreviewed
3	HKE	72	63	left	1 bo?o bale	1545	32	unreviewed
3	HCH	72	63	left	1 bo?o bale	1577	32	unreviewed
3	HCU	72	63	left	1 bo?o bale	1609	32	unreviewed
3	HSU	72	63	left	1 bo?o bale	1641	32	unreviewed
3	HSA	72	63	left	1 bo?o bale	1673	32	unreviewed
3	HJO	72	63	left	1 bo?o bale	1705	32	unreviewed
3	HDH	72	63	left	bo?o bale	1737	32	unreviewed
3	HBG	72	63	left	bale?	1769	32	unreviewed
3	HO2	72	63	left	ub	1801	32	unreviewed
3	HRA	72	63	left	bo?o bale	1833	32	unreviewed
3	HO3	72	63	left	u?p	1865	32	unreviewed
3	HOP	72	63	right	2 bo? up	1449	32	unreviewed
3	HBA	72	63	right	1 bo?o bale	1481	32	unreviewed
3	HNI	72	63	right	2 bo? up	1513	32	unreviewed
3	BBG	72	63	right	2 ub?	1577	32	unreviewed
3	BMA	72	63	right	ub	1609	32	unreviewed
3	BOP	72	63	right	2 bo?o up	1641	32	unreviewed
3	BRA	72	63	right	bo?o u?b	1673	32	unreviewed
3	BGH	72	63	right	u?p	1705	32	unreviewed
3	MU1	72	63	right	u?b	1737	32	unreviewed
3	MU2	72	63	right	ub	1769	32	unreviewed
3	SA1	72	63	right	u?p	1801	32	unreviewed
3	SBA	72	63	right	u?p	1833	32	unreviewed
3	OCU	72	63	right	1 bale	1865	32	unreviewed
4	HO1	73	64	left	1 meq muwa, 2 med motfa	259	32	unreviewed
4	HTH	73	64	left	2 motfa	291	32	unreviewed
4	HKA	73	64	left	1 met? muva	323	32	unreviewed
4	HKE	73	64	left	1 me?t moe	355	32	unreviewed
4	HCH	73	64	left	1 met? mfva	387	32	unreviewed
4	HCU	73	64	left	1 med? mué	419	32	unreviewed
4	HSU	73	64	left	1 met? muve, 2 a motfa	451	32	unreviewed
4	HSA	73	64	left	2 motfa	483	32	unreviewed
4	HJO	73	64	left	1 mot? muva	515	32	unreviewed
4	HDH	73	64	left	1 me?d moe	547	32	unreviewed
4	HBG	73	64	left	t met? mia	579	32	unreviewed
4	HO2	73	64	left	1 med mua	611	32	unreviewed
4	HRA	73	64	left	3 me?na	643	32	unreviewed
4	HO3	73	64	left	-----	675	32	unreviewed
4	HOP	73	64	right	2 met? muta	259	32	unreviewed
4	HBA	73	64	right	1 met? muve	291	32	unreviewed
4	HNI	73	64	right	5 tfeheca	323	32	unreviewed
4	BBG	73	64	right	1 met?p mana	387	32	unreviewed
4	BMA	73	64	right	2 met mute	419	32	unreviewed
4	BOP	73	64	right	1 me?t moan	451	32	unreviewed
4	BRA	73	64	right	2 me?d mote	483	32	unreviewed
4	BGH	73	64	right	2 met muta	515	32	unreviewed
4	MU1	73	64	right	-----+	547	32	unreviewed
4	MU2	73	64	right	1 med muanra	579	32	unreviewed
4	SA1	73	64	right	3 m6t? aha	611	32	unreviewed
4	SBA	73	64	right	3 met tha	643	32	unreviewed
4	OCU	73	64	right	6 mihe	675	32	unreviewed
5	HO1	73	64	left	1 med	843	32	unreviewed
5	HTH	73	64	left	1 met?	875	32	unreviewed
5	HKA	73	64	left	-----	907	32	unreviewed
5	HKE	73	64	left	1 me?n	939	32	unreviewed
5	HCH	73	64	left	1 met?	971	32	unreviewed
5	HCU	73	64	left	1 met?	1003	32	unreviewed
5	HSU	73	64	left	1 met?	1035	32	unreviewed
5	HSA	73	64	left	1 met?	1067	32	unreviewed
5	HJO	73	64	left	-----	1099	32	unreviewed
5	HDH	73	64	left	1 me?d	1131	32	unreviewed
5	HBG	73	64	left	1 met?	1163	32	unreviewed
5	HO2	73	64	left	1 med	1195	32	unreviewed
5	HRA	73	64	left	1 me?n	1227	32	unreviewed
5	HO3	73	64	left	1 met	1259	32	unreviewed
5	HOP	73	64	right	1 me?n	843	32	unreviewed
5	HBA	73	64	right	1 met?	875	32	unreviewed
5	HNI	73	64	right	1 met?p	907	32	unreviewed
5	BBG	73	64	right	1 met?n	971	32	unreviewed
5	BMA	73	64	right	1 met?	1003	32	unreviewed
5	BOP	73	64	right	1 me?n	1035	32	unreviewed
5	BRA	73	64	right	1 met?	1067	32	unreviewed
5	BGH	73	64	right	1 met?	1099	32	unreviewed
5	MU1	73	64	right	1 me?d	1131	32	unreviewed
5	MU2	73	64	right	1 med	1163	32	unreviewed
5	SA1	73	64	right	1 mét	1195	32	unreviewed
5	SBA	73	64	right	1 met	1227	32	unreviewed
5	OCU	73	64	right	2 akhi	1259	32	unreviewed
6	HO1	73	64	left	1 tukue	1427	32	unreviewed
6	HTH	73	64	left	1 luguc	1459	32	unreviewed
6	HKA	73	64	left	1 lutue	1491	32	unreviewed
6	HKE	73	64	left	1 lutuec	1523	32	unreviewed
6	HCH	73	64	left	1 luguc	1555	32	unreviewed
6	HCU	73	64	left	1 lutue	1587	32	unreviewed
6	HSU	73	64	left	1 lutuc	1619	32	unreviewed
6	HSA	73	64	left	1 lukue	1651	32	unreviewed
6	HJO	73	64	left	1 lukuc	1683	32	unreviewed
6	HDH	73	64	left	1 luguc	1715	32	unreviewed
6	HBG	73	64	left	1 lutue	1747	32	unreviewed
6	HO2	73	64	left	1 lutue	1779	32	unreviewed
6	HRA	73	64	left	1 lutuc	1811	32	unreviewed
6	HO3	73	64	left	1 lutue	1843	32	unreviewed
6	HOP	73	64	right	1 lutur	1427	32	unreviewed
6	HBA	73	64	right	1 lugar	1459	32	unreviewed
6	HNI	73	64	right	1 lugtue	1491	32	unreviewed
6	BBG	73	64	right	1 lutue	1555	32	unreviewed
6	BMA	73	64	right	1 luguc	1587	32	unreviewed
6	BOP	73	64	right	1 lutur	1619	32	unreviewed
6	BRA	73	64	right	1 lukuc	1651	32	unreviewed
6	BGH	73	64	right	1 lutur	1683	32	unreviewed
6	MU1	73	64	right	1 lutue	1715	32	unreviewed
6	MU2	73	64	right	1 lutur	1747	32	unreviewed
6	SA1	73	64	right	1 lukuc	1779	32	unreviewed
6	SBA	73	64	right	1 lutuc	1811	32	unreviewed
6	OCU	73	64	right	2 kayo	1843	32	unreviewed
7	HO1	74	65	left	f muta, 3 muwa	262	32	unreviewed
7	HTH	74	65	left	1 mute	294	32	unreviewed
7	HKA	74	65	left	1 mute	326	32	unreviewed
7	HKE	74	65	left	1 mute	358	32	unreviewed
7	HCH	74	65	left	1 mute	390	32	unreviewed
7	HCU	74	65	left	1 mute	422	32	unreviewed
7	HSU	74	65	left	1 mute	454	32	unreviewed
7	HSA	74	65	left	1 mute	486	32	unreviewed
7	HJO	74	65	left	3 muve	518	32	unreviewed
7	HDH	74	65	left	1 mute	550	32	unreviewed
7	HBG	74	65	left	1 mut-e	582	32	unreviewed
7	HO2	74	65	left	1 muta, 3 mua	614	32	unreviewed
7	HRA	74	65	left	3 mus	646	32	unreviewed
7	HO3	74	65	left	1 muta, 3 mua	678	32	unreviewed
7	HOP	74	65	right	1,3 mie	262	32	unreviewed
7	HBA	74	65	right	5 mo dzangi	294	32	unreviewed
7	HNI	74	65	right	3 ma	326	32	unreviewed
7	BBG	74	65	right	4 mu	390	32	unreviewed
7	BMA	74	65	right	4 mu	422	32	unreviewed
7	BOP	74	65	right	4 mu-	454	32	unreviewed
7	BRA	74	65	right	ma	486	32	unreviewed
7	BGH	74	65	right	mu-	518	32	unreviewed
7	MU1	74	65	right	muhdn	550	32	unreviewed
7	MU2	74	65	right	muhu	582	32	unreviewed
7	SA1	74	65	right	ma	614	32	unreviewed
7	SBA	74	65	right	mu-	646	32	unreviewed
7	OCU	74	65	right	nakho	678	32	unreviewed
8	HO1	74	65	left	1 a-	833	31	unreviewed
8	HTH	74	65	left	1 a	864	31	unreviewed
8	HKA	74	65	left	1 a	895	31	unreviewed
8	HKE	74	65	left	1 a-a	926	31	unreviewed
8	HCH	74	65	left	1 a	957	31	unreviewed
8	HCU	74	65	left	1 a-	988	31	unreviewed
8	HSU	74	65	left	1a	1019	31	unreviewed
8	HSA	74	65	left	1a	1050	31	unreviewed
8	HJO	74	65	left	1a	1081	31	unreviewed
