Item	Gloss	Site_Code	Scope	PDF_Page	Printed_Page	Column	Manual_Transcription	Review_Status	Confidence	Uncertainty	Reviewer_Method	Disposition	Citation	Entry_Key
1	body	HO1	republished_control	72	63	left	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HO1]	
1	body	HTH	target	72	63	left	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HTH]	ho2024-hth-i001
1	body	HKA	target	72	63	left	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HKA]	ho2024-hka-i001
1	body	HKE	target	72	63	left	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HKE]	ho2024-hke-i001
1	body	HCH	target	72	63	left	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HCH]	ho2024-hch-i001
1	body	HCU	target	72	63	left	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HCU]	ho2024-hcu-i001
1	body	HSU	target	72	63	left	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HSU]	ho2024-hsu-i001
1	body	HSA	target	72	63	left	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HSA]	ho2024-hsa-i001
1	body	HJO	target	72	63	left	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HJO]	ho2024-hjo-i001
1	body	HDH	target	72	63	left	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HDH]	ho2024-hdh-i001
1	body	HBG	target	72	63	left	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HBG]	ho2024-hbg-i001
1	body	HO2	republished_control	72	63	left	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HO2]	
1	body	HRA	target	72	63	left	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HRA]	ho2024-hra-i001
1	body	HO3	republished_control	72	63	left		blank	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HO3]	
1	body	HOP	target	72	63	right	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HOP]	ho2024-hop-i001
1	body	HBA	target	72	63	right	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HBA]	ho2024-hba-i001
1	body	HNI	target	72	63	right	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list HNI]	ho2024-hni-i001
1	body	BBG	comparison_control	72	63	right	1 horᵉmo	attested	medium	raised/glided medial vowel retained as superscript e	manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list BBG]	
1	body	BMA	comparison_control	72	63	right	1 hoɖomo	attested	medium	source retroflex voiced stop encoded as IPA ɖ	manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list BMA]	
1	body	BOP	comparison_control	72	63	right	1 hoɖomo	attested	medium	source retroflex voiced stop encoded as IPA ɖ	manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list BOP]	
1	body	BRA	comparison_control	72	63	right	1 hʌrᵉmo	attested	medium	source open-back vowel and raised medial vowel retained	manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list BRA]	
1	body	BGH	comparison_control	72	63	right	1 hoɖomo	attested	medium	source retroflex voiced stop encoded as IPA ɖ	manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list BGH]	
1	body	MU1	comparison_control	72	63	right		blank	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list MU1]	
1	body	MU2	comparison_control	72	63	right	1 horᵉmo	attested	medium	raised/glided medial vowel retained as superscript e	manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list MU2]	
