Codepoint	Symbol	Unicode_Name	Count	Decision
U+0020	 	SPACE	382	preserve word boundary
U+0028	(	LEFT PARENTHESIS	3	preserve reviewed source punctuation
U+0029	)	RIGHT PARENTHESIS	3	preserve reviewed source punctuation
U+002C	,	COMMA	62	preserve reviewed source punctuation
U+003F	?	QUESTION MARK	328	preserve reviewed source punctuation
U+0061	a	LATIN SMALL LETTER A	2020	preserve NFC diplomatic transcription
U+0062	b	LATIN SMALL LETTER B	410	preserve NFC diplomatic transcription
U+0063	c	LATIN SMALL LETTER C	2	preserve NFC diplomatic transcription
U+0064	d	LATIN SMALL LETTER D	637	preserve NFC diplomatic transcription
U+0065	e	LATIN SMALL LETTER E	1170	preserve NFC diplomatic transcription
U+0067	g	LATIN SMALL LETTER G	438	preserve NFC diplomatic transcription
U+0068	h	LATIN SMALL LETTER H	366	preserve NFC diplomatic transcription
U+0069	i	LATIN SMALL LETTER I	2044	preserve NFC diplomatic transcription
U+006A	j	LATIN SMALL LETTER J	191	preserve NFC diplomatic transcription
U+006B	k	LATIN SMALL LETTER K	461	preserve NFC diplomatic transcription
U+006C	l	LATIN SMALL LETTER L	665	preserve NFC diplomatic transcription
U+006D	m	LATIN SMALL LETTER M	920	preserve NFC diplomatic transcription
U+006E	n	LATIN SMALL LETTER N	831	preserve NFC diplomatic transcription
U+006F	o	LATIN SMALL LETTER O	796	preserve NFC diplomatic transcription
U+0070	p	LATIN SMALL LETTER P	336	preserve NFC diplomatic transcription
U+0072	r	LATIN SMALL LETTER R	703	preserve NFC diplomatic transcription
U+0073	s	LATIN SMALL LETTER S	502	preserve NFC diplomatic transcription
U+0074	t	LATIN SMALL LETTER T	293	preserve NFC diplomatic transcription
U+0075	u	LATIN SMALL LETTER U	1057	preserve NFC diplomatic transcription
U+0076	v	LATIN SMALL LETTER V	17	preserve NFC diplomatic transcription
U+0077	w	LATIN SMALL LETTER W	85	preserve NFC diplomatic transcription
U+0079	y	LATIN SMALL LETTER Y	1	preserve NFC diplomatic transcription
U+007C	|	VERTICAL LINE	494	preserve NFC diplomatic transcription
U+00B7	·	MIDDLE DOT	25	preserve reviewed source punctuation
U+00E3	ã	LATIN SMALL LETTER A WITH TILDE	4	preserve NFC diplomatic transcription
U+00F5	õ	LATIN SMALL LETTER O WITH TILDE	10	preserve NFC diplomatic transcription
U+014B	ŋ	LATIN SMALL LETTER ENG	460	preserve NFC diplomatic transcription
U+0254	ɔ	LATIN SMALL LETTER OPEN O	4	preserve NFC diplomatic transcription
U+0256	ɖ	LATIN SMALL LETTER D WITH TAIL	277	preserve NFC diplomatic transcription
U+0259	ə	LATIN SMALL LETTER SCHWA	3	preserve NFC diplomatic transcription
U+0268	ɨ	LATIN SMALL LETTER I WITH STROKE	22	preserve NFC diplomatic transcription
U+026A	ɪ	LATIN LETTER SMALL CAPITAL I	1	preserve NFC diplomatic transcription
U+026D	ɭ	LATIN SMALL LETTER L WITH RETROFLEX HOOK	3	preserve NFC diplomatic transcription
U+026F	ɯ	LATIN SMALL LETTER TURNED M	1	preserve NFC diplomatic transcription
U+0283	ʃ	LATIN SMALL LETTER ESH	168	preserve NFC diplomatic transcription
U+028C	ʌ	LATIN SMALL LETTER TURNED V	662	preserve NFC diplomatic transcription
U+0292	ʒ	LATIN SMALL LETTER EZH	333	preserve NFC diplomatic transcription
U+0294	ʔ	LATIN LETTER GLOTTAL STOP	18	preserve NFC diplomatic transcription
U+02B0	ʰ	MODIFIER LETTER SMALL H	7	preserve NFC diplomatic transcription
U+1E0F	ḏ	LATIN SMALL LETTER D WITH LINE BELOW	68	preserve NFC diplomatic transcription
U+1E47	ṇ	LATIN SMALL LETTER N WITH DOT BELOW	30	preserve NFC diplomatic transcription
U+1E6F	ṯ	LATIN SMALL LETTER T WITH LINE BELOW	439	preserve NFC diplomatic transcription
U+1EBD	ẽ	LATIN SMALL LETTER E WITH TILDE	6	preserve NFC diplomatic transcription
