Site_Code	Scope	Install	Language_ID	Source_Type	Label
HO1	republished_control	no	ho	published_control	John Deeney 1975, Chaibasa
HTH	target	yes	ho	1989_fieldwork	Chirupada, Thakurmunda, Mayurbhanj
HKA	target	yes	ho	1989_fieldwork	Sarudha, Karanjia, Mayurbhanj
HKE	target	yes	ho	1989_fieldwork	Jude near Saisuathana, Keonjhar
HCH	target	yes	ho	1989_fieldwork	Todangbasa, Chaibasa, Singhbhum
HCU	target	yes	ho	1989_fieldwork	Kihki near Kurjatie, Cuttack
HSU	target	yes	ho	1989_fieldwork	Tokora near Lahunipara, Sundargarh
HSA	target	yes	ho	1989_fieldwork	Mosinta near Barakot, Sambalpur
HJO	target	yes	ho	1989_fieldwork	Chakidi, Joshipur, Mayurbhanj
HDH	target	yes	ho	1989_fieldwork	Kerjanga near Pal Lahara, Dhenkanal
HBG	target	yes	ho	1989_fieldwork	Nakti, Bandgaon, Singhbhum
HO2	republished_control	no	ho	published_control	Lionel Burrows 1915, Kolhan
HRA	target	yes	ho	1989_fieldwork	Kuchepal, Rairangpur, Mayurbhanj
HO3	republished_control	no	ho	published_control	Edward T. Dalton 1872, Chota Nagpur
HOP	target	yes	ho	1989_fieldwork	Baigodia, Opada block, Balasore
HBA	target	yes	ho	1989_fieldwork	Bahaldia, Baripada, Mayurbhanj
HNI	target	yes	ho	1989_fieldwork	Hento Sura/Sura, Nilgiri, Balasore
BBG	comparison_control	no		Bhumij_control	Bhumij, BBG
BMA	comparison_control	no		Bhumij_control	Bhumij, BMA
BOP	comparison_control	no		Bhumij_control	Bhumij, BOP
BRA	comparison_control	no		Bhumij_control	Bhumij, BRA
BGH	comparison_control	no		Bhumij_control	Bhumij, BGH
MU1	comparison_control	no		Mundari_control	Mundari, published source 1
MU2	comparison_control	no		Mundari_control	Mundari, published source 2
SA1	comparison_control	no		Santali_control	Santali, published source
SBA	comparison_control	no		Santali_control	Santali, field list
OCU	comparison_control	no		Oriya_control	Oriya, field control
