Item	Gloss	Site_Code	PDF_Page	Printed_Page	Column	OCR_Evidence_Only	Manual_Transcription	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
1	body	HO1	72	63	left	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HTH	72	63	left	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HKA	72	63	left	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HKE	72	63	left	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HCH	72	63	left	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HCU	72	63	left	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HSU	72	63	left	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HSA	72	63	left	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HJO	72	63	left	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HDH	72	63	left	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HBG	72	63	left	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HO2	72	63	left	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HRA	72	63	left	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HO3	72	63	left	Gaus -		blank	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HOP	72	63	right	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HBA	72	63	right	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	HNI	72	63	right	1 homo	1 homo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	BBG	72	63	right	1 hor*mo	1 horᵉmo	attested	medium	raised/glided medial vowel retained as superscript e	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	BMA	72	63	right	1 hodomo	1 hoɖomo	attested	medium	source retroflex voiced stop encoded as IPA ɖ	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	BOP	72	63	right	1! hodomo	1 hoɖomo	attested	medium	source retroflex voiced stop encoded as IPA ɖ	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	BRA	72	63	right	1 hor*mo	1 hʌrᵉmo	attested	medium	source open-back vowel and raised medial vowel retained	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	BGH	72	63	right	1 hodomo	1 hoɖomo	attested	medium	source retroflex voiced stop encoded as IPA ɖ	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	MU1	72	63	right	Pisce		blank	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	MU2	72	63	right	1 hopmo	1 horᵉmo	attested	medium	raised/glided medial vowel retained as superscript e	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	SA1	72	63	right	1 hormo	1 hormo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	SBA	72	63	right	1 hacmo	1 hʌrmo	attested	medium	source open-back vowel encoded as ʌ	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
1	body	OCU	72	63	right	2 soriro	2 soriro	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HO1	72	63	left	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
