Entry_ID,Page,Citation,Status,Block_Count,Structured_Comparison_Count,Kinds,Extracted_Content,Raw_Article,Reason,Review
d458,45,"dedr[entry 458, DED(S) 388]",installed,1,0,comparison,Cf. 440 Ka. iḍi . DED(S) 388.,"458 Ta. iṇṭai circlet of flowers, variety of garland. Ma. iṇṭa a kind of garland. Ka. iṇḍe wreath, garland. Te. (SAN, VN, DCV) iṇḍe garland. Cf. 440 Ka. iḍi . DED(S) 388.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d4153,368,"dedr[entry 4153, DED(S, N) 3417]",installed,1,0,comparison,"Cf. 4418 Go. peṛeka . DED(S, N) 3417.","4153 Pa. piḍka ( pl. piḍkel ) seed, single grain. Go. (SR.) peḍe seed; (S.) peṛe ( pl. -ku ) seed (of orange, etc.), grain (of rice, etc.); (Mu.) paṛe ( pl. -k ), (Ko.) peṛem ( pl. peṛek ), (Ma.) penem(i) ( pl. peneˀ ku ) seed of fruit; (Tr.) pannē small seed of any plant; (Ch.) pane ( pl. -k ) seed (of orange) ( Voc. 2351); (Koya Su.) pēṇḍu seed. Cf. 4418 Go. peṛeka . DED(S, N) 3417.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d4847,432,"dedr[entry 4847, DED(S) 3971]",installed,1,0,comparison,Cf. Pkt. ( DNM ) maḍa- neck. DED(S) 3971.,"4847 Ta. miṭaṟu neck, trachea, windpipe, throat; a draught. Ma. miṭaṟu throat; a draught, gulp; miṭila throat. Ko. miṛ front of neck; neck of pot. To. mïṛ ( obl. mïṛ-, mïṛt- ) neck. Ka. meṭre throat. Te. meḍa neck, shoulders; meḍa-kāya , (Merolu) miḍsu neck. ? Go. (Tr.) warēṛ id.; (L.) veḍer id., throat; veḍorī neck; veḍāgā throat; (Mu.) vaṛer , (Ma.) veṛer̥ id. ( Voc. 3287) (or with 5547 Ma. vēḷa ). Konḍa meṛa neck; (BB 1972) ṭṟeki throat (? aphaeresis of m- ). / Cf. Pkt. ( DNM ) maḍa- neck. DED(S) 3971.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d536,53,"dedr[entry 536, DED 457]",installed,1,0,comparison,Cf. 533 Ta. ī. DED 457.,"536 Ta. īcal, īyal winged white ants. Ma. īyal winged termites; īyāmpāṟṟa moth, winged termite, grasshopper. Ka. īcal the white ant when winged. Te. isuḷḷu winged white ants; usiḍi ( pl. usiḷḷu) winged white ant. Cf. 533 Ta. ī. DED 457.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d1987,180,"dedr[entry 1987, DEDS 292]",installed,1,0,comparison,Cf. 1404 Ta. kaṉa . DEDS 292.,"1987 To. ken moζ, (in song) moζe xen, eζe xen thick buttermilk, thick mass of buttermilk (see 430 and 4630). Ka. kene cream of milk. Cf. 1404 Ta. kaṉa . DEDS 292.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d3295,288,"dedr[entry 3295, DED 2697]",installed,1,0,comparison,? Cf. 3524 Ta. tor̤il. DED 2697.,"3295 Ta. tuṭiyaṉ industrious, busy person. Ka. duḍi to labour, acquire by one's labour or efforts; duḍita acquisition, gain; duḍime acquiring, requisition, gain. Tu. duḍiyuni, duḍipini to acquire, gain, earn, obtain; duḍita, duḍitè gain, acquisition, property. ? Cf. 3524 Ta. tor̤il. DED 2697.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d700,69,"dedr[entry 700, DED 602]",installed,1,0,comparison,Cf. 3715 Ta. nuḷampu. DED 602.,"700 Ta. uḷu wood-worm; that which is rotten; ( -pp-, -tt- ) to be worm-eaten (as wood), be eaten out by insects (as grain, seeds); uḷuppu condition of being worm-eaten, worm-eaten tree; (Koll.) uḷuvey wood-worm. Ma. uḷumpu grain-moth; uḷu wood-worm; uḷukkuka to be worm-eaten; uḷuppu state of being worm-eaten. ? Ka. (Gowda) uḷṅgu a nit. ? Te. lūta ant. ? Kui lupenji a species of ant. Cf. 3715 Ta. nuḷampu. DED 602.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d3973,354,"dedr[entry 3973, DED(S, N) 3278]",installed,1,0,comparison,"? Cf. Skt. paruṣa- rough, hard, harsh. DED (S, N) 3278.","3973 Ta. paru coarse, rough; parukkaṉ, parumai roughness, coarseness, grossness. Ma. parukku rough surface; (Tiyya) parukkuva to make rough; parupara roughly, harshly; paruparukka to be rough, harsh; paruparuppu roughness, harshness. Ka. parige, parparike, papparike roughness (of surface), harshness, rough manners. Te. baraka rough; barusu rough, coarse, rude, brutal; roughness, rudeness; parusamu, parusana harshness, cruelty; parusapu hard, harsh; berasu cruel, rough, not fine. Kol. (Pat., p. 115) bargaṭe rough. Konḍa baRka roughness; rough. / ? Cf. Skt. paruṣa- rough, hard, harsh. DED (S, N) 3278.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d903,86,"dedr[entry 903, DED(S) 765]",installed,1,1,comparison,Cf. 892 Kur. ēthrnā.,"903 Ko. er uk- (uky-) to play 'peeping tom'. Kui ēra (ēri-) to spy, scout; n. spying, scouting; pl action ērka (ērki-). ? Kuwi (S.) hēnai to scout; hēri kiyali to see; (Su. P.) hēnḍ- (hēṭ-) id. Kur. ērnā (īryas) to see, look, look at, look after, look for, wait for, examine, try; ērta'ānā to let see, show; ērānakhrnā to look at one another. Malt. ére to see, behold, observe; érye to peep, spy. Cf. 892 Kur. ēthrnā. / Cf. Skt. heraka- spy, Pkt. her- to look at or for, and many NIA verbs; Turner, CDIAL , no. 14165. DED(S) 765.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d2122,191,"dedr[entry 2122, DED 1765]",installed,1,0,comparison,"Cf. 1796 Ta. kurai . DED 1765 (and from 1496, 1538).","2122 Ma. (Kanikkar dial.; Bhattacharya) kora asthma. Ko. kor kor in- to make the sound of a death-rattle. Ka. kora, gora sound produced in the throat by hoarseness, the purr of a cat; kora kora ennu that sound to be produced in the throat; kore to snore. Tu. korape, korapele one who snores; korapelů snoring. Cf. 1796 Ta. kurai . DED 1765 (and from 1496, 1538).",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d3746,334,"dedr[entry 3746, DED(S) 3104]",installed,1,0,comparison,Cf. 5496( b ) Ta. veṇ-ṇey. DED(S) 3104.,"3746 Ta. ney butter, ghee, oil, grease, fat, honey; ( -pp-, -tt- ) to be glossy, polished, be fat, plump, become greasy, unctuous, or sticky; neyppu unctuousness, oiliness, gloss, polish; nēyam ghee, oil. Ma. ney any unctuous substance, grease, fat, oil, lard, ghee. Ko. nay ghee. To. nïy id. Ka. ney, nēy id. Koḍ. ney id. Tu. nē̆yi ghee, grease, fat. Te. neyyi, nēyi ghee, oil; nūne, nūniya oil, gingily oil (< *nū + ney ; see 3720). Kol. ney butter, ghee; nu·ne oil; (SR.) pāl nūne ghee. Nk. ney ghee; nūne sesamum oil. Nk. (Ch.) ey oil. Pa. ney oil, fat; nū ney sesamum oil. Ga. (Oll.) ney , (S.) neyyū ( pl. neygīl) , (S. 3 ) ney(yu) oil. Go. (A. Tr. W. Ph.) nī , (SR.) neyi , (M.) neī , (Mu.) nīy, ney , (Ma.) nīy(i) , (S.) nīy(y)u id.; (Ko.) nīy ghee ( Voc. 2001); (Tr.) pāl nī ghee; phukī nī honey ( phukī bee). Konḍa niyu oil. Manḍ. ney id. Kui nīju id.; pūki nīju honey. Kuwi (F.) nīyū , (Su. P.) nīyu , (Isr.) nīyũ oil. Kur. nē̃tā grease, fat, lard. Malt. neṉya fat of an animal. Cf. 5496( b ) Ta. veṇ-ṇey. DED(S) 3104.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d1515,140,"dedr[entry 1515, DED(S, N) 1273]",installed,1,0,comparison,"Cf. Skt. (epic +) kīcaka- a kind of hollow bamboo (whistling or rattling in the wind), Arundo karka ; a kind of bird. DED(S, N) 1273.","1515 Ta. kiccukicc-eṉal onom. expr. signifying chirping (as lizards); kīccu chirp of birds, shrill crying sound; kīcc-iṭu to chirp (as birds, lizards), chatter (as monkeys), squeak, scream (as an infant); kīccukkīcceṉal onom. expr. signifying screaming, squeaking, chirping, twittering sound; kīccāṉ infant. Ma. kiccukiccu chirp; kīccu sobbing; kīccuka to sob; kiñcuka, keñcuka to squeak. Ka. kica-guṭṭu, kici-guṭṭu, kicakica annu, kicikici annu to chirp (as birds), chatter (as monkeys); kicu = kica; kicak-annu to chatter (as babies do); kīcu kīcu chirping of birds, squeaking of rats; giji biji the chirping and chattering of birds. Tu. kicikici chirping, prattling; kīcukīcu, kīcukīṭů squeaking of rats, etc.; kīcuni to squeak; gijigiji a chirping noise. Te. kicakica chirping of birds, etc.; kica-koṭṭu to chirp; kī˜cu squeaking, shrill; kī˜cum-anu to squeak, make a shrill noise. / Cf. Skt. (epic +) kīcaka- a kind of hollow bamboo (whistling or rattling in the wind), Arundo karka ; a kind of bird. DED(S, N) 1273.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d120,13,"dedr[entry 120, DED(S, N) 69(b)]",installed,1,0,comparison,"Cf. 3588 Ta. naṇṇu . DED(S, N) 69( b ).","120 Ta. aṇai (-v-, -nt-) to approach, come near, touch, come in contact with, copulate with; ( -pp-, -tt- ) to join, put close (as earth to a tree), embrace, hold, tie, fasten (as animals), tie up in a bunch; n. coition; a yoke of oxen; aṇaippu embracing; area that can be ploughed by two pairs of oxen in one day; aṇmai, aṇumai, aṇimai nearness, proximity; aṇavu (aṇavi-) to go near, approach, come close to, embrace; aṇāvu (aṇāvi-) to approach; aṇa (-pp-, -nt-) to be joined, united; aṇaṅku (aṇaṅki-) id.; aṇi (-v-, -nt-) to join with (tr.); adv. near; aṇiyaṉ who is near by; aṇuku (aṇuki-) to approach; aṇukkam, aṇukku nearness, proximity; aṇukkaṉ one who is near, intimate; fem. aṇukki; aṇṇu (aṇṇi-) to approach, draw near, join, unite with; aṇṇimai nearness; aṇṇaṇi in close proximity; aṇmu (aṇmi-), aṇpu (aṇpi-) to approach; aṇṭu (aṇṭi-) to approach, take refuge in; aṇṭai nearness, vicinity. Ma. aṇayuka to approach, arrive; aṇavu arrival, closeness, love; aṇekka to bring into contact, embrace, hug; aṇa yoke, pair; aṇukuka to approach; aṇaccal embracing, drawing near; aṇappu embracing, an embrace; aṇayam vicinity, neighbourhood; (Kauṭ.) aṇukkan one who is near; intimate; aṇṭa nearness, proximity; aṇṭuka, aṇṇuka, aṇpuka to approach. Ko. aṇḍ- (aṇḍy-) to be in same place with, approach, be in or move into place to seize prey; aṇḍc- (aṇḍc-) to set (a thing) in place. To. oṇc ferrule on stick or pounder. Ka. aṇe, aṇi to come near, come in contact, touch, embrace; aṇe approach; aṇi joining, fitness, order; aṇiyara fitness; aṇasu that holds firmly together, a ferrule; a throng; aṇugu nearness; aṇṭu to come or be in contact with, touch ( intr., tr. ), embrace; n. menses (? < Te.); aṇṭisu to place in contact; aṇḍisu to go near, approach, resort to, come or go to for protection; aṇḍu going near, an approach, a resort; aṇḍe nearness, approach, side of anything. Koḍ. aṇḍa side. Tu. aṇepuni to come in contact, press; anepini, anepuni to touch, hug, embrace; aṇasů a handle, hilt. Te. anãgu to mix or mingle freely; anũgu beloved, dear, desired, a friend; aṇṭu to touch; n. touch, uncleanness, defilement by touch, impurity, pollution; aṇṭalu ( pl. ) crowd, crowds; aṇṭincu to unite, join; aṇṭagu to be in menses, menstruate; aṇḍa nearness, support, assistance, protection, patronage. Pa. (S) anḍ- to attach string to bow. Ga. (P.) anḍal bowstring. Kuwi (S.) andinai to join, meet; (Isr.) aṇḍ- (-it-) to mix ( intr. ); (F.) aṇḍatasi partner; andali to aid; andivi aiyali to be friendly; (Ṭ) anḍ- (-it-) to join, unite with; (Mah.) aṇp- to agree; aṇpu agreement; (Isr.) aṭ- (aṭh-) to mix ( tr. ); (S.) aṭhinai to add; (F.) antū menses. Kur. ã̄ṛsnā to reach, arrive at, come, overtake, hear about; ã̄ṛsrnā to be within reach; ã̄ṛsta'ānā to make reach, deliver, touch (with the help of some instrument), overtake; ã̄ṛstārnā to be brought up to a certain place. Malt. aṉṛse to arrive; aṉṛstre to cause to arrive, convey. Br. haninging to copulate (of human beings). Cf. 3588 Ta. naṇṇu . DED(S, N) 69( b ).",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d1753,160,"dedr[entry 1753, DED(N) 1461]",installed,1,0,comparison,Cf. 1746 Ta. kumai. DED(N) 1461.,"1753 Ka. kumbu decay (of dry trees or bamboos). Koḍ. kumbï dry rot, rust. Tu. kumbu rottenness; rotten, decayed. Cf. 1746 Ta. kumai. DED(N) 1461.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d2056,186,"dedr[entry 2056, DED 1711]",installed,1,0,comparison,Cf. 2203 Ta. kōṭai . DED 1711.,"2056 Ta. koṭuku (koṭuki-) to shrink or shiver with cold. Ma. kōṭuka to feel very cold; kōṭṭam coldness, stiffness. Ka. kōḍu to be cool or cold; n. coldness; kōṭa, koḍata coldness. Cf. 2203 Ta. kōṭai . DED 1711.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d4935,442,"dedr[entry 4935, DED 4044]",installed,1,0,comparison,Cf. 4919 Ta. muṭaṅku . DED 4044.,"4935 Ta. muṭṭu knee, elbow, knuckle. Ma. muṭṭu knob, joint or knot of cane or bamboo, knee and elbow. To. muṭ eḷf bone from elbow to wrist, top joint of front leg of a calf. Tu. muṭṭè knuckles, joints of fingers. Te. cēti-muḍuku elbow; kālimuḍuku, muḍumu knee. Kol. (SR.) muḍsū , (Pat., p. 19) mūḍs , (P.) muṛug id.; (Kin.) muṛuc id., elbow. Ga. (S. 3 ) muḍkul knee-cap. Cf. 4919 Ta. muṭaṅku . DED 4044.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d3163,275,"dedr[entry 3163, DED(S) 2583]",installed,1,0,comparison,Cf. Skt. tāmarasa- id. DED(S) 2583.,"3163 Ta. tāmarai lotus, Nelumbium speciosum ; tammi lotus. Ma. tāmara id. Ka. tāmare, tāvare id. Koḍ. ta·vare id. Tu. tāmarè lotus flower, Nymphaea pubescens. Te. tāmara, tammi lotus. Pa. tāmar id. Go. (Ko.) tāmar sp. lotus; ? (SR.) dāmerā flower ( Voc. 1705). Kuwi (Su.) tāmel bonḍa lotus bud; (S.) tamberi lotus. / Cf. Skt. tāmarasa- id. DED(S) 2583.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d2977,258,"dedr[entry 2977, DED(S) 2415, DEDS 491]",installed,1,0,comparison,"? Cf. 3289 Kur. tuska. DED(S) 2415, DEDS 491.","2977 Kol. (Kin.) ḍokke lizard. Pa. ḍokka id. Ga. (S. 3 ) ḍokoḍe a kind of lizard. Go. ḍokke (A. W. Ph.) sp. lizard, (Mu. Ma.) garden lizard; (M.) ḍoke lizard; (Tr.) dokkē a small lizard ( Voc. 1597); (Tr.) pidrī-ḍokkē the house-lizard ( Voc. 2227); (Tr.) ḍoggāl chameleon ( Voc. 1600). Konḍa ḍōki lizard. Kui ḍoi chameleon. Kuwi (Su. P.) ḍru'i sp. lizard; (S.) droi , (Mah.) ḍorgi , (Ṭ.) ḍrogi chameleon; (Isr.) ḍrōgi lizard. ? Cf. 3289 Kur. tuska. DED(S) 2415, DEDS 491.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
d1260,117,"dedr[entry 1260, DED 1056]",installed,1,0,comparison,? Cf. 1265 Ta. karaṭu . DED 1056.,"1260 Ka. garasu, garusu gravel. Tu. karṅkallu gravel, hard sand. Te. garusu gravel. ? Cf. 1265 Ta. karaṭu . DED 1056.",residual DEDR commentary preserved after reflex and structured-comparison removal,ok
