5,Cf. Skt. <b>agasti&lt;-&gt; <i>Agasti grandiflora. [Sesbania = Aeschynomene = Agati/Agasti = Coronilla.]</i></b> DED 6.			 <div>  						</div>
13,"Cf. Skt. <b>aguru-, agaru-</b>; Pali <b>akalu, akaḷu, agaru, agalu, agaḷu</b>; Turner, <i><b><xref=""cdial"">CDIAL</xref=""cdial""></b></i>, no. 49. DED 14.			 <div>  						</div>"
26,"? &lt; Skt. <b>agni-</b> (Gt., <i><b>Ta. Lex.</b></i>). DED 26.			 <div>  						</div>"
28,? Skt. DED 30.			 <div>  						</div>
29,"Cf. Skt. <b>(<i>lex.</i>) aṅka-</b> fight, mimic war or conflict. DED 31.			 <div>  						</div>"
35,? Cf. Skt. <b>aṅgaṇa-</b> courtyard. DED(S) 37.			 <div>  						</div>
47,"? Cf. Turner, <i><b><xref=""cdial"">CDIAL</xref=""cdial""></b></i>, no. 13096, Skt. <b>sañcaka-</b>, Panj. <b>sañcā, saccā</b> mould; Burrow 1967.41. DED(S, N) 44.			 <div>  						</div>"
83,"Cf. Turner, <i>CDIAL</i>, nos. 187-190 (also OMar. [Master] <b>aḍap-</b> to be obstructed). DED(S) 73.			 <div>  						</div>"
104,"? &lt; Skt. <b>ardha-</b>, Pali Pkt. <b>addha-, aḍḍha-</b> half. DED 94.			 <div>  						</div>"
117,? &lt; Skt. <b>anīka-; Pkt. aṇiya-.</b> DED(S) 99.			 <div>  						</div>
118,? &lt; Skt. <b>anīka-</b>; Pkt. <b>aṇiya-</b>; this meaning not recorded. DED(S) 100.			 <div>  						</div>
140,Cf. Mar. <b>adaṭ</b> very brave. DED(S) 120.			 
142,"Cf. Skt. <b>attā-</b> mother, mother's sister, elder sister (<i>lex.</i>); <b>atti(kā)-, anti(kā)-, artikā-</b> elder sister (<i>lex.</i>); Pkt. <b>attā-</b> mother, mother-in-law; father's sister's husband; Turner, <i>CDIAL</i>, nos. 221, 222. DED(S) 121.			 <div>  						</div>"
144,"Cf. Sgh. <b>aṭṭikkā, attikkā. [<i>F. glomerata</i></b> Roxb. = <i><b>F. racemosa</b></i> Wall.] DED(S) 123.			 <div>  						</div>"
147,Cf. <b>Pkt. addāa-</b> mirror. DED(S) 125.			 <div>  						</div>
155,"Cf. Turner, <i>CDIAL</i>, no. 491, Skt. <b>apūpá-</b>. DED(S) 132.			 <div>  						</div>"
163,? &lt; Skt. <b>apara-</b>. DED(S) 138.			 <div>  						</div>
170,? Cf. Skt. (<i>lex.</i>) <b>āmupa-</b> the cane <i><b>Bambusa spinosa</b>.</i> DED(S) 144.			 <div>  						</div>
174,Cf. Mar. <b>ãbīl</b> gruel. DED(S) 146.			 <div>  						</div>
175,Cf. Skt. <b>hambhā-</b> lowing or bellowing of cattle. DED 147.			 <div>  						</div>
177,"Cf. Mar. <b>ambī, ambekarī</b> a boatman (about Kolhapur and in Carnatic). DED 149.			 <div>  						</div>"
181,Cf. Mar. <b>amā</b> the mother's breast (poetry and nursery). DED 152.			 <div>  						</div>
183,"Cf. Skt. <b>ambā-</b> (VS; <b><i>Voc.</i> amba</b> RV), <b>ambāḍā-, ambālā-, ambālikā-, ambi-, ambikā-, ambayā-</b> mother; <b>amba <i>interj.</i> Pkt. ammo, ammahe</b> interj. of surprise (dramas). Turner, <i>CDIAL</i>, no. 574. DED(S) 154.			 <div>  						</div>"
