d82,<html><body>DED 72.</body></html>
d92,<html><body>aṛdn marm Meliosma Wightii; aṛdn berries. DED 82.</body></html>
d94,<html><body>DED 84.</body></html>
d142,<html><body>222. DED(S) 121.</body></html>
d333,<html><body>pp. 251-2. DED(S) 282.</body></html>
d419,"<html><body>nos. 14074, 14075). DED(N) 358.</body></html>"
d435,<html><body>DED(S) 369.</body></html>
d489,<html><body>DED(N) 4237.</body></html>
d502,"<html><body>DED(S, N) 426.</body></html>"
d516,"<html><body>DED(S, N) 439.</body></html>"
d614,<html><body>is not identified in Hooker.] DED(S) 525.</body></html>
d666,<html><body>2339; ? borrowing or convergence. DED(S) 573.</body></html>
d717,<html><body>DED 615.</body></html>
d1039,<html><body>pp. 243 ff. DED(N) 876.</body></html>
d1180,"<html><body>Language 39.563 (Dr. &lt; IA). DED(S, N) 991.</body></html>"
d1204,<html><body>DED(S) 1012.</body></html>
d1225,<html><body>DED(S) 1028.</body></html>
d1307,<html><body>waterlily. DEN 15.</body></html>
d1355,<html><body>nos. 2867-70. DED(N) 1141.</body></html>
d1417,"<html><body>and (part of) 2760. DED (S, N) 1193.</body></html>"
d1638,"<html><body>): Dr. *k/gucVk/gucV-:IA *khusukhusV-. DED(S, N) 1365.</body></html>"
d1659,"<html><body>and additional reduplicated forms (Dr. and IA *guḍuguḍu). DED(S, N) 1382.</body></html>"
d1688,<html><body>3941. DED(S) 1408.</body></html>
d1746,<html><body>DED (N) 1453.</body></html>
d1849,<html><body>3326. DED 1535.</body></html>
d1985,<html><body>no; 3766. DED(S) 1653.</body></html>
d2064,<html><body>DED(S) 1720.</body></html>
d2153,<html><body>tomentosa not in Hooker.] DED(S) 1790.</body></html>
d2183,<html><body>DED(S) 1813.</body></html>
d2185,<html><body>DEDS 325.</body></html>
d2306,"<html><body>4736. DED(S, N) 1901.</body></html>"
d2335,"<html><body>4696. DED(S, N) 1928(a).</body></html>"
d2370,<html><body>4772. DED(S) 1959.</body></html>
d2488,<html><body>4782. DED(S) 2053.</body></html>
d2509,<html><body>DED 2070.</body></html>
d2799,<html><body>). DEDS 441.</body></html>
d3091,<html><body>DED 2520.</body></html>
d3357,<html><body>from which some of the forms have been reborrowed. DED 2761.</body></html>
d3389,<html><body>whence this meaning in Ka. DED (S) 2786.</body></html>
d3507,<html><body>5862. DED(S) 2888.</body></html>
d3881,<html><body>DED 3321.</body></html>
d4004,"<html><body>9057. DED(S, N) 3299.</body></html>"
d4135,<html><body>and from DED 3440</body></html>
d4171,<html><body>8159. DED(S) 3431.</body></html>
d4229,<html><body>pïf Indigofera pulchella. DEDS 687.</body></html>
d4361,<html><body>DED(S) 3577.</body></html>
d4370,<html><body>Thwaites = S.tetraphylla Vahl.] DED 3583.</body></html>
d4428,<html><body>flavour. DED 3627.</body></html>
d4450,<html><body>DED(S) 3644.</body></html>
d4840,<html><body>). DED 3965.</body></html>
d4856,<html><body>). DED(N) 3978.</body></html>
d4973,"<html><body>10214. DED(S, N) 4076.</body></html>"
d5235,<html><body>DED 4280.</body></html>
d5262,<html><body>DED 4303.</body></html>
d5301,<html><body>Language 35.542. DED(S) 4339.</body></html>
d5313,"<html><body>s.vv. DED(S, N) 4348.</body></html>"
d5411,<html><body>s.v. DED(S. N) 4438.</body></html>
da2,<html><body>ag-. DED 27</body></html>
da3,<html><body>DED(S) 22</body></html>
da7,<html><body>DEN DBIA SI.</body></html>
da35,<html><body>BSOAS 35.539. DED 1897.</body></html>
da60,<html><body>DED 4485</body></html>
