Item	Gloss	Similarity_Group	Raw_Form	Form	Site_Codes	Printed_Page	Response	Review
1	sky	1	aka	akaʃ	0	45	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
1	sky	2	asman	asman	16	45	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
1	sky	3	ti	ɐtiɐ	78	45	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
1	sky	3	atija	atija	23456	45	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
2	sun	1	udo	ʃuɹdʒo	0	45	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
2	sun	2	nmt	nʊːmɪt	7	45	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
2	sun	2	numt	numɪt	123456	45	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
2	sun	3	n	nɪː	8	45	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
3	moon	1	ad	ʈʃãd	0	45	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
3	moon	2	tha	tha	123456	45	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
3	moon	2	th	thɐ	8	45	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
3	moon	2	th	thɐː	7	45	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	1	taa	taɾa	0	45	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	2	thwnmtsk	thɐwɐnmɪtsɐːk	7	45	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	2	thwnmtsk	thɐwɐnmɪtsɐk	8	45	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	2	thawaimaa	thawai̯maʈʃa	6	45	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	2	thawamasa	thawamasa	3	45	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	2	thawamaa	thawamaʈʃa	145	45	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	2	thawanmeia	thawanmei̯ʈʃa	2	45	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
5	cloud	1	mh	mɛgh	0	45	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
5	cloud	2	no	noŋ	123456	45	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
5	cloud	3	nthkup	nɔːŋthɐːŋkupːɐʔ	7	45	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
5	cloud	4	leitsl	leitsɪl	8	45	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
6	rain	1	bri	brɪʃʈi	0	45	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
6	rain	2	n	nɔːŋ	78	45	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
6	rain	2	no	noŋ	123456	45	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
7	rainbow	1	rdhnu	rɔŋdhɔnu	0	45	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
7	rainbow	2	umdha	ʈʃumdhaŋ	234	45	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
7	rainbow	2	tsmth	tsʊmthɐːŋ	78	45	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
7	rainbow	3	nodabi	noŋdʒabi	16	45	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
7	rainbow	4	stha	sɪŋthaŋ	5	45	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
