Codepoint	Byte	Glyph	Unicode	Occurrences
U+F021	21	ː	U+02D0	208
U+F03C	3C	ɸ	U+0278	5
U+F041	41	ɑ	U+0251	1
U+F045	45	ɛ	U+025B	130
U+F048	48	ʔ	U+0294	138
U+F049	49	ɪ	U+026A	117
U+F052	52	ɾ	U+027E	87
U+F053	53	ʃ	U+0283	221
U+F055	55	ʊ	U+028A	10
U+F05A	5A	ʒ	U+0292	63
U+F067	67	g	U+0067	55
U+F07D	7D	ɽ	U+027D	17
U+F084	84	ə	U+0259	8
U+F086	86	ɐ	U+0250	538
U+F089	89	ʌ	U+028C	193
U+F08A	8A	ɔ	U+0254	155
U+F091	91	ɹ	U+0279	51
U+F097	97	ʐ	U+0290	1
U+F098	98	ʈ	U+0288	129
U+F099	99	ɖ	U+0256	5
U+F0A4	A4	ŋ	U+014B	262
U+F0AC	AC	ʑ	U+0291	1
U+F0D0	D0	◌̃	U+0303	7
U+F0E9	E9	◌̥	U+0325	2
U+F0EB	EB	◌̯	U+032F	130
