Item	Gloss	Site_Code	PDF_Page	Printed_Page	Column	Manual_Transcription	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration	Scope	Disposition	Citation
1	body	KEL	91	83	left	1 ɖil	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 1, list KEL]
1	body	DHA	91	83	left	1 ɖil	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 1, list DHA]
1	body	DIG	91	83	left	1 ɖil	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 1, list DIG]
1	body	AMO	91	83	left	1 ɖil	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 1, list AMO]
1	body	MUN	91	83	left	1 ɖil	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 1, list MUN]
1	body	AST	91	83	left	1 ɖil	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 1, list AST]
1	body	MAN	91	83	right	1 ɖil	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 1, list MAN]
1	body	BHU	91	83	right	1 ɖiɭ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 1, list BHU]
1	body	AML	91	83	right	1 ɖiɭ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 1, list AML]
1	body	SEG	91	83	right	2 ɖhʌɖ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 1, list SEG]
1	body	KAN	91	83	right	1 ɖil	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 1, list KAN]
1	body	SHA	91	83	right	1 ɖiɭ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 1, list SHA]
1	body	TOR	91	83	right	1 ɖiɭ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	watters2013northerndhule[Appendix C, printed p. 83, item 1, list TOR]
2	head	KEL	91	83	left	1 muŋkõ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 2, list KEL]
2	head	DHA	91	83	left	1 muŋko	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 2, list DHA]
2	head	DIG	91	83	left	1 munɖʌko	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 2, list DIG]
2	head	AMO	91	83	left	1 muŋko	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 2, list AMO]
2	head	MUN	91	83	left	1, 2 munɖkʌ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 2, list MUN]
2	head	AST	91	83	left	1, 2 munɖkʌ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 2, list AST]
2	head	MAN	91	83	right	2 munɖ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 2, list MAN]
2	head	BHU	91	83	right	2 moɳɖ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 2, list BHU]
2	head	AML	91	83	right	1, 2 munɖkʌ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 2, list AML]
2	head	SEG	91	83	right	1, 2 munɖkʌ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 2, list SEG]
2	head	KAN	91	83	right	1, 2 munɖkʌ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 2, list KAN]
2	head	SHA	91	83	right	1, 2 munɖkʌ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 2, list SHA]
2	head	TOR	91	83	right	3 maʈha	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	watters2013northerndhule[Appendix C, printed p. 83, item 2, list TOR]
3	hair	KEL	91	83	left	1 tʃotiẽ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 3, list KEL]
3	hair	DHA	91	83	left	1 tʃotia	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 3, list DHA]
3	hair	DIG	91	83	left	1 tʃote	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 3, list DIG]
3	hair	AMO	91	83	left	3 baɭ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 3, list AMO]
3	hair	MUN	91	83	left	2 sindʒe	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 3, list MUN]
3	hair	AST	91	83	left	2 sindʒe	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 3, list AST]
3	hair	MAN	91	83	right	1 dʒuta	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 3, list MAN]
3	hair	BHU	91	83	right	1 dʒuta	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 3, list BHU]
3	hair	AML	91	83	right	1 dʒhʌʈa	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 3, list AML]
3	hair	SEG	91	83	right	4 kesː	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 3, list SEG]
3	hair	KAN	91	83	right	1 dʒhʌʈa	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 3, list KAN]
3	hair	SHA	91	83	right	1 dʒuta	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 3, list SHA]
3	hair	TOR	91	83	right	4 keh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	watters2013northerndhule[Appendix C, printed p. 83, item 3, list TOR]
