Item	Gloss	Site_Code	PDF_Page	Printed_Page	Column	Manual_Transcription	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
1		KEL	91	83	left		unreviewed					
1		DHA	91	83	left		unreviewed					
1		DIG	91	83	left		unreviewed					
1		AMO	91	83	left		unreviewed					
1		MUN	91	83	left		unreviewed					
1		AST	91	83	left		unreviewed					
1		MAN	91	83	right		unreviewed					
1		BHU	91	83	right		unreviewed					
1		AML	91	83	right		unreviewed					
1		SEG	91	83	right		unreviewed					
1		KAN	91	83	right		unreviewed					
1		SHA	91	83	right		unreviewed					
1		TOR	91	83	right		unreviewed					
2		KEL	91	83	left		unreviewed					
2		DHA	91	83	left		unreviewed					
2		DIG	91	83	left		unreviewed					
2		AMO	91	83	left		unreviewed					
2		MUN	91	83	left		unreviewed					
2		AST	91	83	left		unreviewed					
2		MAN	91	83	right		unreviewed					
2		BHU	91	83	right		unreviewed					
2		AML	91	83	right		unreviewed					
2		SEG	91	83	right		unreviewed					
2		KAN	91	83	right		unreviewed					
2		SHA	91	83	right		unreviewed					
2		TOR	91	83	right		unreviewed					
3		KEL	91	83	left		unreviewed					
3		DHA	91	83	left		unreviewed					
3		DIG	91	83	left		unreviewed					
3		AMO	91	83	left		unreviewed					
3		MUN	91	83	left		unreviewed					
3		AST	91	83	left		unreviewed					
3		MAN	91	83	right		unreviewed					
3		BHU	91	83	right		unreviewed					
3		AML	91	83	right		unreviewed					
3		SEG	91	83	right		unreviewed					
3		KAN	91	83	right		unreviewed					
3		SHA	91	83	right		unreviewed					
3		TOR	91	83	right		unreviewed					
4		KEL	91	83	left		unreviewed					
4		DHA	91	83	left		unreviewed					
4		DIG	91	83	left		unreviewed					
4		AMO	91	83	left		unreviewed					
4		MUN	91	83	left		unreviewed					
4		AST	91	83	left		unreviewed					
4		MAN	91	83	right		unreviewed					
4		BHU	91	83	right		unreviewed					
4		AML	91	83	right		unreviewed					
4		SEG	91	83	right		unreviewed					
4		KAN	91	83	right		unreviewed					
4		SHA	91	83	right		unreviewed					
4		TOR	91	83	right		unreviewed					
5		KEL	91	83	left		unreviewed					
5		DHA	91	83	left		unreviewed					
5		DIG	91	83	left		unreviewed					
5		AMO	91	83	left		unreviewed					
5		MUN	91	83	left		unreviewed					
5		AST	91	83	left		unreviewed					
5		MAN	91	83	right		unreviewed					
5		BHU	91	83	right		unreviewed					
5		AML	91	83	right		unreviewed					
5		SEG	91	83	right		unreviewed					
5		KAN	91	83	right		unreviewed					
5		SHA	91	83	right		unreviewed					
5		TOR	91	83	right		unreviewed					
6		KEL	92	84	left		unreviewed					
6		DHA	92	84	left		unreviewed					
6		DIG	92	84	left		unreviewed					
6		AMO	92	84	left		unreviewed					
6		MUN	92	84	left		unreviewed					
6		AST	92	84	left		unreviewed					
6		MAN	92	84	right		unreviewed					
6		BHU	92	84	right		unreviewed					
6		AML	92	84	right		unreviewed					
6		SEG	92	84	right		unreviewed					
6		KAN	92	84	right		unreviewed					
6		SHA	92	84	right		unreviewed					
6		TOR	92	84	right		unreviewed					
7		KEL	92	84	left		unreviewed					
7		DHA	92	84	left		unreviewed					
7		DIG	92	84	left		unreviewed					
7		AMO	92	84	left		unreviewed					
7		MUN	92	84	left		unreviewed					
7		AST	92	84	left		unreviewed					
7		MAN	92	84	right		unreviewed					
7		BHU	92	84	right		unreviewed					
7		AML	92	84	right		unreviewed					
7		SEG	92	84	right		unreviewed					
