Grapheme	IPA	Installed_Input_Occurrences	Present_In_Staged_Targets
tʃ	c	0	no
dʒ	j	0	no
a	a	1390	yes
ʌ	a	602	yes
ə	ə	1	yes
i	i	906	yes
ɪ	i	24	yes
u	u	944	yes
e	e	315	yes
o	o	1128	yes
ã	ã	18	yes
ẽ	ẽ	11	yes
õ	õ	149	yes
ũ	ũ	12	yes
p	p	292	yes
b	b	325	yes
t	t	469	yes
d	d	198	yes
k	k	507	yes
g	g	265	yes
m	m	348	yes
n	n	164	yes
ŋ	ŋ	151	yes
ɳ	ṇ	200	yes
l	l	507	yes
ɭ	ḷ	65	yes
r	r	411	yes
ɾ	r	12	yes
ɽ	ṛ	5	yes
ʈ	ṭ	344	yes
ɖ	ḍ	687	yes
s	s	176	yes
ʃ	ś	85	yes
ʂ	ṣ	65	yes
z	z	77	yes
ʒ	ž	94	yes
h	h	752	yes
ɦ	ɦ	24	yes
v	v	3	yes
w	v	210	yes
j	y	92	yes
ɸ	ɸ	26	yes
β	β	21	yes
ɣ	ɣ	1	yes
χ	x	2	yes
ʔ	ʔ	21	yes
ʱ	ʱ	10	yes
̪		268	yes
̃	̃	3	yes
ː	ː	11	yes
:	ː	30	yes
,	,	59	yes
-	-	154	yes
 	#	60	yes
