Site_Code	Scope	Install	Language_ID	Source_Type	Label
KEL	target	yes	Vasavi	field_list	Kelpada Vasave
DHA	target	yes	Vasavi	field_list	Dhanoura Vasave
DIG	target	yes	Vasavi	field_list	Digiamba Vasave
AMO	target	yes	Vasavi	field_list	Amoda Vasave
MUN	target	yes	Noiri	field_list	Mundalwad Bhilori
AST	target	yes	Noiri	field_list	Astamba Noiri
MAN	target	yes	PauriBareli	field_list	Mandvi Pauri
BHU	target	yes	PauriBareli	field_list	Bhusha Pauri
AML	target	yes	RathwiBareli	field_list	Amalwadi Pauri
SEG	target	yes	RathwiBareli	field_list	Segwi Pauri
KAN	target	yes	RathwiBareli	field_list	Kangai Pauri
SHA	target	yes	PauriBareli	field_list	Shahana Pauri
TOR	comparison_control	no		published_comparison	Toranmal Nahali
