Item	PDF_Page	Printed_Page	Column	Gloss	HRT	HJN	HFT	HNG	HTR	HLH	Review	Uncertainty
1	28	21	1	body	1 d̪eh /2 gaṭ /3 kaja	4 seṭ /2 gaṭ	1 d̪eh /5 sʌrir /3 kaja	2 gaṭ /3 kaja /6 t̪ʌn	5 sʌrir	1 d̪eh	manual-scan	
2	28	21	2	head	1 sir	1 sir	1 sʌr /1 sir	1 sʌr	2 ṭoṇṭ	1 sʌr /2 t̪ant	manual-scan	HLH second form's first consonant is faint
3	28	21	3	hair	1 bal	1 bal /2 kes	1 bal	1 bal	1 balo	1 bal	manual-scan	
4	28	21	1	face	1 ʃekel /2 tʰopḍa	(same as item 8)	1 ʃekel	(same as item 8)	4 tʃehera	(same as item 8)	manual-scan	
5	28	21	2	eye	1 æk	1 akʰ	1 aŋkʰ /2 najʌr	1 aŋkʰ	1 aŋkʰ	1 əŋkʰ	manual-scan	
6	28	21	3	ear	1 kan	1 kan	1 kan	1 kan	1 kan	1 kan	manual-scan	
7	28	21	1	nose	1 nak	1 nak	1 nak	1 nak	1 nak	1 nak	manual-scan	
8	28	21	2	mouth	1 mu	1 mu	1 mũh	1 mu	1 mũ	1 mu	manual-scan	
9	28	21	3	teeth	1 d̪aṇṭ	1 d̪aṇḍ	1 d̪at̪	1 daṇḍ	1 d̪aṇṭ	1 d̪aṇṭ	manual-scan	the source distinguishes dental underbar and retroflex underdot; retained as visible
10	28	21	1	tongue	1 dʒib	1 dʒib	1 dʒib	1 dʒib	1 dʒib	1 dʒib	manual-scan	
11	28	21	2	breast	1 tʃutʃi	[blank]	1 tʃatʃi /2 boba	1 tʃutʃi /3 d̪udʰi	1 tʃatʃi	[blank]	manual-scan	printed blanks confirmed visually
12	28	21	3	belly	1 pet /2 t̪ʌuṇḍ	1 pet	1 pet	1 pet /2 t̪oṇḍ	1 pet /2 tʰoṇḍ	1 pet /2 tʌuṇḍ	manual-scan	
13	28	21	1	arm	1 haṭʰ /2 bodʒa /3 bah	3 ba	3 bah	3 ba	2 badʒu /3 ba	1 haṭʰ /3 ba	manual-scan	
14	28	21	2	elbow	1 koṇi	1 koṇi	1 kuṇi	1 kuṇi	1 kəhuṇi	1 koṇi	manual-scan	
15	28	21	3	palm	1 hʌṭʰeli	1 hʌṭʰeli /1 tʰeli	1 hʌṭʰeli /1 tʰeli	1 tʰeli	1 hʌṭʰeli	1 hʌṭʰeli	manual-scan	
16	29	22	1	finger	1 uŋgəli	1 uŋgli	1 əŋgəli	1 oŋgli	1 əŋgli	1 əŋgəli	manual-scan	HRT label overlaps the header, but the form is legible
17	29	22	2	fingernail	1 no	1 nɔ /2 nakʰun	1 nũ /2 nakʰun	1 no	1 nhu	1 nu /2 nakʰun	manual-scan	HJN one-vowel form and HTR form are faint
18	29	22	3	leg	1 t̪aŋg /2 pa /1 lat̪	1 t̪aŋg	1 t̪aŋ /3 latʰ	1 t̪aŋg /3 lat̪	2 pam	1 t̪aŋg	manual-scan	short HRT and HTR forms retained as printed
19	29	22	1	skin	1 kʰal /2 kʰalʌdi	1 kʰal	3 tʃʌmri	1 kʰal	1 kʰal	1 kʰal /3 tʃʌmḍi	manual-scan	
20	29	22	2	bone	1 hʌḍ·i	1 hʌḍ·i	1 hʌḍ·i	1 hʌḍ·i	1 hʌḍ·i	1 hʌḍ·i	manual-scan	source length dot retained
21	29	22	3	heart	1 dil /2 mʌn	1 dil /3 kaledʒa	1 dil /2 mʌn	1 dil /4 dʒigʌr	1 dil /2 mʌn	1 dil /3 kaledʒa	manual-scan	
22	29	22	1	blood	1 lʌu	1 lʌu /2 kʰun	1 lʌw /3 loji /2 kʰun	1 lʌhu	2 kʰun	1 lʌhu	manual-scan	
23	29	22	2	urine	1 mut̪	2 peʃab	1 mutrə /1 mut̪	1 mut̪	1 mut̪	1 mut̪	manual-scan	
24	29	22	3	feces	1 gu	2 dʒʌŋgʌl /3 hʌgʌn	4 tʌt̪i /2 dʒʌŋgʌl	1 gu /4 tʌt̪·i	1 gu	1 gu /4 tʌt̪·i	manual-scan	source length dot retained
25	29	22	1	village	1 gam	1 gam	1 gam	1 gam /1 gʌ̃	1 gam	1 gam	manual-scan	parenthetical “thatch” below HTR belongs to the following roof concept, not this cell
26	29	22	2	house	1 gʰʌr	1 gʰʌr	1 gʰʌre	1 gʰʌr	1 gʰʌr	1 gʰʌr	manual-scan	
27	29	22	3	roof	1 tʃʰat̪	1 tʃʰat̪ /2 tʃʰajʌt̪	1 tʃʰat̪	1 tʃʰat̪	1 tʃʰʌt̪ /3 tʃan	1 tʃat̪	manual-scan	
28	29	22	1	door	1 kʌvaḍ /2 barʌna	1 kʌvaḍ /1 kuaḍ	1 kwaḍ /3 dʌrvaza	1 kʌvaḍ /4 t̪ʌxṭe	2 bajno	1 kʌvaḍ /2 barʌna	manual-scan	
29	29	22	2	firewood	1 lakʌḍi /2 balʌn /3 indʌn	1 lakʌḍ	1 lʌkʌṛi	1 lʌkʌḍi /3 indʌn	1 lʌkʌḍ /3 indʌn	3 indʌna	manual-scan	HRT third form continues beyond the crop edge and was checked on the full page
30	29	22	3	broom	1 buhari	1 bʷari	1 bʰʷari /1 bobari	1 bəhari	1 bəhari	1 bəhari	manual-scan	HRT label and form were checked on the full page because they overlap the cell header
31	30	23	1	mortar	1 koṇḍi /2 hʌmam	1 koṇḍi	3 suli /4 gʰoṭa	1 koṇḍi	5 vokʰli	1 koṇḍi (stone) /5 ukʰli	manual-scan	
