item	site_code	site_variant	manual_entry_key	manual_physical_page	manual_printed_page	manual_line_id	manual_gloss	manual_group	manual_status	manual_form	legacy_pdf_page	legacy_group	legacy_status	legacy_raw_form	legacy_entry_key	legacy_reason	gloss_match	group_match	comparison
1	A	1	silkurux2011:i001:A:1	39	38	P039-L004	sky	3	attested	məⁱjə	38	3	attested	məijɑ	silkurux2011:i001:A:1		true	true	form_difference
1	B	1	silkurux2011:i001:B:1	39	38	P039-L001	sky	0	blank		38	0	blank	no entry		printed gap: the item was not elicited at this site	true	true	blank_match
1	C	1	silkurux2011:i001:C:1	39	38	P039-L002	sky	1	attested	mɛrxa	38	1	attested	mɛrxa	silkurux2011:i001:C:1		true	true	form_exact
1	D	1	silkurux2011:i001:D:1	39	38	P039-L002	sky	1	attested	mɛrxa	38	1	attested	mɛrxa	silkurux2011:i001:D:1		true	true	form_exact
1	E	1	silkurux2011:i001:E:1	39	38	P039-L002	sky	1	attested	mɛrxa	38	1	attested	mɛrxa	silkurux2011:i001:E:1		true	true	form_exact
1	0	1	silkurux2011:i001:0:1	39	38	P039-L003	sky	2	attested	akaʃ	38	2	attested	akaʃ	silkurux2011:i001:0:1		true	true	form_exact
2	A	1	silkurux2011:i002:A:1	39	38	P039-L005	sun	1	attested	bɪr	38	1	attested	bɪɾ	silkurux2011:i002:A:1		true	true	form_difference
2	B	1	silkurux2011:i002:B:1	39	38	P039-L006	sun	1	attested	biɽi	38	1	attested	biɽi	silkurux2011:i002:B:1		true	true	form_exact
2	C	1	silkurux2011:i002:C:1	39	38	P039-L006	sun	1	attested	biɽi	38	1	attested	biɽi	silkurux2011:i002:C:1		true	true	form_exact
2	D	1	silkurux2011:i002:D:1	39	38	P039-L006	sun	1	attested	biɽi	38	1	attested	biɽi	silkurux2011:i002:D:1		true	true	form_exact
2	E	1	silkurux2011:i002:E:1	39	38	P039-L006	sun	1	attested	biɽi	38	1	attested	biɽi	silkurux2011:i002:E:1		true	true	form_exact
2	0	1	silkurux2011:i002:0:1	39	38	P039-L007	sun	2	attested	ʃuɹd͜ʒo	38	2	attested	ʃuɹdʒo	silkurux2011:i002:0:1		true	true	form_difference
3	A	1	silkurux2011:i003:A:1	39	38	P039-L009	moon	1	attested	t͜ʃʰɛnd	38	1	attested	tʃhɑnd	silkurux2011:i003:A:1		true	true	form_difference
3	A	2	silkurux2011:i003:A:2	39	38	P039-L011	moon	2	attested	t͜ʃʰɛnd	38	2	attested	tʃhɑnd	silkurux2011:i003:A:2		true	true	form_difference
3	B	1	silkurux2011:i003:B:1	39	38	P039-L008	moon	1	attested	t͜ʃando	38	1	attested	tʃando	silkurux2011:i003:B:1		true	true	form_difference
3	C	1	silkurux2011:i003:C:1	39	38	P039-L008	moon	1	attested	t͜ʃando	38	1	attested	tʃando	silkurux2011:i003:C:1		true	true	form_difference
