entry_key	item	site_code	site_variant	role	language_id	dialect_id	status	form	gloss	physical_page	printed_page	line_id	disposition	reason
silkurux2011:i001:A:1	1	A	1	target	Kurux	kurux2011-A-dima	attested	məⁱjə	sky	39	38	P039-L004	staged_target	attested Kurux target-site form
silkurux2011:i001:B:1	1	B	1	target	Kurux	kurux2011-B-gabindanagar	blank		sky	39	38	P039-L001	excluded_blank	printed no-entry cell
silkurux2011:i001:C:1	1	C	1	target	Kurux	kurux2011-C-boldipukur	attested	mɛrxa	sky	39	38	P039-L002	staged_target	attested Kurux target-site form
silkurux2011:i001:D:1	1	D	1	target	Kurux	kurux2011-D-lohanipara	attested	mɛrxa	sky	39	38	P039-L002	staged_target	attested Kurux target-site form
silkurux2011:i001:E:1	1	E	1	target	Kurux	kurux2011-E-dulhapur	attested	mɛrxa	sky	39	38	P039-L002	staged_target	attested Kurux target-site form
silkurux2011:i001:0:1	1	0	1	control	B	kurux2011-0-bangla	attested	akaʃ	sky	39	38	P039-L003	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i002:A:1	2	A	1	target	Kurux	kurux2011-A-dima	attested	bɪr	sun	39	38	P039-L005	staged_target	attested Kurux target-site form
silkurux2011:i002:B:1	2	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	biɽi	sun	39	38	P039-L006	staged_target	attested Kurux target-site form
silkurux2011:i002:C:1	2	C	1	target	Kurux	kurux2011-C-boldipukur	attested	biɽi	sun	39	38	P039-L006	staged_target	attested Kurux target-site form
silkurux2011:i002:D:1	2	D	1	target	Kurux	kurux2011-D-lohanipara	attested	biɽi	sun	39	38	P039-L006	staged_target	attested Kurux target-site form
silkurux2011:i002:E:1	2	E	1	target	Kurux	kurux2011-E-dulhapur	attested	biɽi	sun	39	38	P039-L006	staged_target	attested Kurux target-site form
silkurux2011:i002:0:1	2	0	1	control	B	kurux2011-0-bangla	attested	ʃuɹd͜ʒo	sun	39	38	P039-L007	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i003:A:1	3	A	1	target	Kurux	kurux2011-A-dima	attested	t͜ʃʰɛnd	moon	39	38	P039-L009	staged_target	attested Kurux target-site form
silkurux2011:i003:A:2	3	A	2	target	Kurux	kurux2011-A-dima	attested	t͜ʃʰɛnd	moon	39	38	P039-L011	staged_target	attested Kurux target-site form
silkurux2011:i003:B:1	3	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	t͜ʃando	moon	39	38	P039-L008	staged_target	attested Kurux target-site form
silkurux2011:i003:C:1	3	C	1	target	Kurux	kurux2011-C-boldipukur	attested	t͜ʃando	moon	39	38	P039-L008	staged_target	attested Kurux target-site form
silkurux2011:i003:D:1	3	D	1	target	Kurux	kurux2011-D-lohanipara	attested	t͜ʃando	moon	39	38	P039-L008	staged_target	attested Kurux target-site form
silkurux2011:i003:E:1	3	E	1	target	Kurux	kurux2011-E-dulhapur	attested	t͜ʃando	moon	39	38	P039-L008	staged_target	attested Kurux target-site form
silkurux2011:i003:0:1	3	0	1	control	B	kurux2011-0-bangla	attested	t͜ʃãd	moon	39	38	P039-L010	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i004:A:1	4	A	1	target	Kurux	kurux2011-A-dima	attested	tɛrgɛn	star	39	38	P039-L014	staged_target	attested Kurux target-site form
silkurux2011:i004:B:1	4	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	binko	star	39	38	P039-L012	staged_target	attested Kurux target-site form
silkurux2011:i004:C:1	4	C	1	target	Kurux	kurux2011-C-boldipukur	attested	binko	star	39	38	P039-L012	staged_target	attested Kurux target-site form
silkurux2011:i004:D:1	4	D	1	target	Kurux	kurux2011-D-lohanipara	attested	binko	star	39	38	P039-L012	staged_target	attested Kurux target-site form
silkurux2011:i004:E:1	4	E	1	target	Kurux	kurux2011-E-dulhapur	attested	binko	star	39	38	P039-L012	staged_target	attested Kurux target-site form
silkurux2011:i004:0:1	4	0	1	control	B	kurux2011-0-bangla	attested	tara	star	39	38	P039-L013	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i005:A:1	5	A	1	target	Kurux	kurux2011-A-dima	attested	bəbri	cloud	39	38	P039-L018	staged_target	attested Kurux target-site form
silkurux2011:i005:B:1	5	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	padali	cloud	39	38	P039-L016	staged_target	attested Kurux target-site form
silkurux2011:i005:C:1	5	C	1	target	Kurux	kurux2011-C-boldipukur	attested	badali	cloud	39	38	P039-L015	staged_target	attested Kurux target-site form
silkurux2011:i005:D:1	5	D	1	target	Kurux	kurux2011-D-lohanipara	attested	badali	cloud	39	38	P039-L015	staged_target	attested Kurux target-site form
silkurux2011:i005:E:1	5	E	1	target	Kurux	kurux2011-E-dulhapur	attested	badali	cloud	39	38	P039-L015	staged_target	attested Kurux target-site form
silkurux2011:i005:0:1	5	0	1	control	B	kurux2011-0-bangla	attested	mɛgʰ	cloud	39	38	P039-L017	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i006:A:1	6	A	1	target	Kurux	kurux2011-A-dima	attested	t͜ʃɛb	rain	39	38	P039-L019	staged_target	attested Kurux target-site form
silkurux2011:i006:B:1	6	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	t͜ʃɛp	rain	39	38	P039-L020	staged_target	attested Kurux target-site form
silkurux2011:i006:C:1	6	C	1	target	Kurux	kurux2011-C-boldipukur	attested	t͜ʃɛ̃p	rain	39	38	P039-L021	staged_target	attested Kurux target-site form
silkurux2011:i006:D:1	6	D	1	target	Kurux	kurux2011-D-lohanipara	attested	t͜ʃɛ̃p	rain	39	38	P039-L021	staged_target	attested Kurux target-site form
silkurux2011:i006:E:1	6	E	1	target	Kurux	kurux2011-E-dulhapur	attested	t͜ʃɛ̃p	rain	39	38	P039-L021	staged_target	attested Kurux target-site form
silkurux2011:i006:0:1	6	0	1	control	B	kurux2011-0-bangla	attested	brɪʃti	rain	39	38	P039-L022	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i007:A:1	7	A	1	target	Kurux	kurux2011-A-dima	attested	ɪndrədos	rainbow	39	38	P039-L027	staged_target	attested Kurux target-site form
silkurux2011:i007:B:1	7	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	dʰanukdal	rainbow	39	38	P039-L024	staged_target	attested Kurux target-site form
silkurux2011:i007:C:1	7	C	1	target	Kurux	kurux2011-C-boldipukur	attested	dʰanukbar	rainbow	39	38	P039-L023	staged_target	attested Kurux target-site form
silkurux2011:i007:D:1	7	D	1	target	Kurux	kurux2011-D-lohanipara	attested	ɾamdʰanu	rainbow	39	38	P039-L025	staged_target	attested Kurux target-site form
silkurux2011:i007:E:1	7	E	1	target	Kurux	kurux2011-E-dulhapur	attested	ɾamdʰanu	rainbow	39	38	P039-L025	staged_target	attested Kurux target-site form
silkurux2011:i007:0:1	7	0	1	control	B	kurux2011-0-bangla	attested	rɔŋdʰɔnu	rainbow	39	38	P039-L026	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i008:A:1	8	A	1	target	Kurux	kurux2011-A-dima	attested	tɛqɛ	wind	39	38	P039-L028	staged_target	attested Kurux target-site form
silkurux2011:i008:B:1	8	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	taka	wind	39	38	P039-L029	staged_target	attested Kurux target-site form
silkurux2011:i008:C:1	8	C	1	target	Kurux	kurux2011-C-boldipukur	attested	taka	wind	39	38	P039-L029	staged_target	attested Kurux target-site form
silkurux2011:i008:D:1	8	D	1	target	Kurux	kurux2011-D-lohanipara	attested	taka	wind	39	38	P039-L029	staged_target	attested Kurux target-site form
silkurux2011:i008:E:1	8	E	1	target	Kurux	kurux2011-E-dulhapur	attested	taka	wind	39	38	P039-L029	staged_target	attested Kurux target-site form
silkurux2011:i008:0:1	8	0	1	control	B	kurux2011-0-bangla	attested	bataʃ	wind	39	38	P039-L030	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i009:A:1	9	A	1	target	Kurux	kurux2011-A-dima	blank		lightning	39	38	P039-L031	excluded_blank	printed no-entry cell
silkurux2011:i009:B:1	9	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	bad͜ʒal	lightning	39	38	P039-L032	staged_target	attested Kurux target-site form
