DBIA_ID,Number,Letter,Page,Donor,CDIAL_ID,Compared_Entry_ID,Decision,Comparison_Status,Confidence,Forms,Candidates
dbia1,1,,9,ahamkāra-,991,991,unique normalized headword,matched-cdial,high,6,ahamkāra-
dbia2,2,,9,agati,,dbia2-ia,no safe CDIAL match,source-local-ia,medium,4,agati | avaśyam
dbia3,3,,9,akrama,,dbia3-ia,no safe CDIAL match,source-local-ia,high,8,akrama
dbia4,4,,9,argha-,630,630,homonym disambiguated by gloss,matched-cdial,high,5,argha- | Pkt | aggha-
dbia5,5,,9,agni,55,55,homonym disambiguated by gloss,matched-cdial,medium,7,agni | Pkt | aggi-
dbia6,6,,10,aśraddha,,dbia6-ia,no safe CDIAL match,source-local-ia,high,5,aśraddha | asaddhā-
dbia7,7,,10,akkha,17,17,unique normalized headword,matched-cdial,high,7,akşa- | Pkt | akkha | ak
dbia8,8,,10,atisaya-,,dbia8-ia,no safe CDIAL match,source-local-ia,high,6,atisaya-
dbia9,9,,10,ad,187,187,unique normalized headword,matched-cdial,high,6,adşșța- | ad
dbia10,10,,10,hasti-pippali,,dbia10-ia,no safe CDIAL match,source-local-ia,low,2,hasti-pippali | hatthi-pippali
dbia11,11,,10,adhvan-,281,281,unique normalized headword,matched-cdial,high,5,adhvan-
dbia12,12,,11,antaḥstha-,,dbia12-ia,no safe CDIAL match,source-local-ia,high,4,antaḥstha-
dbia13,13,,11,samdhi-,12913,12913,unique normalized headword,matched-cdial,high,3,samdhi-
dbia14,14,,11,asprsta-,984,984,unique normalized headword,matched-cdial,high,3,asprsta- | sprś-
dbia15,15,,11,arpaņa-,683a,683a,unique normalized headword,matched-cdial,high,5,ājñāpana- | arpaņa- | appaņaid
dbia16,16,,11,samaya,13185,13185,unique normalized headword,matched-cdial,high,1,samaya
dbia17,17,,11,ambarișa-,,dbia17-ia,no safe CDIAL match,source-local-ia,high,3,ambarișa- | ambāțaka | ambāda | ābārā | ābādā
dbia18,18,,11,lankā-,,dbia18-ia,no safe CDIAL match,source-local-ia,high,2,lankā-
dbia19,19,,11,śaraṇa-,12326,12326,homonym disambiguated by gloss,matched-cdial,high,2,śaraṇa- | arana-
dbia20,20,,11,artha,638,638,unique normalized headword,matched-cdial,high,7,artha
dbia21,21,,12,arka-,,dbia21-ia,no safe CDIAL match,source-local-ia,high,5,arka-
dbia22,22,,12,ārdra,1340,1340,homonym disambiguated by gloss,matched-cdial,high,3,ārdra | alla- | ălē
dbia23,23,,12,avakața-,,dbia23-ia,no safe CDIAL match,source-local-ia,high,5,avakața- | avaghad | apakşta- | *apakața-
dbia24,24,,12,avasara,858,858,homonym disambiguated by gloss,matched-cdial,high,6,avasara
dbia25,25,,12,avadhi-,,dbia25-ia,no safe CDIAL match,source-local-ia,high,4,avadhi-
dbia26,26,,12,abandhuram,,dbia26-ia,no safe CDIAL match,source-local-ia,high,3,abandhuram
dbia27,27,,12,anurādhā-,332,332,unique normalized headword,matched-cdial,high,2,anurādhā-
dbia28,28,,12,,,,no safe CDIAL match,unresolved-no-ia-headword,,4,
dbia29,29,,13,āghātay-,,dbia29-ia,no safe CDIAL match,source-local-ia,medium,3,āghātay-
dbia30,30,,13,ācārya,,dbia30-ia,no safe CDIAL match,source-local-ia,high,6,ācārya
dbia31,31,,13,äşāṇhā-,,dbia31-ia,no safe CDIAL match,source-local-ia,high,3,äşāṇhā-
dbia32,32,,13,ājñā-,1095,1095,homonym disambiguated by gloss,matched-cdial,high,5,ājñā- | āņaid
dbia33,33,,13,adeśa-,1157,1157,unique normalized headword,matched-cdial,high,6,adeśa-
dbia34,34,,13,ãturată-,,dbia34-ia,no safe CDIAL match,source-local-ia,high,4,ãturată- | åtura-
dbia35,35,,14,abhāsa,,dbia35-ia,no safe CDIAL match,source-local-ia,high,5,abhāsa
dbia36,36,,14,arambha-,1307,1307,unique normalized headword,matched-cdial,medium,3,arambha-
dbia37,37,,14,aroggia-,,dbia37-ia,no safe CDIAL match,source-local-ia,high,3,aroggia- | arogan
dbia38,38,,14,arjto,,dbia38-ia,no safe CDIAL match,source-local-ia,high,6,arjto | arjnā
dbia39,39,,14,śrāvaņa-,,dbia39-ia,no safe CDIAL match,source-local-ia,high,3,śrāvaņa-
dbia40,40,,14,astimat-,,dbia40-ia,no safe CDIAL match,source-local-ia,low,6,astimat-
dbia41,41,,14,ſștí-,,dbia41-ia,no safe CDIAL match,source-local-ia,high,8,ſștí- | ițțhi- | Text
dbia42,42,,15,iştakā-,1600,1600,homonym disambiguated by gloss,matched-cdial,high,7,iştakā- | ițțhakā- | itthagā-
dbia43,43,,15,ugrāņi,,dbia43-ia,no safe CDIAL match,source-local-ia,high,5,ugrāņi
dbia44,44,,15,ud-i,,dbia44-ia,no safe CDIAL match,source-local-ia,high,8,ud-i
dbia45,45,,15,uttara,1767,1767,homonym disambiguated by gloss,matched-cdial,high,6,uttara
dbia46,46,,15,udaka,1921,1921,unique normalized headword,matched-cdial,high,6,udaka
dbia47,47,,15,udyoga-,2055,2055,unique normalized headword,matched-cdial,high,7,udyoga-
dbia48,48,,16,uņņā-,2096,2096,unique normalized headword,matched-cdial,high,2,uņņā- | úrņā-
dbia49,49,,16,ūşman-,2441,2441,unique normalized headword,matched-cdial,high,6,ūb | übh | umha- | ūşman-
dbia50,50,,16,upakārikā-,,dbia50-ia,no safe CDIAL match,source-local-ia,low,4,upakārikā-
dbia51,51,,16,unmatta,2112,2112,homonym disambiguated by gloss,matched-cdial,high,6,unmatta | ummatta-
dbia52,52,,16,uloká-,,dbia52-ia,no safe CDIAL match,source-local-ia,high,3,uloká-
dbia53,53,,16,,,,no safe CDIAL match,unresolved-no-ia-headword,,4,
dbia54,54,,16,upavāsa-,2244,2244,unique normalized headword,matched-cdial,high,4,upavāsa- | ovāsa
