Tam,dbia1,akankāram,"akankāram conception of individuality, arrogance, haughtiness; änkāram id., kindness, love; ānkāri (-pp-, -tt-) to be arrogant, insolent.",,,,"dbia[p. 9, no. 1]",,,dbia-1-Tam-1,,,,loanword
Mal,dbia1,ahankāram,"ahankāram, ānkāram feeling of self, pride, self-conceit, boisterousness.",,,,"dbia[p. 9, no. 1]",,,dbia-1-Mal-2,,,,loanword
Kota,dbia1,a'ŋkarm,"a'ŋkarm (obl. a.şka'rt-) joyful pride, joyfulness.",,,,"dbia[p. 9, no. 1]",,,dbia-1-Kota-3,,,,loanword
Kannada,dbia1,ahamkāra,"ahamkāra concept of individuality, pride; ahamkarisu to be proud.",,,,"dbia[p. 9, no. 1]",,,dbia-1-Kannada-4,,,,loanword
Tulu,dbia1,ahankāra,"ahankāra, ānkāra self-consciousness, pride, haughtiness; ahankaripuni, ankariyuni to be proud, arrogant.",,,,"dbia[p. 9, no. 1]",,,dbia-1-Tulu-5,,,,loanword
Telugu,dbia1,ahankāramu,"ahankāramu, (K also) ãkaramu egotism, pride, arrogance; ahankarincu to be arrogant.",,,,"dbia[p. 9, no. 1]",,,dbia-1-Telugu-6,,,,loanword
Tam,dbia2,akattiyam,"akattiyam, akattiyam-āy without fail, surely, certainly.",,,,"dbia[p. 9, no. 2]",,,dbia-2-Tam-1,,,,loanword
Kannada,dbia2,agatya,"agatya indispensableness, necessity, want; agatyav-āgi necessarily, urgently, positively, by all means.",,,,"dbia[p. 9, no. 2]",,,dbia-2-Kannada-2,,,,loanword
Tulu,dbia2,agatya,"agatya need, necessity, want; urgent, important.",,,,"dbia[p. 9, no. 2]",,,dbia-2-Tulu-3,,,,loanword
Telugu,dbia2,agatyamu,"agatyamu necessity, need; urgent, necessary, needful, important; agatyamu-gā urgently, necessarily, positively, certainly.",,,,"dbia[p. 9, no. 2]",,,dbia-2-Telugu-4,,,,loanword
Tam,dbia3,akkiramam,"akkiramam irregularity, injustice.",,,,"dbia[p. 9, no. 3]",,,dbia-3-Tam-1,,,,loanword
Mal,dbia3,akramam,"akramam disorder, irregularity, crime.",,,,"dbia[p. 9, no. 3]",,,dbia-3-Mal-2,,,,loanword
Kota,dbia3,akrm,"akrm (obl. akrt-) evil actions (? rather < Skt. akarman improper action, crime; cf.",,,,"dbia[p. 9, no. 3]",,,dbia-3-Kota-3,,,,loanword
Kannada,dbia3,akarma,akarma id.).,,,,"dbia[p. 9, no. 3]",,,dbia-3-Kannada-4,,,,loanword
