ID,Entry_ID,Compared_Entry_ID,Relation,Direction,Confidence,Source,Evidence
dbia:dbia1:991,dbia1,991,loan,entry-from-compared,high,"dbia[p. 9, no. 1]","Ta, akankāram conception of individuality, arrogance, haughtiness; änkāram id., kindness, love; ānkāri (-pp-, -tt-) to be arrogant, insolent. Ma. ahankāram, ānkāram feeling of self, pride, self-conceit, boisterousness. Ko. a'ŋkarm (obl. a.şka'rt-) joyful pride, joyfulness. Ka. ahamkāra concept of individuality, pride; ahamkarisu to be proud. Tu. ahankāra, ānkāra self-consciousness, pride, haughtiness; ahankaripuni, ankariyuni to be proud, arrogant. Te. ahankāramu, (K also) ãkaramu egotism, pride, arrogance; ahankarincu to be arrogant. Skt. ahamkāra- conception of one's individuality, pride, haughtiness."
dbia:dbia2:dbia2-ia,dbia2,dbia2-ia,loan,entry-from-compared,medium,"dbia[p. 9, no. 2]","Ta. akattiyam, akattiyam-āy without fail, surely, certainly. Ka. agatya indispensableness, necessity, want; agatyav-āgi necessarily, urgently, positively, by all means. Tu. agatya need, necessity, want; urgent, important. Te. agatyamu necessity, need; urgent, necessary, needful, important; agatyamu-gā urgently, necessarily, positively, certainly. Skt. agati want of resource, necessity, distress (so Kitt.); difficult from the point of view of meaning, whereas Skt. avaśyam, which corresponds exactly in meaning, presents phonetic difficulties (but not perhaps altogether insuperable)."
dbia:dbia3:dbia3-ia,dbia3,dbia3-ia,loan,entry-from-compared,high,"dbia[p. 9, no. 3]","Ta. akkiramam irregularity, injustice. Ma. akramam disorder, irregularity, crime. Ko. akrm (obl. akrt-) evil actions (? rather < Skt. akarman improper action, crime; cf. Ka. akarma id.). To. okira'm treachery. Ka. akrama confusion, injustice. Tu. akrama irregularity, confusion. Te, akramamu irregularity, misconduct, injustice, impropriety. /Skt. akrama want of order, confusion; (Bilhana, Vikramankadevacarita 14.11, 22) improper course of conduct."
dbia:dbia4:630,dbia4,630,loan,entry-from-compared,high,"dbia[p. 9, no. 4]","Ta. akkam price of grain. Ko. agm rate at which measures of grain are sold for the rupee. Ka. agga, hagga price, cheapness, cheap. Tu. agga cheapness; aggalāsy, aggysy cheap. Te. agguva cheapness; (K) agguvu price. /Skt. argha- value, price. Pa. Pkt. aggha- id."
dbia:dbia5:55,dbia5,55,loan,entry-from-compared,medium,"dbia[p. 9, no. 5]","Ta. akki fire, heat. Ma. akki fire. To, ox- (oxy-) to burn to ashes (intr.; wood, house, corpse). Ka. ag(g)i, haggi fire. Kod. agg- (aggi-) (fire) consumes everything and becomes bed of coals. Tu, aggi fire. Te, aggi id. /Skt. agni fire. Pa. Pkt. aggi- id. Perhaps the verbs are not derived from IA, but by assimilation from *arg-; cf. DED 234. 10 DRAVIDIAN BORROWINGS FROM INDO-ARYAN accu accu"
dbia:dbia6:dbia6-ia,dbia6,dbia6-ia,loan,entry-from-compared,high,"dbia[p. 10, no. 6]","Ta. acațțai contempt, disdain, inattention, indifference; acattālam filthiness, disorder, muddle. Ma. aśraddha neglect. Ka. asadde dislike, disdain, scorn; asadļāla contemptibleness, unlawful action, ugliness. Tu. asadde disdain, contempt, negligence. Te. asadda neglect, inattention, (B also) disdain, contempt; aśraddha neglect, inattention, carelessness. /Skt. aśraddha want of trust, unbelief. Pkt. asaddhā- id."
dbia:dbia7:17,dbia7,17,loan,entry-from-compared,high,"dbia[p. 10, no. 7]","Ta. accu axle, axle-bolt. Ma. accu, accittați axle-tree. Ka. axle. Tu. accida mara axle-tree; add-acci axle. Te. (K, dial.) id. Kol. (SR) äskud id. Nk. āk, āckurid. Pa. ackurid. /Skt. akşa- axle. Pa. Pkt. akkha id. Mar. ās id. Bihari (Grierson, Bihar Peasant Life, p. 32) ak main beam in the rear of the cart. Turner, s. v. akhārā."
dbia:dbia8:dbia8-ia,dbia8,dbia8-ia,loan,entry-from-compared,high,"dbia[p. 10, no. 8]","Ta. aticayam excellence, pre-eminence; astonishment, wonder; aticayi (-pp-, -tt-) to wonder, be surprised. Ma. atiśayam pre-eminence, uncommon; marvel, wonder; atiśayikka to excel; to wonder, be surprised. Ko. adycm (obl. adyct-) wonder, a wonder. Ka. atiśaya pre-eminence; wonder, surprise; pre-eminent; wonderful; atiśayam-badu to wonder, be surprised; atiśayisu to become, or make, great; to wonder. Koờ. adi a wonder. Tu. atiśaya pre-eminence; wonder, marvel. Te. atiśayamu pre-eminence; marvellous, excessive, wonderful; atiśayincu, atiśayillu to increase, surpass. Skt. atisaya- pre-eminence; pre-eminent. L. V.R. 1934.253-4."
dbia:dbia9:187,dbia9,187,loan,entry-from-compared,high,"dbia[p. 10, no. 9]","Ta. atiţtam that which is unseen; merit or sin accruing from actions; luck, fortune; atirustam that which is not seen; luck, good luck. Ma. adſştam fortune, luck; (coll.) atiștam ill-luck, influence of the evil eye. Ko. adişțm (obl. adiștt-) good fortune. Ka. adrsta destiny; luck, good luck. Tu. adrșța fortune, fate. Te. adrșțamu fortune, luck; adſșțavantūņu, adṛṣṭaśāli a fortunate man. /Skt. adşșța- invisible; destiny (good or bad). Pkt. ad(d)iţtha id. L. V.R. 1934.255,"
dbia:dbia10:dbia10-ia,dbia10,dbia10-ia,loan,entry-from-compared,low,"dbia[p. 10, no. 10]",Ta. atti long pepper. Ma. atti elephant pepper. /? < Skt. hasti-pippali Scindapsus officinalis. Pkt. hatthi-pippali id.
