DBIA_ID,CDIAL_ID,Headword,Reason
dbia1,991,ahamkāra-,unique normalized headword
dbia4,630,argha-,homonym disambiguated by gloss
dbia5,55,agni,homonym disambiguated by gloss
dbia7,17,akkha,unique normalized headword
dbia9,187,ad,unique normalized headword
dbia11,281,adhvan-,unique normalized headword
dbia13,12913,samdhi-,unique normalized headword
dbia14,984,asprsta-,unique normalized headword
dbia15,683a,arpaņa-,unique normalized headword
dbia19,12326,śaraṇa-,homonym disambiguated by gloss
dbia22,1340,ārdra,homonym disambiguated by gloss
dbia24,858,avasara,homonym disambiguated by gloss
dbia27,332,anurādhā-,unique normalized headword
dbia32,1095,ājñā-,homonym disambiguated by gloss
dbia33,1157,adeśa-,unique normalized headword
dbia36,1307,arambha-,unique normalized headword
dbia42,1600,iştakā-,homonym disambiguated by gloss
dbia45,1767,uttara,homonym disambiguated by gloss
dbia46,1921,udaka,unique normalized headword
dbia47,2055,udyoga-,unique normalized headword
dbia48,2096,uņņā-,unique normalized headword
dbia49,2441,ūşman-,unique normalized headword
dbia51,2112,unmatta,homonym disambiguated by gloss
dbia54,2244,upavāsa-,unique normalized headword
dbia55,12718,śreņi-,unique normalized headword
dbia59,2549,odra-,homonym disambiguated by gloss
dbia63,822,avalagna-,unique normalized headword
dbia64,1423,avali-,unique normalized headword
dbia68,3120,kāştha-,homonym disambiguated by gloss
dbia69,3989,gañaka-,unique normalized headword
dbia72,2858,kartarĨ-,unique normalized headword
dbia73,3975,gādi,unique normalized headword
dbia76,2771,kambala,homonym disambiguated by gloss
dbia77,13639,skambha,homonym disambiguated by gloss
dbia79a,2892,karman-,homonym disambiguated by gloss
dbia80,2740,kaparda-,unique normalized headword
dbia85,2737,kanya-,homonym disambiguated by gloss
dbia87,4466,ghānā,homonym disambiguated by gloss
dbia90,4460,ghata-,homonym disambiguated by gloss
dbia91,4138,gāruda-,homonym disambiguated by gloss
dbia92,3057,kāraṇa-,homonym disambiguated by gloss
dbia98,4150,gāvuta-,unique normalized headword
dbia99,3770,khatakkika-,unique normalized headword
dbia100,3156,kițța-,unique normalized headword
dbia101,3193,kīța-,unique normalized headword
dbia102,3200,kirti-,unique normalized headword
dbia104,3898,khunța-,unique normalized headword
dbia107,4255,go,unique normalized headword
dbia109,3310,kumbhakāra,unique normalized headword
dbia110,3330,kula-,homonym disambiguated by gloss
dbia111,5292a,jyeșthā-,homonym disambiguated by gloss
dbia112,3738,kşepa-,unique normalized headword
dbia114,3370,kuştha-,homonym disambiguated by gloss
